gene	e1	e2	mean	call	max_cpm
CA9	-5.015072836960554	-4.870238212473544	-4.942655524717049	DOWN	92.02723927710787
CDKN1A	1.1993742931236513	1.282206963605966	1.2407906283648087	UP	362.68347796365566
ENO2	-2.849892451328775	-2.919773111023699	-2.884832781176237	DOWN	79.16110443687187
DUSP5	-1.8231565274666108	-1.3876999116281503	-1.6054282195473806	DOWN	138.12225478968202
ZMAT3	1.178397019279255	1.294914741506335	1.236655880392795	UP	39.496227253457654
PGK1	-1.6740473336312434	-1.479765729032101	-1.5769065313316721	DOWN	2982.7825579997498
ALDOC	-2.262750096625684	-1.7111406127791025	-1.9869453547023932	DOWN	118.15236803667104
PFKFB4	-2.080155215620995	-1.7534944337209883	-1.9168248246709916	DOWN	19.446524415013187
TPI1	-1.50786894205741	-1.1592066393855838	-1.333537790721497	DOWN	801.3343065762252
ENO3	-1.8825131910818467	-1.5168667971198722	-1.6996899941008594	DOWN	24.651907212971267
PFKP	-1.5605617601532327	-1.1224715162485808	-1.3415166382009067	DOWN	150.46502729192022
HK2	-1.1949086710604284	-1.0677183295196349	-1.1313135002900316	DOWN	71.41135832285052
