contrast	n	rho	p	q
CLDN4 vs Slingshot PT	31	-0.04153225806451613	0.8244426256200903	0.8244426256200903
CLDN4 vs DPT (companion)	31	0.1346774193548387	0.47008637991637786	0.6542489072153435
CLDN4 vs AT2 score	31	-0.2024193548387097	0.27480545678838697	0.5038100041120428
CLDN4 vs barrier/keratin (no CLDN4)	31	0.3189516129032258	0.08031260167212456	0.17668772367867405
CLDN4 vs IFN	31	-0.07701612903225806	0.6804869573574757	0.7485356530932232
CLDN4 vs malignant-like	31	0.42500000000000004	0.017158319250800667	0.06291383725293577
CLDN4 vs TACSTD2 (comparator)	31	0.4	0.025774237364825505	0.07087915275327014
barrier/keratin vs Slingshot PT	31	-0.11774193548387098	0.5281583118454555	0.6542489072153435
IFN vs Slingshot PT	31	0.11572580645161293	0.5352945604489174	0.6542489072153435
SFTPC vs Slingshot PT (control)	31	-0.6159774084999384	0.00022506893099308388	0.0022971389828702485
AT2 vs Slingshot PT (control)	31	-0.5947580645161291	0.00041766163324913607	0.0022971389828702485
