leiden	n_cells	mean_CLDN4	mean_AT2	mean_SFTPC	mean_barrier	mean_IFN	n_author_AT2	frac_189357
0	388	2.531512975692749	-0.033067071602899595	0.10847161710262299	1.1763952185655544	0.28556326350296807	0	0.18298969072164947
1	794	0.869167685508728	-0.01385742669938746	0.19985239207744598	0.8802628235908196	0.19959086097320822	0	0.1964735516372796
10	413	1.843652606010437	-0.3340704457961254	0.4026608467102051	0.4309239507352301	0.16148782206494303	0	0.41404358353510895
11	64	1.6900197267532349	-0.43183434252975395	0.09251527488231659	-0.15073820723531145	-0.049995986543206736	0	0.078125
12	404	1.9243738651275635	0.43944982301080626	1.0556578636169434	0.21813468026409152	0.011432025205829753	0	0.17574257425742573
13	143	0.7684904336929321	-0.478772197020583	0.0	1.6157409529061444	0.47051312810550533	0	0.006993006993006993
14	381	0.45662418007850647	0.5548274952390033	2.3162903785705566	0.15383694313968468	0.19745134830703734	0	0.905511811023622
15	213	0.09821828454732895	-0.18808399767089465	1.0511236190795898	-0.2378136104156434	0.28637344336153436	0	0.9295774647887324
16	538	0.9850584268569946	-0.4302028316320493	0.011846994049847126	0.6913116253970613	0.2787423154813888	0	0.007434944237918215
17	370	0.7811928987503052	-0.41743110578025533	0.0	0.008918727760513622	0.03867531605080415	0	0.0
18	533	1.8433700799942017	1.2455600738541637	1.3972909450531006	0.6035172557728301	0.12041184866282433	0	0.9568480300187617
19	346	1.694528579711914	-0.5176841524315502	0.0041146790608763695	0.30005588229271885	0.09437149721036382	0	0.002890173410404624
2	348	0.02978507988154888	-0.2888107636187947	0.5905455350875854	-0.10493374077067977	0.05793794556158387	0	1.0
20	252	1.5367627143859863	-0.4709110670960347	0.0	0.6551256856538119	-0.04775536847018779	0	0.0
21	328	0.5749523043632507	-0.49167817121425245	0.0	0.37076724499592756	0.22862237122421808	0	0.0
22	184	1.3249999284744263	-0.25393862871803735	0.0	0.7232872722457175	0.3290320464058121	0	0.0
23	324	0.9796616435050964	-0.48010423897029414	0.0	1.368465445038897	0.2954888520191743	0	0.0
24	154	2.4970693588256836	-0.5922776130363137	0.020856661722064018	1.3169956345912635	0.25720108909554446	0	0.0
25	349	1.5124073028564453	-0.4846082209671258	0.021442173048853874	-0.2716376560664564	-0.05568167034971005	0	0.0
26	289	1.7250590324401855	-0.448265468713275	0.0	-0.20911547036800693	-0.06810818496608266	0	0.0
27	333	0.9134724736213684	-0.4842812077178858	0.0	-0.02068513680361323	-0.07464512170386411	0	0.0
28	77	1.5604161024093628	-0.2128819547047897	0.3838605582714081	1.1105343850447245	0.07921365941926391	0	0.0
3	440	0.8684051632881165	-0.3182757901969037	0.15372581779956818	0.21212668252510558	0.050759267969971315	0	0.1590909090909091
4	607	1.1738002300262451	3.166108386951099	6.382591247558594	0.2214852414474521	0.07681318521666439	0	0.8434925864909391
5	317	0.7947679162025452	0.012903131116446823	1.0900068283081055	0.7912296931306144	0.08078471231819309	0	0.7854889589905363
6	845	0.1694416105747223	-0.18146428806669831	0.6756501793861389	-0.38548769016469836	0.24208330612219026	0	0.27455621301775146
7	202	0.07917720824480057	-0.23159476381266095	0.3211336135864258	-0.33958555944091806	0.1728273328430869	0	0.5544554455445545
8	160	2.108376979827881	-0.07919486764973652	0.4721296727657318	0.9234037674320861	0.17230509120089796	0	0.36875
9	347	1.7259509563446045	-0.11737624853804922	0.020261451601982117	1.166667594906161	0.13978668431562596	0	0.025936599423631124
