lineage_id	cluster_path	n_clusters	start_cluster	end_cluster	n_cells	mean_CLDN4	mean_barrier	mean_IFN	mean_AT2	start_mean_CLDN4	start_mean_AT2	end_mean_CLDN4	end_mean_IFN	rho_CLDN4_pt	p_CLDN4_pt	rho_barrier_pt	p_barrier_pt	rho_IFN_pt	p_IFN_pt
Lineage1	4->18->8->14->1->19->25->26->11	9	4	11	3968	1.2763029336929321	0.351629153783887	0.09054406625470587	0.5488280693854389	1.1738002300262451	3.166108386951099	1.6900197267532349	-0.049995986543206736	0.0156648672802396	0.3238819607004366	-0.3020714640868469	1.6577474514875424e-84	-0.35875350029083297	7.865974184006374e-121
Lineage2	4->18->8->14->1->12->5->20	8	4	20	3829	1.2092310190200806	0.5068749301142318	0.10239100103343415	0.7036795002458727	1.1738002300262451	3.166108386951099	1.5367627143859863	-0.04775536847018779	-0.050814400354653635	0.0016589093535855338	0.1672821778037479	1.980756607968384e-25	-0.24681237083761012	3.062145892961903e-54
Lineage3	4->18->8->14->1->0->24	7	4	24	3343	1.3819829225540161	0.6331742955988683	0.1585019032411619	0.7682734515757798	1.1738002300262451	3.166108386951099	2.4970693588256836	0.25720108909554446	0.15970089804881152	1.543986746161185e-20	0.49530743719283615	1.7315287046670788e-206	0.476692643232235	2.7779383456494408e-189
Lineage4	4->18->8->14->1->7	6	4	7	3204	1.0420055389404297	0.44358742199631584	0.13101619290101352	0.8175050763287686	1.1738002300262451	3.166108386951099	0.07917720824480057	0.1728273328430869	-0.3997027513873726	3.270552512119184e-123	-0.03594473158084978	0.04190372580016359	0.1668933485380499	1.9085585914542787e-21
Lineage5	4->18->8->14->1->3	6	4	3	3134	1.101604700088501	0.49246747032444627	0.12805553973103612	0.85017232299558	1.1738002300262451	3.166108386951099	0.8684051632881165	0.050759267969971315	-0.25426471766160524	1.9581614147804823e-47	0.03173153880930018	0.07571016826346187	-0.025487859551465597	0.15371615214215775
Lineage6	4->18->8->14->1->9	6	4	9	3343	1.167500376701355	0.5589367387722779	0.1304759550953404	0.7860819154383212	1.1738002300262451	3.166108386951099	1.7259509563446045	0.13978668431562596	-0.1271007478004997	1.631395677731182e-13	0.36538319720341156	4.118000191664831e-106	0.2366421907961475	9.01144665270239e-44
Lineage7	4->18->8->14->1->13	6	4	13	3181	1.0935791730880737	0.5474386232001873	0.14485870234882356	0.8147176931855148	1.1738002300262451	3.166108386951099	0.7684904336929321	0.47051312810550533	-0.26515767254005673	2.512003069283168e-52	0.3277697546570732	1.505388085864249e-80	0.34429038477167195	3.2779979930623016e-89
Lineage8	4->18->8->14->1->15	6	4	15	3199	1.0494310855865479	0.45256935110731605	0.13957003831612125	0.817053054600192	1.1738002300262451	3.166108386951099	0.09821828454732895	0.28637344336153436	-0.3602956339682247	1.1554252665827967e-98	0.03206442895585525	0.06978370733912621	0.31623595552928285	3.169321371667051e-75
Lineage9	4->18->8->14->1->16	6	4	16	3498	1.0964136123657227	0.5273234811337846	0.15121692598422842	0.6957546818391195	1.1738002300262451	3.166108386951099	0.9850584268569946	0.2787423154813888	-0.23916434639808187	1.0843103063784168e-46	0.26591088216565767	1.0797556904693951e-57	0.3500977550411236	2.098044250703425e-101
Lineage10	4->18->8->14->1->17	6	4	17	3396	1.0673420429229736	0.44274172459568123	0.119083793110074	0.7388612755726199	1.1738002300262451	3.166108386951099	0.7811928987503052	0.03867531605080415	-0.2834865125898355	8.677125987555005e-64	-0.04420000035858761	0.00999289839324058	-0.09218278021245051	7.388644595698721e-08
Lineage11	4->18->8->14->1->21	6	4	21	3374	1.0461663007736206	0.48575556395763103	0.139011094404001	0.7398665959111207	1.1738002300262451	3.166108386951099	0.5749523043632507	0.22862237122421808	-0.326087889085154	2.0209945724771714e-84	0.1409600836252846	1.9373769899637451e-16	0.27311535927365943	8.667516446842584e-59
Lineage12	4->18->8->14->1->22	6	4	22	3233	1.1192938089370728	0.5076719198871762	0.14110733530316552	0.8079450345320026	1.1738002300262451	3.166108386951099	1.3249999284744263	0.3290320464058121	-0.2083424278429073	4.9051839178980094e-33	0.2754745349572464	2.1626924145190096e-57	0.33690081075742895	1.2359212783739096e-86
Lineage13	4->18->8->14->1->23	6	4	23	3351	1.090329647064209	0.577481620699122	0.14498469547793738	0.7479098887745227	1.1738002300262451	3.166108386951099	0.9796616435050964	0.2954888520191743	-0.25916642636827586	1.4472315778321951e-52	0.35564025606065497	1.7739764155661863e-100	0.31650258201152365	7.524561007469822e-79
Lineage14	4->18->8->14->1->27	6	4	27	3338	1.0953619480133057	0.44747380605061593	0.1068531105643585	0.7509264044357696	1.1738002300262451	3.166108386951099	0.9134724736213684	-0.07464512170386411	-0.2668564246374596	1.5737787471996674e-55	-0.0874383638721578	4.201603289602992e-07	-0.23256415816001078	3.104530105081094e-42
Lineage15	4->18->8->14->1->28	6	4	28	3163	1.1254619359970093	0.5159578333467219	0.12893086065129503	0.8326194013218589	1.1738002300262451	3.166108386951099	1.5604161024093628	0.07921365941926391	-0.2092673540821512	1.2324710037433995e-32	0.30145365643111766	1.8903139200383473e-67	0.23235024011249378	4.887827518613574e-40
Lineage16	4->18->8->14->2	5	4	2	2034	1.0940723419189453	0.30807283630994486	0.11500925152190261	1.3224711917718508	1.1738002300262451	3.166108386951099	0.02978507988154888	0.05793794556158387	-0.41268694968284275	1.7762483790371519e-84	-0.21293758717482444	2.7572534812467846e-22	0.14492809814063726	5.1366142700064383e-11
Lineage17	4->18->8->14->6	5	4	6	2532	0.9313413500785828	0.13333207017246276	0.1653162570473414	1.0421870485150269	1.1738002300262451	3.166108386951099	0.1694416105747223	0.24208330612219026	-0.5339383692234143	1.2596857493633997e-186	-0.5121663113024179	2.2268892111516762e-169	0.5880584548341783	1.9666233239476924e-235
