n	rho	p	cohort	predictor	target	ci95_low	ci95_high	q_bh
214	0.28383681675869826	2.4992591084219392e-05	lung_cell_lines	CLDN4	sig_IFNG	0.15577177779158105	0.40597252975877385	3.748888662632909e-05
214	0.2171770479639236	0.0013902907873530287	lung_cell_lines	CLDN4	sig_MHC1	0.08145200438205012	0.3428695701642218	0.0013902907873530287
214	0.3301344492867098	7.797070175619519e-07	lung_cell_lines	CLDN4	CD274	0.19657157880079146	0.451746750644353	2.3391210526858556e-06
214	0.607492302692719	5.636455165585781e-23	lung_cell_lines	CLDN4	TACSTD2	0.5133482836771317	0.6871859820977055	
143	0.23667519590974492	0.004428150922106572	NSCLC	CLDN4	sig_IFNG	0.06977462782626759	0.3924366245291906	0.006642226383159858
143	0.16605552967862544	0.04746909508156097	NSCLC	CLDN4	sig_MHC1	-0.01323643474136379	0.3255526346519377	0.04746909508156097
143	0.2754048003597968	0.0008713403348721139	NSCLC	CLDN4	CD274	0.1032624830092303	0.43253653838278927	0.002614021004616342
143	0.6674371791466219	8.81112211265072e-20	NSCLC	CLDN4	TACSTD2	0.5593342424824413	0.7530464246168324	
60	0.35598777438177276	0.005245674163161067	SCLC_NET	CLDN4	sig_IFNG			
60	0.29280355654348433	0.02318669630692693	SCLC_NET	CLDN4	sig_MHC1			
60	0.25690546482277316	0.04753354928135388	SCLC_NET	CLDN4	CD274			
60	0.36990607984022494	0.003626401814035375	SCLC_NET	CLDN4	TACSTD2			
80	0.24917955930614163	0.025818077581211504	LUAD	CLDN4	sig_IFNG			
80	0.10893108298171592	0.3361294268745976	LUAD	CLDN4	sig_MHC1			
80	0.3496682998686892	0.0014762752761792806	LUAD	CLDN4	CD274			
80	0.7561387264786419	5.108416933686581e-16	LUAD	CLDN4	TACSTD2			
27	0.18315018315018314	0.3605001915341344	LUSC	CLDN4	sig_IFNG			
27	0.12332112332112331	0.5399952074079588	LUSC	CLDN4	sig_MHC1			
27	0.003052503052503052	0.987943843640947	LUSC	CLDN4	CD274			
27	0.5317460317460317	0.0043096289274127475	LUSC	CLDN4	TACSTD2			
