cohort,gene,n_tumor,n_normal,median_tumor,median_normal,delta_median,p_mannwhitney_unpaired,n_paired,p_wilcoxon_paired
LUAD,TACSTD2,516,59,9.012643710964152,8.636988873178534,0.3756548377856177,0.007969624828788624,58,0.07432440155740637
LUAD,TGFB1,516,59,6.231929630347539,6.749668340903956,-0.5177387105564177,3.4693043522173595e-09,58,3.742941668402987e-05
LUAD,TGFB2,516,59,2.3679149699942643,4.115491089420945,-1.7475761194266806,2.514413148960566e-15,58,1.4275136240513333e-05
LUAD,TGFB3,516,59,3.5813030261343646,3.779900542323371,-0.19859751618900656,0.13143639800212117,58,0.3197889319443936
LUAD,TGFBR1,516,59,4.87995772062388,5.128602728916624,-0.24864500829274405,0.00040367818666205596,58,0.23162134376835997
LUAD,TGFBR2,516,59,6.3309094518842315,8.176374638509946,-1.8454651866257148,2.21211662350531e-33,58,4.796327819478128e-11
LUAD,TGFBR3,516,59,2.3781923429884846,5.387720964113456,-3.009528621124971,2.2121217175864747e-33,58,4.1018362800959493e-11
LUAD,SMAD2,516,59,3.0745898783629615,3.421479157103307,-0.3468892787403455,9.541418225357081e-08,58,0.10815592647484451
LUAD,SMAD3,516,59,4.680456120282599,4.825276830054866,-0.1448207097722669,0.23405562217735143,58,0.6561860590200659
LUAD,SMAD4,516,59,3.9110922470501386,4.402763099914235,-0.49167085286409673,1.6821516034798283e-13,58,2.0037788734208223e-07
LUAD,SMAD6,516,59,2.3173894416333605,4.637853650051339,-2.3204642084179783,2.109168523614486e-29,58,3.5060510731588664e-11
LUAD,SMAD7,516,59,4.420783362409159,5.436331769825219,-1.01554840741606,5.701564194563504e-23,58,2.721165565533036e-10
LUAD,CLDN4,516,59,8.180617052854966,7.016280131215432,1.164336921639534,6.58813620460523e-18,58,8.993574231497771e-09
LUAD,CD8A,516,59,3.8465596994824587,4.196158492602068,-0.3495987931196094,0.0170446247395106,58,0.0583573264024807
LUAD,HALLMARK_TGFB_ZMEAN,516,59,0.04414975672682332,0.013122868533198976,0.031026888193624348,0.8255145283049721,58,0.11159775842008125
LUAD,FTBRS_ZMEAN,516,59,-0.030928747861473076,0.10546164247863399,-0.13639039034010705,0.8930660623836575,58,0.04790954183315659
LUSC,TACSTD2,501,51,9.574978131676652,8.698984845314175,0.8759932863624762,4.832659347468464e-09,51,0.004006438863573213
LUSC,TGFB1,501,51,6.54787392556229,6.846010581760305,-0.29813665619801544,0.002169189504513635,51,0.2646608212139634
LUSC,TGFB2,501,51,2.100540401156574,3.9317397805203305,-1.8311993793637567,3.2332943872345584e-17,51,7.125975294253622e-06
LUSC,TGFB3,501,51,4.012470345211472,4.078695218949988,-0.06622487373851538,0.7617423354438365,51,0.27277447022761003
LUSC,TGFBR1,501,51,4.900480427866387,5.066562833459439,-0.16608240559305187,0.04552321950328641,51,0.12888798825236933
LUSC,TGFBR2,501,51,5.1016122603164185,8.125527125060632,-3.0239148647442136,7.547942976431372e-32,51,5.145276051717656e-10
LUSC,TGFBR3,501,51,2.967260848512224,5.099463536995441,-2.132202688483217,1.2884363540336522e-26,51,2.6464028636782697e-09
LUSC,SMAD2,501,51,3.365258599744726,3.296912537062117,0.06834606268260934,0.47424318408239896,51,0.022188474616196847
LUSC,SMAD3,501,51,5.442070981957015,4.89294953708304,0.5491214448739754,9.34284940136391e-09,51,1.4253773633971572e-05
LUSC,SMAD4,501,51,3.962993145460383,4.243646234052837,-0.28065308859245386,7.1569598129165e-05,51,0.11316734658246257
LUSC,SMAD6,501,51,1.8445463452550084,4.247646540208394,-2.4031001949533857,2.790250023958404e-28,51,7.349853257469353e-10
LUSC,SMAD7,501,51,3.8570653394835936,5.542635701610761,-1.6855703621271676,5.636748323256237e-27,51,1.8737206286873327e-09
LUSC,CLDN4,501,51,7.206203644478134,6.808092826403011,0.39811081807512316,0.01362431641921706,51,0.11749642055143679
LUSC,CD8A,501,51,3.6697638034496016,4.5232106484078685,-0.8534468449582668,2.993124924409516e-07,51,5.345935637952492e-05
LUSC,HALLMARK_TGFB_ZMEAN,501,51,0.03716361812159611,0.07076010470942291,-0.0335964865878268,0.9720643355590375,51,0.10488692980029334
LUSC,FTBRS_ZMEAN,501,51,-0.0028892050839503993,-0.14263879682720446,0.13974959174325405,0.8451025643099792,51,0.032585757035245785
