cohort,gene,role,alias,n,spearman_rho,spearman_p,partial_rho,partial_p,partial_n,partial_covariates,primary_label,spearman_fdr_ligands,spearman_fdr_all_partners
depmap_lung_cell_lines,TGFB1,primary_ligand,TGF-β1 ligand (named in claim A11),214,0.16764847159004145,0.014067858455398395,,,0,,WEAK_POSITIVE,0.020114715781616138,0.01918344334827054
depmap_lung_cell_lines,TGFB2,primary_ligand,TGF-β2 ligand,214,0.23063081157737955,0.0006737839009893687,,,0,,ASSOCIATED_POSITIVE,0.0020213517029681063,0.0011229731683156145
depmap_lung_cell_lines,TGFB3,primary_ligand,TGF-β3 ligand,214,-0.15879969963559204,0.020114715781616138,,,0,,WEAK_NEGATIVE,0.020114715781616138,0.025143394727020173
depmap_lung_cell_lines,TGFBR1,receptor,TGF-β receptor I / ALK5,214,-0.3618981350766025,5.0673798310717635e-08,,,0,,ASSOCIATED_NEGATIVE,,1.520213949321529e-07
depmap_lung_cell_lines,TGFBR2,receptor,TGF-β receptor II,214,0.46825730179152547,4.636793161422836e-13,,,0,,ASSOCIATED_POSITIVE,,2.318396580711418e-12
depmap_lung_cell_lines,TGFBR3,receptor,TGF-β receptor III / betaglycan,214,-0.10017660723271726,0.14413872506781458,,,0,,NULL,,0.16631391353978606
depmap_lung_cell_lines,SMAD2,smad,R-SMAD,214,-0.267374149318667,7.470215633532995e-05,,,0,,ASSOCIATED_NEGATIVE,,0.00016007604928999276
depmap_lung_cell_lines,SMAD3,smad,R-SMAD (in HALLMARK set),214,0.48051157707280595,9.220038317635627e-14,,,0,,ASSOCIATED_POSITIVE,,6.915028738226721e-13
depmap_lung_cell_lines,SMAD4,smad,Co-SMAD,214,-0.416927488184333,2.0819709877514367e-10,,,0,,ASSOCIATED_NEGATIVE,,7.807391204067888e-10
depmap_lung_cell_lines,SMAD6,smad,I-SMAD (BMP-biased),214,0.000630323810247536,0.9926860240540645,,,0,,NULL,,0.9926860240540645
depmap_lung_cell_lines,SMAD7,smad,I-SMAD / TGF-β feedback,214,-0.09145647822058427,0.18258035743788348,,,0,,NULL,,0.19562181154058944
depmap_lung_cell_lines,CLDN4,positive_control,"claudin-4 (junction positive control, not TGF-β)",214,0.6074923026927191,5.636455165585778e-23,,,0,,ASSOCIATED_POSITIVE,,8.454682748378667e-22
depmap_lung_cell_lines,CD8A,immune_context,"CD8 T-cell marker (immune context, not TGF-β)",214,-0.22855290364460293,0.000755630148526847,,,0,,ASSOCIATED_NEGATIVE,,0.0011334452227902707
