cohort,gene,role,alias,n,spearman_rho,spearman_p,partial_rho,partial_p,partial_n,partial_covariates,partial_fdr_ligands,partial_fdr_core,partial_fdr_all_partners,spearman_fdr_ligands,spearman_fdr_core,spearman_fdr_all_partners,primary_label
LUAD,TGFB1,primary_ligand,TGF-β1 ligand (named in claim A11),516,0.25490146925944834,4.266817924392905e-09,0.29067730652951423,3.128182870280409e-11,503,ABSOLUTE purity,4.692274305420614e-11,1.1470003857694834e-10,9.384548610841228e-11,6.400226886589358e-09,1.5644999056107322e-08,1.2800453773178716e-08,ASSOCIATED_POSITIVE
LUAD,TGFB2,primary_ligand,TGF-β2 ligand,516,0.3291241388931761,1.6811125034019695e-14,0.3543130525040107,2.7057490748620857e-16,503,ABSOLUTE purity,8.117247224586258e-16,2.976323982348294e-15,2.0293118061465643e-15,5.0433375102059086e-14,9.246118768710832e-14,8.405562517009848e-14,ASSOCIATED_POSITIVE
LUAD,TGFB3,primary_ligand,TGF-β3 ligand,516,-0.0012510301149492552,0.9773837730142437,0.03527722347725795,0.4303026334573363,503,ABSOLUTE purity,0.4303026334573363,0.5916661210038374,0.5378782918216704,0.9773837730142437,0.9773837730142437,0.9773837730142437,NULL
LUAD,TGFBR1,receptor,TGF-β receptor I / ALK5,516,0.007134880751229476,0.8715560157236536,0.02348096536524416,0.5996803385667249,503,ABSOLUTE purity,,0.6596483724233974,0.642514648464348,,0.9773837730142437,0.9579646364434865,NULL
LUAD,TGFBR2,receptor,TGF-β receptor II,516,0.18189011368910019,3.2323050112703296e-05,0.20530466497804356,3.518775894850144e-06,503,ABSOLUTE purity,,9.676633710837896e-06,7.540234060393166e-06,,8.888838780993406e-05,6.926367881293563e-05,ASSOCIATED_POSITIVE
LUAD,TGFBR3,receptor,TGF-β receptor III / betaglycan,516,0.08959342613065896,0.041918496046728856,0.11851118671824559,0.007859677577727844,503,ABSOLUTE purity,,0.017291290671001255,0.014736895458239706,,0.09222069130280348,0.06986416007788143,WEAK_POSITIVE
LUAD,SMAD2,smad,R-SMAD,516,-0.005874374181926556,0.8941003273472541,-0.010501184044019594,0.8144394857424301,503,ABSOLUTE purity,,0.8144394857424301,0.8144394857424301,,0.9773837730142437,0.9579646364434865,NULL
LUAD,SMAD3,smad,R-SMAD (in HALLMARK set),516,0.3432243001878335,1.035005118067861e-15,0.34154407816494986,3.5106136013978392e-15,503,ABSOLUTE purity,,1.9308374807688116e-14,1.7553068006989195e-14,,1.1385056298746471e-14,7.762538385508958e-15,ASSOCIATED_POSITIVE
LUAD,SMAD4,smad,Co-SMAD,516,-0.023057674275746204,0.6012742766523561,-0.030867137449325944,0.490175578068396,503,ABSOLUTE purity,,0.5991034843058173,0.5655872054635338,,0.8267521303969896,0.751592845815445,NULL
LUAD,SMAD6,smad,I-SMAD (BMP-biased),516,0.06572428306236161,0.13597189051291708,0.06469741519548118,0.14776482264523513,503,ABSOLUTE purity,,0.23220186415679808,0.20149748542532064,,0.21367011366315541,0.18541621433579603,NULL
LUAD,SMAD7,smad,I-SMAD / TGF-β feedback,516,0.07346637883861117,0.09550617430275206,0.07968139281654149,0.07447626366121554,503,ABSOLUTE purity,,0.1365398167122285,0.11171439549182331,,0.17509465288837878,0.1432592614541281,NULL
LUAD,CLDN4,positive_control,"claudin-4 (junction positive control, not TGF-β)",516,0.5309540207346253,7.189628573043896e-39,0.5253796875468276,5.76227825938086e-37,503,ABSOLUTE purity,,,8.64341738907129e-36,,,1.0784442859565845e-37,ASSOCIATED_POSITIVE
LUAD,CD8A,immune_context,"CD8 T-cell marker (immune context, not TGF-β)",516,-0.09532922844990789,0.030376576505164433,-0.0852211745771616,0.056375283751448714,503,ABSOLUTE purity,,,0.09395880625241453,,,0.05695608094718331,NULL
LUAD,HALLMARK_TGFB_ZMEAN,pathway_score,z-mean of HALLMARK_TGF_BETA_SIGNALING genes present,516,0.31231923584358934,3.8793532295802033e-13,0.3163835579364833,3.920153732822268e-13,503,ABSOLUTE purity,,,1.4700576498083505e-12,,,1.4547574610925763e-12,ASSOCIATED_POSITIVE
LUAD,FTBRS_ZMEAN,pathway_score,z-mean of Mariathasan 2018 F-TBRS genes present,516,0.2173548438657992,6.193008685412278e-07,0.2607081930438424,3.0377533837333874e-09,503,ABSOLUTE purity,,,7.594383459333468e-09,,,1.5482521713530695e-06,ASSOCIATED_POSITIVE
LUSC,TGFB1,primary_ligand,TGF-β1 ligand (named in claim A11),501,0.1670283655795978,0.00017287322708940754,0.16798189324063556,0.00018171148106269175,493,ABSOLUTE purity,0.00027256722159403764,0.00039976525833792186,0.0003893817451343395,0.00028546208599121377,0.00041867772612044687,0.0004078029799874482,WEAK_POSITIVE
LUSC,TGFB2,primary_ligand,TGF-β2 ligand,501,-0.11817273074213813,0.008103183995895918,-0.11402801116711282,0.011370849867314304,493,ABSOLUTE purity,0.011370849867314304,0.01563491856755717,0.01705627480097146,0.008103183995895918,0.012733574850693586,0.01350530665982653,WEAK_NEGATIVE
LUSC,TGFB3,primary_ligand,TGF-β3 ligand,501,-0.1659701354097416,0.00019030805732747584,-0.17924450137588993,6.38400894857045e-05,493,ABSOLUTE purity,0.0001915202684571135,0.00017556024608568737,0.00015960022371426126,0.00028546208599121377,0.00041867772612044687,0.0004078029799874482,WEAK_NEGATIVE
LUSC,TGFBR1,receptor,TGF-β receptor I / ALK5,501,-0.13283937304673524,0.002890646350518051,-0.1328881840544248,0.00314485053452084,493,ABSOLUTE purity,,0.005765559313288207,0.005896594752226575,,0.0052995183092830935,0.005419961907221346,WEAK_NEGATIVE
LUSC,TGFBR2,receptor,TGF-β receptor II,501,-0.08212515208626572,0.06625099719948122,-0.08914949792359282,0.0481164755957505,493,ABSOLUTE purity,,0.0588090257281395,0.06561337581238705,,0.08097344102158814,0.09034226890838348,NULL
LUSC,TGFBR3,receptor,TGF-β receptor III / betaglycan,501,-0.008808884433735347,0.8440773135115855,-0.0019218331720919832,0.9660842237379869,493,ABSOLUTE purity,,0.9660842237379869,0.9660842237379869,,0.8440773135115855,0.8440773135115855,NULL
LUSC,SMAD2,smad,R-SMAD,501,-0.10935139531468382,0.014331342434619337,-0.11855137412092086,0.00848348416487458,493,ABSOLUTE purity,,0.01333118940194577,0.014139140274790967,,0.01970559584760159,0.021497013651929006,WEAK_NEGATIVE
LUSC,SMAD3,smad,R-SMAD (in HALLMARK set),501,0.33221661855571727,2.2518092465253073e-14,0.34117238284842316,7.079505128324481e-15,493,ABSOLUTE purity,,7.78745564115693e-14,5.309628846243361e-14,,2.476990171177838e-13,1.6888569348939806e-13,ASSOCIATED_POSITIVE
LUSC,SMAD4,smad,Co-SMAD,501,-0.19932972777941482,6.935754237245024e-06,-0.21598053749726745,1.3268830996242308e-06,493,ABSOLUTE purity,,7.297857047933269e-06,4.975811623590866e-06,,3.8146648304847635e-05,2.6009078389668842e-05,ASSOCIATED_NEGATIVE
LUSC,SMAD6,smad,I-SMAD (BMP-biased),501,-0.07655571907712194,0.08693694682596771,-0.08358425876036438,0.06395184352647054,493,ABSOLUTE purity,,0.0703470278791176,0.07993980440808818,,0.09563064150856448,0.10867118353245964,NULL
LUSC,SMAD7,smad,I-SMAD / TGF-β feedback,501,-0.1921383686809648,1.489011225490571e-05,-0.20843494459126305,3.1184303400447035e-06,493,ABSOLUTE purity,,1.1434244580163913e-05,9.35529102013411e-06,,5.459707826798761e-05,4.467033676471713e-05,ASSOCIATED_NEGATIVE
LUSC,CLDN4,positive_control,"claudin-4 (junction positive control, not TGF-β)",501,0.39143583748836985,8.587182907798453e-20,0.3879997405295768,4.003923800224824e-19,493,ABSOLUTE purity,,,6.0058857003372365e-18,,,1.288077436169768e-18,ASSOCIATED_POSITIVE
LUSC,CD8A,immune_context,"CD8 T-cell marker (immune context, not TGF-β)",501,-0.27934413245222706,1.9647234213055613e-10,-0.29465559786645523,2.5975399351596735e-11,493,ABSOLUTE purity,,,1.2987699675798366e-10,,,9.823617106527806e-10,ASSOCIATED_NEGATIVE
LUSC,HALLMARK_TGFB_ZMEAN,pathway_score,z-mean of HALLMARK_TGF_BETA_SIGNALING genes present,501,0.015925758045661667,0.7221410043032721,0.01232001015062495,0.7851712511674767,493,ABSOLUTE purity,,,0.8412549119651536,,,0.7737225046106486,NULL
LUSC,FTBRS_ZMEAN,pathway_score,z-mean of Mariathasan 2018 F-TBRS genes present,501,-0.018678149676742133,0.6766303822641414,-0.02670587779838366,0.5545447570238528,493,ABSOLUTE purity,,,0.6398593350275223,,,0.7737225046106486,NULL
POOLED,TGFB1,primary_ligand,TGF-β1 ligand (named in claim A11),1017,0.24402033460197572,2.975098505608116e-15,0.21532590358361037,6.84575791275721e-12,996,ABSOLUTE purity + histology (LUSC vs LUAD),2.053727373827163e-11,3.765166852016465e-11,3.4228789563786046e-11,8.925295516824348e-15,1.6363041780844637e-14,1.4875492528040578e-14,ASSOCIATED_POSITIVE
POOLED,TGFB2,primary_ligand,TGF-β2 ligand,1017,0.06675342560488738,0.03329130610899569,0.11099383939974741,0.0004551992974421427,996,ABSOLUTE purity + histology (LUSC vs LUAD),0.000682798946163214,0.0012517980679658924,0.0009754270659474486,0.049936959163493534,0.04577554589986907,0.041614132636244604,WEAK_POSITIVE
