cohort,gene,role,split,tacstd2_q1,tacstd2_q3,n_high,n_low,median_high,median_low,delta_median,p_mannwhitney,U,fdr_bh
LUAD,TGFB1,primary_ligand,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,6.376299066712312,5.82084525703628,0.555453809676032,2.1146404026080742e-06,11163.0,3.1719606039121115e-06
LUAD,TGFB1,primary_ligand,median,9.012643710964152,9.012643710964152,258,258,6.423355425599379,5.985476975961099,0.43787844963827993,7.78264066460188e-09,43059.0,
LUAD,TGFB2,primary_ligand,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,3.102758898161742,1.86036693013812,1.242391968023622,8.536075464328183e-11,12211.0,2.560822639298455e-10
LUAD,TGFB2,primary_ligand,median,9.012643710964152,9.012643710964152,258,258,2.772676344808549,1.980492574628546,0.792183770180003,1.1878028548560339e-11,44767.0,
LUAD,TGFB3,primary_ligand,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,3.6023143425089312,3.672312184981682,-0.06999784247275098,0.5864675631800558,7994.0,0.5864675631800558
LUAD,TGFB3,primary_ligand,median,9.012643710964152,9.012643710964152,258,258,3.5961108062660854,3.569268438070042,0.026842368196043243,0.5778324562686922,34225.0,
LUAD,TGFBR1,receptor,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,4.944001005365803,4.839632123031937,0.10436888233386643,0.8845783916070262,8408.0,
LUAD,TGFBR1,receptor,median,9.012643710964152,9.012643710964152,258,258,4.901505658526668,4.853324108431652,0.048181550095016235,0.48168810647548654,34474.0,
LUAD,TGFBR2,receptor,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,6.467908728707835,5.869007701615998,0.5989010270918369,1.6203994307327517e-05,10905.0,
LUAD,TGFBR2,receptor,median,9.012643710964152,9.012643710964152,258,258,6.467823158011736,6.110760565387837,0.3570625926238993,0.000488025991588625,39188.0,
LUAD,TGFBR3,receptor,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,2.496257806280481,2.109093059279997,0.387164747000484,0.02492312632528863,9665.0,
LUAD,TGFBR3,receptor,median,9.012643710964152,9.012643710964152,258,258,2.434250374289358,2.275021950604446,0.1592284236849122,0.07820632757703568,36265.0,
LUAD,SMAD2,smad,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,3.0799241922137384,3.0631404973098606,0.016783694903877766,0.6857462357514557,8563.5,
