cohort,cancer,tissue,n_samples,cldn4,tacstd2,dcb_n,orr_n,author_n,histology_note,histology_source,estimate_overlap,residual_ok,expr_scale,duplicate_of
GSE126044,NSCLC,lung,16,yes,yes,—,—,16 (5/11),NA:16,none_in_GEO,"stromal=139,immune=141",True,log2CPM,
GSE135222,NSCLC,lung,27,yes,yes,27 (7/20),—,—,NA:27,none_in_GEO,"stromal=140,immune=140",True,log2(TPM+1),
GSE166449,NSCLC,lung,22,yes,yes,—,—,22 (7/15),NA:22,none_in_GEO,"stromal=140,immune=141",True,log2(TPM+1),
GSE190265,NSCLC,lung,43,yes,yes,43 (14/29),—,—,"NA:18,nonsquamous:14,LUSC:11",pathology_GEO,"stromal=141,immune=133",True,log2(TPM+1),
GSE190266,NSCLC,lung,70,yes,no,69 (17/52),—,—,"nonsquamous:54,LUSC:14,NA:2",pathology_GEO,"stromal=93,immune=97",True,log2(TPM+1),
GSE207422,NSCLC,lung,24,yes,yes,—,24 (17/7),24 (9/15),"LUSC:12,LUAD:8,NA:4",pathology_xlsx,"stromal=141,immune=141",True,already_log2TPM,
GSE283829,NSCLC,lung,27,yes,yes,—,27 (7/20),—,"LUAD:16,LUSC:9,NA:2",pathology_GEO,"stromal=141,immune=141",True,log2CPM,
GSE253564,NSCLC,lung,32,yes,yes,—,—,—,"LUAD:20,LUSC:10,NA:2",pathology_GEO,"stromal=138,immune=138",True,log2(FPKM+1),
IMvigor210,urothelial,nonlung,348,yes,yes,0 (0/0),298 (68/230),235 (68/167),NA:348,icb_metadata,"stromal=138,immune=140",True,already_log_zenodo,
Gide,melanoma,nonlung,41,yes,yes,41 (22/19),41 (19/22),38 (19/19),NA:41,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,
Liu,melanoma,nonlung,121,yes,yes,121 (57/64),121 (47/74),112 (52/60),NA:121,icb_metadata,"stromal=139,immune=140",True,already_log_zenodo,
Riaz,melanoma,nonlung,46,yes,yes,0 (0/0),44 (9/35),30 (9/21),NA:46,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,
Braun,ccRCC,nonlung,181,yes,yes,170 (65/105),172 (39/133),142 (39/103),NA:181,icb_metadata,"stromal=138,immune=140",True,already_log_zenodo,
ICB_Jung,NSCLC,lung,27,yes,yes,27 (7/20),0 (0/0),27 (8/19),NA:27,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,GSE135222
Hugo,melanoma,nonlung,27,yes,yes,0 (0/0),27 (14/13),27 (14/13),NA:27,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,
Snyder,urothelial,nonlung,25,yes,yes,25 (9/16),21 (7/14),18 (8/10),NA:25,icb_metadata,"stromal=140,immune=140",True,already_log_zenodo,
Shiuan,RCC,nonlung,15,yes,yes,0 (0/0),13 (6/7),13 (6/7),NA:15,icb_metadata,"stromal=137,immune=139",True,already_log_zenodo,
Puch,melanoma,nonlung,55,yes,yes,0 (0/0),55 (14/41),49 (14/35),NA:55,icb_metadata,"stromal=138,immune=139",True,already_log_zenodo,
Miao1,RCC,nonlung,33,yes,yes,14 (12/2),33 (8/25),28 (10/18),NA:33,icb_metadata,"stromal=140,immune=140",True,already_log_zenodo,
Kim,gastric,nonlung,45,yes,yes,0 (0/0),45 (13/32),31 (13/18),NA:45,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,
Van_Allen,melanoma,nonlung,42,yes,yes,42 (13/29),41 (7/34),39 (9/30),NA:42,icb_metadata,"stromal=140,immune=140",True,already_log_zenodo,
Nathanson,melanoma,nonlung,24,yes,yes,0 (0/0),0 (0/0),24 (10/14),NA:24,icb_metadata,"stromal=141,immune=141",True,already_log_zenodo,
