cohort,reason
Hwang,NSCLC immune-gene panel; CLDN4/TACSTD2 not on the panel
Jerby_Arnon,melanoma signature panel; CLDN4/TACSTD2 not on the panel
Roh,melanoma panel; CLDN4/TACSTD2 not on the panel
