k,n_total,fe_or,fe_or_lo,fe_or_hi,re_or,re_or_lo,re_or_hi,re_logor,re_se,re_p,tau2,Q,I2,estimable,cohorts,subset,gene,measure,cutoff,endpoint,histology_split
3,139.0,1.6924635015659164,0.7886878498833009,3.6318965793077727,1.6924635015659164,0.7886878498833009,3.6318965793077727,0.5261851607658115,0.3895764411773593,0.1768044989202815,0.0,0.3030905984409774,0.0,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,raw,median,DCB,all
3,94.0,1.6462848492006845,0.6744628262029759,4.0183887078931235,1.6462848492006845,0.6744628262029759,4.0183887078931235,0.4985211426899816,0.4552856431936275,0.27353264549571876,0.0,0.6822420527148682,0.0,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,raw,tertile,DCB,all
3,139.0,1.1834239982160855,0.7823392717743134,1.7901342934983773,1.1822545536920195,0.7645801794234096,1.8280958195641148,0.1674232542510887,0.22237328322028962,0.45151430697857053,0.013679633222168171,2.1972798786731174,8.978368235559039,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,raw,continuous,DCB,all
3,139.0,0.9407090791157253,0.4443597950759247,1.9914798353427845,0.9407090791157253,0.4443597950759247,1.9914798353427845,-0.06112134860430332,0.38265272797510697,0.8730932975871499,0.0,0.21247957097753262,0.0,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,residual,median,DCB,all
3,94.0,0.9981855037976555,0.410390687010002,2.4278677161294744,0.9981855037976555,0.410390687010002,2.4278677161294744,-0.00181614439463953,0.453484455846516,0.9968045879403458,0.0,0.3810720050100324,0.0,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,residual,tertile,DCB,all
3,139.0,0.9807071982425726,0.6667584193767947,1.4424813856625291,0.9807071982425726,0.6667584193767947,1.4424813856625291,-0.019481336708104816,0.19686028153310126,0.9211698551032714,0.0,0.45682712081310584,0.0,True,"GSE135222,GSE190265,GSE190266",lung_DCB,CLDN4,residual,continuous,DCB,all
2,70.0,1.059509037982539,0.3771248404530336,2.976625459670526,1.059509037982539,0.3771248404530336,2.976625459670526,0.05780562911223854,0.5270329763655459,0.9126621808429602,0.0,0.5876576086722349,0.0,True,"GSE135222,GSE190265",lung_DCB,TACSTD2,raw,median,DCB,all
2,48.0,1.0,0.25950883903642014,3.8534332923421437,1.0,0.25950883903642014,3.8534332923421437,0.0,0.6882472016116854,1.0,0.0,0.0,0.0,True,"GSE135222,GSE190265",lung_DCB,TACSTD2,raw,tertile,DCB,all
2,70.0,0.9191574174206125,0.5475439939116018,1.5429816916880053,0.9191574174206125,0.5475439939116018,1.5429816916880053,-0.08429787921625054,0.26429315669745557,0.7497599038147655,0.0,0.12581028975567396,0.0,True,"GSE135222,GSE190265",lung_DCB,TACSTD2,raw,continuous,DCB,all
2,70.0,1.059509037982539,0.3771248404530336,2.976625459670526,1.059509037982539,0.3771248404530336,2.976625459670526,0.05780562911223854,0.5270329763655459,0.9126621808429602,0.0,0.5876576086722349,0.0,True,"GSE135222,GSE190265",lung_DCB,TACSTD2,residual,median,DCB,all
