sampleId,CD274,CD8A,CLDN4,EGFR,KEAP1,KRAS,STK11,TACSTD2,TP53
TCGA-05-4244-01,261.105,141.024,16118.3,2347.77,1435.73,1962.13,968.322,8024.78,1284.93
TCGA-05-4249-01,67.6109,120.734,15705.4,1615.54,1572.11,4618.15,1110.75,5092.07,2366.7
TCGA-05-4250-01,404.211,961.95,28839.6,792.154,1217.61,4723.2,627.705,6150.05,315.676
TCGA-05-4382-01,117.259,169.188,14863.4,626.496,1059.64,1599.75,651.386,8562.78,1274.06
TCGA-05-4384-01,32.3763,114.844,6038.48,582.156,1587.66,1329.26,342.7,4045.82,1887.6
TCGA-05-4389-01,103.691,1194.63,8427.85,301.007,2357.72,1361.07,727.181,5737.58,1338.26
TCGA-05-4390-01,54.9258,77.9179,12511.6,1688.63,1242.85,2207.89,201.82,4457.93,1324.6
TCGA-05-4395-01,59.5936,199.719,13995.9,4113.78,1294.15,3050.28,990.274,14732.8,1160.47
TCGA-05-4396-01,23.5027,69.7498,7880.21,1151.62,1117.51,3103.11,108.415,5914.33,287.339
TCGA-05-4397-01,35.3396,121.48,3595.36,297.277,2709.0,950.414,1123.14,4587.3,528.99
TCGA-05-4398-01,651.588,321.662,23663.5,3457.72,1263.81,1223.58,989.778,9609.18,1324.27
TCGA-05-4402-01,45.8411,122.323,13191.1,3886.06,1041.56,1464.74,650.703,11973.5,352.494
TCGA-05-4403-01,47.2616,139.283,13129.3,467.606,1871.56,1346.4,853.211,11078.1,1658.33
TCGA-05-4405-01,79.5157,254.45,16387.5,2750.55,1527.37,1144.36,1134.42,5151.96,3309.18
TCGA-05-4410-01,107.034,668.96,13765.3,5409.01,1055.05,1186.54,970.948,8428.13,1667.43
TCGA-05-4415-01,63.1111,431.556,212.444,7015.47,128.889,3100.44,200.444,237.333,192.444
TCGA-05-4417-01,79.4223,456.202,4603.95,1159.54,1026.14,3154.02,822.815,2624.11,1268.85
TCGA-05-4418-01,129.622,489.904,5780.47,619.187,959.202,1347.07,1044.29,3770.67,1031.99
TCGA-05-4420-01,19.9842,98.6064,12179.6,569.014,1139.63,1457.01,402.051,15532.5,1141.2
TCGA-05-4422-01,54.4901,1111.72,10227.4,487.309,1591.17,1385.69,669.406,4005.78,3121.16
TCGA-05-4424-01,42.4214,319.828,5089.13,673.97,860.82,2608.67,469.495,3726.88,2193.99
TCGA-05-4425-01,137.661,197.538,4867.38,1013.42,1577.5,1855.62,890.879,7090.1,1124.79
TCGA-05-4426-01,292.553,107.299,6585.55,1444.67,1798.0,559.318,1368.51,17275.1,955.02
TCGA-05-4427-01,292.634,294.147,9771.95,1566.58,1018.67,2921.8,833.501,5824.92,1544.4
TCGA-05-4430-01,70.8134,304.625,15287.4,630.931,1589.15,1844.02,1033.81,4226.79,1606.7
TCGA-05-4432-01,58.8405,365.157,7742.43,1306.88,1732.33,1405.83,399.192,3273.15,1869.05
TCGA-05-4433-01,56.1983,428.926,9396.69,820.587,1042.15,3184.3,666.116,7105.79,482.645
TCGA-05-4434-01,260.909,354.737,12225.9,1098.57,1612.25,1373.28,605.471,16521.1,2422.11
TCGA-05-5423-01,49.0842,244.689,17857.9,1367.75,1397.8,1237.36,609.524,5910.62,1530.4
TCGA-05-5425-01,107.466,894.796,11296.4,989.819,1504.52,1044.12,364.819,3740.95,372.172
TCGA-05-5428-01,62.7861,183.126,20240.7,381.949,406.366,1427.51,432.527,11420.1,1146.72
TCGA-05-5429-01,6.9606,90.4872,18637.3,446.172,1793.5,1105.18,665.12,15710.8,1063.42
TCGA-05-5715-01,21.0814,122.584,20944.8,883.857,2055.83,1683.39,975.21,11469.1,1485.85
TCGA-35-3615-01,21.7674,171.54,6236.52,248.207,632.229,1214.42,321.637,1031.19,2469.46
TCGA-35-4122-01,271.357,878.894,12308.5,211.558,1434.67,1498.49,614.573,9825.13,702.01
TCGA-35-4123-01,534.395,3308.25,12904.1,1108.75,904.125,1309.42,604.214,5827.41,425.935
TCGA-35-5375-01,78.8013,669.256,9173.14,139.833,2017.76,674.806,422.863,14917.9,1923.42
TCGA-38-4625-01,1397.07,381.864,5642.64,967.604,2406.08,1265.28,1844.55,303.577,2066.18
TCGA-38-4626-01,154.969,235.733,5085.91,836.342,1470.28,1135.91,1074.37,2841.69,984.56
TCGA-38-4627-01,41.9555,157.242,6927.76,985.768,1808.1,1161.98,947.464,6444.36,1349.14
TCGA-38-4628-01,25.6005,34.134,19649.5,1735.77,1528.76,1195.32,811.315,10298.4,2236.09
TCGA-38-4631-01,14.1257,190.696,8547.59,182.064,2182.41,1565.59,732.18,5053.06,92.6015
