,TACSTD2_log2FPKMp1,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
durva001,4.230203013366421,2050.7278944378713,7511.360847702175,9562.088742140048,
durva003,7.6120428110206895,2882.0674445075965,3389.8212406875036,6271.8886851951,0.04515326261548938
durva006,7.083043128701803,-1094.844923062052,3742.4185569410934,2647.573633879041,0.5456596071285091
durva007,1.1342209397606338,-1616.8796791350119,5912.268090981971,4295.38841184696,0.32904863731109724
durva008,5.88774458270931,3377.7988751691246,5143.342959447845,8521.14183461697,
durva009,3.8495990111514518,4278.740718472594,6877.2291951155585,11155.969913588153,
durva012,4.815575428862573,2940.0855957617237,6006.521066902693,8946.606662664417,
durva017,7.302456147992687,3071.4289077239564,3733.31744114138,6804.746348865337,
durva018,5.261982056984317,2692.9690950196496,5850.473726088243,8543.442821107892,
durva021,8.148502003893345,521.1894153646558,769.9875321818803,1291.1769475465362,0.7006294804307455
durva023,6.106034182520036,3769.7902149333854,5833.925885804371,9603.716100737756,
durva026,2.859770816208743,3624.4493530729897,7679.746694730273,11304.196047803263,
durva027,6.765640822980862,2147.816173705461,4668.278894438834,6816.0950681442955,
durva028,7.752454243031376,2996.879738514497,4451.548264007475,7448.428002521972,
durva029,8.537393144401806,285.3380263383591,3392.3146221063244,3677.6526484446836,0.41320645976197984
durva030,6.166755608523193,192.59782175545092,2939.3569220876116,3131.9547438430627,0.4847475351906001
durva033,7.781038350203309,2008.1487913503818,3236.021459284734,5244.170250635116,0.1947727567934132
durva036,7.808217704802233,1019.7808448731507,3078.5698851940188,4098.35073006717,0.3562194282380051
durva037,2.2327313550329713,914.6156236115348,7900.577786096315,8815.19340970785,
durva038,7.381715977694854,2057.531489222708,5858.206714773529,7915.738203996237,
durva039,6.2867407146943455,596.0379634793217,6137.8574942729265,6733.895457752248,
durva040,4.894798365597157,2363.4269355901315,4294.490946511978,6657.91788210211,
durva042,6.008979822360662,4237.426715158621,6445.051298050064,10682.478013208685,
durva044,6.5532237849125154,3591.0359038832667,4873.039421687434,8464.0753255707,
durva045,4.463975502538819,3331.2528988149193,5785.378137713053,9116.631036527971,
durva046,6.5845326337881165,4130.572060829417,3941.435246736254,8072.007307565671,
durva053,4.67782955707597,1668.0098546741388,6396.550158172518,8064.560012846658,
durva055,5.119032405921335,3642.9844852506576,6156.162205491482,9799.14669074214,
durva056,6.71963523890685,479.94715336107805,6863.815763951248,7343.762917312326,
durva057,6.354628466662086,-36.20289158717057,6463.886381021939,6427.6834894347685,0.022297901721328173
durva060,7.343985140130816,3439.682773117299,5828.7567258100225,9268.43949892732,
durva061,6.541446692688694,3605.204245197131,4742.735694793346,8347.939939990476,
