,TACSTD2_log2FPKMp1,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
pod04,4.989593184938768,539.125965348198,3716.173998109465,4255.299963457663,0.3345997360093721
pod15,6.207697668655053,941.2120225788756,3863.4153564670682,4804.627379045944,0.2576077367721328
POD23R,4.889960199658641,1429.4071275984943,3418.402027631154,4847.809155229648,0.2514779487869297
47-M-PO,6.1141587687205465,136.55676104030542,3125.6425269104902,3262.1992879507957,0.46793798883317095
53-M-PO,3.791814071161826,1764.6193389411944,4892.212172777479,6656.831511718674,
61-M-PO,4.88508622529017,2625.931003116542,5014.639196331651,7640.570199448193,
57-M-PO,6.647026632654853,-496.17767522046915,2926.7770592948923,2430.599384074423,0.5720683020865507
POD26R,3.017921907997262,2184.236987730755,5157.660742782275,7341.89773051303,
POD27R,6.414473836430928,908.2766639917047,4128.259030142213,5036.535694133918,0.22457230570927142
38-M-PO,4.297191416565856,2462.573500329442,4722.067915924534,7184.641416253976,
40-M-PO,5.484782623077873,-1226.557415876529,2141.9673834145233,915.4099675379944,0.738900783024588
45-M-PO,4.6519127446457835,-1194.0002742307338,3024.2136084443646,1830.2133342136308,0.6420391361338993
pod01,5.060047383669939,1813.7223442335567,4611.799419897685,6425.521764131241,0.022615137897918903
pod07,6.949885059226931,1492.4044976493437,2784.250121564879,4276.654619214223,0.331644159415144
POD32R,7.091170890027901,2305.4188252695903,2056.012484461142,4361.431309730732,0.31987883597685596
44-RT-PO,7.04592343960255,681.0810297312873,3669.360485216155,4350.441514947443,0.32140683482166144
52-RT-PO,5.36387192485753,2056.2012785756156,4857.815644908522,6914.016923484138,
pod09,4.9941271140031285,1956.5989148076924,4267.387467855736,6223.986382663428,0.05217641921696756
pod13,7.187451054027326,666.3281805510398,2538.7902518278406,3205.1184323788802,0.47532634241957533
46-RT-PO,7.111657346263132,1606.1589735960742,2210.9243356461857,3817.08330924226,0.39448338368579
POD20R,5.12267271882414,1939.836101638341,4675.3292392043695,6615.16534084271,
41-M-PO,5.521678951603199,-1793.347410641044,355.96982219976894,-1437.377588441275,0.923382121989784
pod08,5.552131108253784,1404.7672331527888,4014.1988888137143,5418.966121966503,0.1695447945938473
pod12,5.520736526937641,380.88159237934946,3172.1477484962693,3553.029340875619,0.4297949167070405
POD30R,7.190812367916136,-174.52116084930188,3213.8371640668183,3039.3160032175165,0.496596153687569
55-M-PO,8.014132086503214,495.7350941507251,2971.489517567247,3467.224611717972,0.4411330108190473
36-M-PO,8.581238249711042,-2437.484434814458,-1423.0576710756686,-3860.5421058901265,0.999266476051337
pod18,6.34002810238993,-76.59587448495299,2219.6127066402573,2143.016832155304,0.6061723786892886
59-RT-PO,7.0300049445090815,1833.9953441789617,3274.583485465216,5108.578829644178,0.21425495920818122
