gene,counts_bg,counts_fg,freq_bg,freq_fg,n_cells_with_min_umis_above_thresh,log2_FC,p.value,adj.p.value,neglog10_p,neglog10_padj
RP11-34P13.7,4.0,7.0,1.0937765753527293e-07,1.6613102070092197e-07,11,0.07197931619620031,0.5499,0.6609186564504633,0.25971628031812083,0.1798519886665201
FO538757.2,917.0,750.0,2.5074827989961317e-05,1.7799752217955923e-05,1507,-0.47194408842011326,0.0,0.0,300.0,300.0
AP006222.2,513.0,361.0,1.4027684578898753e-05,8.567614067576118e-06,791,-0.6513916389076803,0.0,0.0,300.0,300.0
RP4-669L17.10,10.0,7.0,2.7344414383818234e-07,1.6613102070092197e-07,17,-0.1270057893996258,0.32968,0.4488679047234558,0.4819073984834682,0.3478814467253633
RP11-206L10.9,105.0,136.0,2.8711635103009145e-06,3.227688402189341e-06,236,0.12710180264705517,0.37108,0.49354566846325754,0.43053245207456475,0.3066726552659797
FAM87B,6.0,4.0,1.6406648630290938e-07,9.493201182909826e-08,10,-0.08833217031694426,0.34512,0.4649698821649691,0.4620298722415302,0.3325751770738572
LINC00115,71.0,97.0,1.9414534212510943e-06,2.302101286855633e-06,162,0.1668551824243809,0.29454,0.40858414341536986,0.5308557175164869,0.3887184917437849
FAM41C,173.0,120.0,4.7305836884005545e-06,2.847960354872948e-06,284,-0.5745881568683711,2e-05,7.137566137566138e-05,4.698970004336019,4.1464498545013395
RP11-54O7.1,32.0,21.0,8.750212602821834e-07,4.983930621027658e-07,53,-0.32349082926486417,0.04826,0.09225707132735002,1.316412682427233,1.0350003360550784
SAMD11,8.0,49.0,2.1875531507054586e-07,1.1629171449064538e-06,54,0.8275698903262972,0.0,0.0,300.0,300.0
NOC2L,895.0,941.0,2.4473250873517318e-05,2.2332755782795365e-05,1641,-0.12662637574609056,0.05878,0.10967388658367912,1.2307704182634063,0.9598967658860328
KLHL17,24.0,37.0,6.562659452116375e-07,8.781211094191589e-07,61,0.181355753492622,0.2716,0.38349214988486496,0.5660702343915359,0.4162435216669667
PLEKHN1,55.0,205.0,1.5039427911100027e-06,4.8652656062412864e-06,252,1.2279948409701635,0.0,0.0,300.0,300.0
RP11-54O7.17,9.0,17.0,2.4609972945436407e-07,4.0346105027366765e-07,25,0.17156948922799162,0.20718,0.3094167318621301,0.6836521712669021,0.5094562053137028
HES4,171.0,473.0,4.675894859632918e-06,1.122571039879087e-05,454,1.1069985279748167,0.0,0.0,300.0,300.0
ISG15,11092.0,15604.0,0.00030330424434531184,0.0003703297781453123,6554,0.28718655797464154,0.00012,0.00039348565872630045,3.9208187539523753,3.405071091639176
AGRN,183.0,83.0,5.004027832238736e-06,1.969839245453789e-06,245,-1.0155458232809431,0.0,0.0,300.0,300.0
RNF223,2.0,5.0,5.4688828767636465e-08,1.1866501478637284e-07,7,0.08496067004204882,0.45708,0.5735822511627907,0.34000778129142895,0.2414042958711488
C1orf159,99.0,73.0,2.707097023998005e-06,1.7325092158810434e-06,169,-0.4400635129325246,0.004,0.010195238695049754,2.3979400086720375,1.9916026018888382
RP11-465B22.8,1.0,3.0,2.7344414383818233e-08,7.11990088718237e-08,4,0.06030660863640274,0.6237,0.7228593643393222,0.20502425594886836,0.14094618850414395
TTLL10-AS1,3.0,3.0,8.203324315145469e-08,7.11990088718237e-08,6,-0.014518292637377882,0.6857,0.7703868484982332,0.16386585053462518,0.11329113978980199
TTLL10,44.0,27.0,1.2031542328880022e-06,6.407910798464132e-07,66,-0.425178941398616,0.0146,0.032561556265843714,1.8356471442155629,1.4872948463652567
TNFRSF18,1135.0,2817.0,3.103591032563369e-05,6.685586933064245e-05,1868,1.0827836234655326,0.0,0.0,300.0,300.0
TNFRSF4,1183.0,2299.0,3.234844221605697e-05,5.456217379877423e-05,1637,0.7364836727011232,0.0,0.0,300.0,300.0
SDF4,2432.0,2837.0,6.650161578144594e-05,6.733052938978794e-05,3875,0.017608267847938296,0.66296,0.7528900886743742,0.17851267416435626,0.12326842003606558
B3GALT6,148.0,212.0,4.046973328805098e-06,5.031396626942208e-06,345,0.25707364789173437,0.04442,0.08563630907012196,1.3524214457875448,1.0673420590915443
FAM132A,6.0,7.0,1.6406648630290938e-07,1.6613102070092197e-07,13,0.0025564307816467514,1.0,1.0,-0.0,-0.0
RP5-902P8.12,2.0,5.0,5.4688828767636465e-08,1.1866501478637284e-07,7,0.08496067004204882,0.45584,0.5725588081936686,0.3411875681045983,0.2421798997962309
UBE2J2,1079.0,1092.0,2.9504623120139872e-05,2.5916439229343828e-05,1936,-0.18054033779651263,0.00252,0.00667175192987047,2.598599459218456,2.1757601100758444
RP5-902P8.10,0.0,4.0,0.0,9.493201182909826e-08,4,0.13084129060983296,0.12318,0.20368940916891395,0.9094598002457644,0.691031551554936
SCNN1D,12.0,10.0,3.2813297260581876e-07,2.3733002957274567e-07,22,-0.10216923882092846,0.51884,0.6322493135011441,0.28496654933888327,0.19911163354200256
ACAP3,206.0,352.0,5.632949363066556e-06,8.354017040960648e-06,526,0.4959355448658176,0.0,0.0,300.0,300.0
PUSL1,283.0,317.0,7.73846927062056e-06,7.523361937456038e-06,574,-0.035957986641969655,0.73328,0.8057956337569242,0.1347301600992886,0.09377509018716929
CPSF3L,962.0,823.0,2.630532663723314e-05,1.953226143383697e-05,1626,-0.41128987963846825,0.0,0.0,300.0,300.0
CPTP,255.0,363.0,6.972825667873649e-06,8.615080073490667e-06,585,0.27020774846234374,0.01122,0.02576156813797799,1.9500071430798573,1.5890277044743912
TAS1R3,19.0,190.0,5.195438732925464e-07,4.5092705618821675e-06,176,1.8582229858936066,0.0,0.0,300.0,300.0
DVL1,83.0,71.0,2.269586393856913e-06,1.6850432099664941e-06,154,-0.2841628393588246,0.06228,0.11468157248157247,1.2056513961039173,0.9405063607605392
