gene,l2fc,fg_exprs,bg_exprs
TACSTD2,-5.53229324999492,1.13493945353834e-05,0.0005705205866163
EPCAM,-7.83055126425676,2.27062582346598e-06,0.0007434948099941
CLDN4,-7.41557937121507,3.208005892035e-06,0.0007174361306964
CLDN3,-7.80439270509066,2.76732522234917e-06,0.0008411499270963
CLDN7,-4.43191949715119,1.10991775449686e-05,0.0002601539245496
KRT8,-7.08232336003144,4.88856776795555e-06,0.0007969973475554
KRT19,-7.81921880460393,4.907240677688e-06,0.0013331481810782
PTPRC,3.67789444065874,0.0003237023593759,2.43704924328539e-05
CD3D,4.290005618892,0.000253970245271,1.2033742267022e-05
CXCL13,2.93111987012589,0.0001330743584992,1.65788607491706e-05
SPP1,2.29508048885985,0.0010404209190546,0.0002111965054705
IGHG1,4.77374175154602,0.0044892998774743,0.0001631481100877
