gene,counts_bg,counts_fg,freq_bg,freq_fg,n_cells_with_min_umis_above_thresh,log2_FC,p.value,adj.p.value,neglog10_p,neglog10_padj
TACSTD2,351.0,518.0,9.5978894487202e-06,1.2293695531868225e-05,342,0.3269652338761604,0.25104,0.359377035726919,0.6002570737571385,0.44444967785509143
EPCAM,69.0,132.0,1.886764592483458e-06,3.1327563903602426e-06,172,0.5176508603974903,0.0037,0.009495180722891567,2.431798275933005,2.022496764870341
CLDN4,82.0,209.0,2.242241979473095e-06,4.960197618070384e-06,265,0.8783683978239862,0.0,0.0,300.0,300.0
CLDN3,26.0,248.0,7.109547739792741e-07,5.885784733404092e-06,219,2.00881945413583,0.0,0.0,300.0,300.0
CLDN7,521.0,265.0,1.4246439893969299e-05,6.28924578367776e-06,642,-1.0646309546966772,0.0,0.0,300.0,300.0
KRT8,176.0,244.0,4.812616931552009e-06,5.790852721574995e-06,367,0.22440490994676743,0.1568,0.244554339448127,0.8046539416515803,0.6116246265182028
KRT18,222.0,408.0,6.070459993207647e-06,9.683065206568024e-06,500,0.5954496646737696,2e-05,7.137566137566138e-05,4.698970004336019,4.1464498545013395
KRT19,105.0,234.0,2.8711635103009145e-06,5.553522692002249e-06,285,0.7595033564318525,2e-05,7.137566137566138e-05,4.698970004336019,4.1464498545013395
CDH1,25.0,44.0,6.836103595954558e-07,1.044252130120081e-06,57,0.2800148516402822,0.15046,0.2359390964042158,0.8225789425168312,0.6272000881701507
PDCD1,378.0,824.0,1.0336188637083292e-05,1.9555994436794244e-05,900,0.8586234964261709,0.0,0.0,300.0,300.0
CXCL13,1244.0,9561.0,3.4016451493469884e-05,0.00022691124127450214,1170,2.702367288383086,0.0,0.0,300.0,300.0
SPP1,16867.0,77274.0,0.00046121823741186214,0.0018339440705204349,3233,1.9890900006719967,0.0,0.0,300.0,300.0
IGHG1,12816.0,395882.0,0.00035044601474301445,0.00939546867673177,4317,4.740743673292975,0.0,0.0,300.0,300.0
IGHG3,14491.0,525352.0,0.00039624790883591,0.012468180569610108,5437,4.972183224186838,0.0,0.0,300.0,300.0
MZB1,3692.0,48026.0,0.00010095557790505691,0.0011398012000260684,2845,3.4840347932132927,0.0,0.0,300.0,300.0
LAYN,121.0,366.0,3.308674140442006e-06,8.686279082362491e-06,367,1.168698577281291,0.0,0.0,300.0,300.0
TNFRSF9,409.0,1171.0,1.1183865482981657e-05,2.779134646296852e-05,943,1.2406633410723955,0.0,0.0,300.0,300.0
GZMB,3908.0,9762.0,0.00010686197141196164,0.00023168157486891432,2803,1.1091706663781007,0.0,0.0,300.0,300.0
PTPRC,12100.0,12026.0,0.0003308674140442006,0.00028541309356418395,9840,-0.2125095307346955,0.0,0.0,300.0,300.0
CD3D,8933.0,10575.0,0.00024426765369064827,0.0002509765062731785,6406,0.03893224493134898,0.41284,0.5318870113332484,0.3842182306209746,0.27418061500969293
MS4A1,2096.0,2392.0,5.731389254848302e-05,5.6769343073800764e-05,1669,-0.013535539136401402,0.88958,0.9276295439319763,0.050814989686565476,0.03262542803501373
CLEC9A,191.0,72.0,5.222783147309282e-06,1.7087762129237688e-06,79,-1.19991876240162,0.00042,0.0012665722801788377,3.3767507096020997,2.897370021043506
CLEC10A,2563.0,1062.0,7.008373406572613e-05,2.520444914062559e-05,1085,-1.4397076873416157,0.0,0.0,300.0,300.0
AZU1,749.0,41.0,2.0480966373479855e-05,9.730531212482572e-07,241,-3.4445571940100397,0.0,0.0,300.0,300.0
SFTPC,7634.0,441.0,0.0002087472594060684,1.0466254304158084e-05,2302,-4.193185873877494,0.0,0.0,300.0,300.0
