term	nes	fdr	nom_p	es	lead_genes	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary
GOBP_KERATINOCYTE_DIFFERENTIATION	2.788857099251805	0.0	0.0	0.6025197041345491	KRT16;PPL;GRHL1;EPHA2;SFN;CDH3;ANXA1;IVL;KRT80;EVPL;TP63;KRT7;CDSN;KRT81;KRT17;CD109;KRT14;CSTA;IRF6;MSX2;ST14;EREG;POU2F3;KRT86;SPRR3;TMEM79;PLEC;SCEL;KRT78;KRT4;ABCA12;IL1A;WNT5A;ZFP36L1;LIPK;SPRR1B;SPRR1A;TXNIP;YAP1;KRT5;KLK5;KRT6B;ADAM9;ZBED2;PPP3CA;KRT10;CFLAR;KRT6A;FOSL2;ERRFI1;KRT6C;KRT75;PRKCH;VDR;EXPH5;FOXC1;GRHL2;OPN3;CASP14;CDKN1A;KRT77;KRT85;FOXN1;FLNB;KRT79;SLC39A2;KRT74;OVOL2;CNFN	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	2.774880580048435	0.0	0.0	0.6741225599051811	KRT16;PPL;SFN;CDH3;IVL;KRT80;EVPL;KRT7;CDSN;KRT81;KRT17;KRT86;SPRR3;TMEM79;KRT78;KRT4;ABCA12;IL1A;LIPK;SPRR1B;SPRR1A;KRT5;KLK5;KRT6B;KRT6A;KRT6C;KRT75;CASP14;KRT77;KRT85;KRT79;KRT74;CNFN	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	2.5794480332827723	0.0	0.0	0.763167863949809	CLDN4;KRT16;GRHL1;MET;SFN;CLDN1;GRHL3;TP63;ELOVL1;LSR;IL18;TMEM79;PLEC;ABCA12;KLF4;FA2H;TMPRSS11F	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
CUSTOM_BARRIER_KERATIN	2.522174526812545	0.0	0.0	0.7570685548800488	KRT16;PPL;IVL;EVPL;KRT17;KRT14;CSTA;SPRR3;S100A9;SPRR1B;DSC1;SPRR1A;KRT5;KRT6B;KRT10;S100A8;KRT6A	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	2.5178107809329626	0.0	0.0	0.5227478958395471	KRT16;PPL;GRHL1;EPHA2;SFN;CDH3;ANXA1;IVL;KRT80;EVPL;TP63;SULT2B1;KRT7;CDSN;KRT81;KRT17;CD109;OVOL1;KRT14;CSTA;IRF6;MSX2;ST14;EREG;POU2F3;KRT86;SPRR3;TMEM79;TRIOBP;PLEC;SCEL;KRT78;PLS1;KRT4;ABCA12;IL1A;PDZD7;WNT5A;ZFP36L1;LIPK;SPRR1B;SPRR1A;TXNIP;YAP1;KRT5;KLK5;ANKRD24;KRT6B;ADAM9;MYO6;ZBED2;PPP3CA;KRT10;CFLAR;KRT6A;FOSL2;ERRFI1;KRT6C;SLITRK6;KLF4;KRT75;PRKCH;VDR;FA2H;EXPH5;FOXC1;GRHL2;OPN3;CASP14;BMP4;HES1;CDKN1A;KRT77;KRT85;FOXN1;HDAC1;FLNB;KRT79;SLC44A4;SLC39A2;KRT74;OVOL2;CNFN	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
HALLMARK_APICAL_JUNCTION	2.155763394701485	0.0	0.0	0.45559156922555427	CLDN4;ITGB4;CDH3;LAMC2;MPZL2;CDH1;CLDN9;LDLRAP1;ITGA3;CDSN;AMIGO2;ITGA2;CAP1;LAMB3;COL17A1;WASL;ADAM15;CNN2;CX3CL1;EXOC4;RHOF;ACTB;ACTN4;RRAS;STX4;BAIAP2;CLDN8;ICAM4;CRAT;SKAP2;ZYX;VASP;DSC1;ICAM1;JUP;GRB7;ADAM9;TGFBI;PCDH1;MAPK13;DSC3;EGFR;IRS1;CTNND1;CLDN6;CALB2;MYL12B;SDC3;ICAM5;YWHAH;GNAI2;FSCN1;VCL;CD276;ACTA1;ARPC2;LAYN;MYH9;PIK3CB;BMP1;CTNNA1;SRC;LIMA1;RAC2;TJP1;MDK;CLDN7;ACTG2;CRB3;PIK3R3	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True
CUSTOM_TJ_CORE	2.0096686319278865	0.0002484804465002485	0.0019011406844106464	0.6153520635952057	CLDN4;CLDN1;AMOT;TJP3;CLDN8;PARD6B;F11R;CGN;MAGI3;INADL;TJP2;CLDN3;TJP1;CLDN7;CRB3	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	1.7863698783754947	0.003696146641691196	0.0	0.4326288833108309	CLDN4;EPHA2;CLDN1;CLDN9;MICALL2;CLDN12;CLDN16;LSR;EPHB2;ILDR1;PLEC;CLDN8;F11R;MARVELD3;CLDN23;CLDN6;PRKCH;GRHL2;PDCD6IP;EXT1;CLDN3;POF1B;CLDN17;OCEL1	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	1.7436534312734648	0.004251776529004252	0.0	0.8673644306873605	CLDN4;CLDN1;F11R	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True
GOBP_CORNIFICATION	1.6488773513948052	0.009218624565159218	0.035196687370600416	0.6903157687148284	CDSN;TMEM79;LIPK;KLK5;CASP14	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True
KEGG_TIGHT_JUNCTION	1.5472175731695537	0.01960736614201961	0.0	0.34917601676694465	CLDN4;CLDN1;CLDN9;EPB41L1;CLDN16;EXOC4;ACTB;ACTN4;RRAS;TJP3;GNAI3;CLDN8;PARD6B;F11R;MYL12A;CGN;CDC42;CLDN23;MAGI3;MYH14;CLDN6;PRKCH;MYL12B;EXOC3;LLGL2;PRKCA;TJP2;GNAI2;CLDN3;CLDN17;MYH9;CTNNA1;RHOA;SRC;TJP1;CTTN;PRKCZ;CLDN7;CRB3;MYH11;PPP2CB	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.546723265585779	0.018118365890643116	0.0018050541516245488	0.3270493593405723	TNFRSF12A;LAMC2;SDC1;SDC4;NT5E;ITGA2;FUCA1;GADD45A;GPC1;DST;CAPG;AREG;ITGB5;FAS;DKK1;WNT5A;PMEPA1;PDLIM4;CD59;TNC;IGFBP3;LOXL1;NOTCH2;COL8A2;TGFBI;JUN;TPM4;CXCL6;IGFBP4;ITGB3;FSTL3;TGFB1;MMP3;COMP;CD44;ITGAV;OXTR;TGM2;PLAUR;ANPEP;FLNA	TCGA-LUAD	quartile	129	129	20138	EMT	DOWN	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.9310945402204578	0.5972705378645973	0.6291739894551845	0.20148968738861325	ADAM8;ACVR1;VASN;BCL9L;ADAM15;EDN1;TGFB2;MSX2;SMAD3;PEF1;LRG1;WNT5A;SPRY2;SPRED1;SPRED2;TGFB1;TIAM1;DAG1;ZNF750;HMGA2;FOXC1;BMP4;RTN4;SOX9;FLNA;DLG5;S100A4;OVOL2;ADIPOR1;TRIM62;POFUT2;BMP7	TCGA-LUAD	quartile	129	129	20138	EMT	DOWN	True
