gene	rho	p	present	q	cohort	split
CLDN1	0.37361466684697303	1.6649890944346714e-18	True	1.4152407302694708e-17	TCGA-LUAD	quartile
CLDN4	0.4597517150956402	2.68425122314192e-28	True	4.563227079341264e-27	TCGA-LUAD	quartile
CLDN7	0.0538237615658068	0.22270320817576725	True	0.2912272722298495	TCGA-LUAD	quartile
F11R	0.18204252886903163	3.239529527331292e-05	True	7.86742885209028e-05	TCGA-LUAD	quartile
PARD3	-0.019941307854869632	0.6516396294509457	True	0.6923671062916298	TCGA-LUAD	quartile
OCLN	0.04723098107703001	0.2846939507270391	True	0.34569979731140466	TCGA-LUAD	quartile
TJP1	0.036003033421313765	0.4148903773851091	True	0.47020909436979025	TCGA-LUAD	quartile
CRB3	0.06337550710669235	0.150954426099778	True	0.21385210364135218	TCGA-LUAD	quartile
PARD6B	0.1824596034918529	3.105015715931552e-05	True	7.86742885209028e-05	TCGA-LUAD	quartile
CDH1	0.3448049274639434	8.002562016420548e-16	True	4.53478514263831e-15	TCGA-LUAD	quartile
VIM	0.10304129022993729	0.019339278424730436	True	0.03652974813560193	TCGA-LUAD	quartile
ZEB1	-0.06616519782928729	0.1337381979868094	True	0.2066863059796145	TCGA-LUAD	quartile
SNAI2	0.007630861128689832	0.8628451712793662	True	0.8628451712793662	TCGA-LUAD	quartile
KRT5	0.1753143778656543	6.337775118557005e-05	True	0.00013467772126933634	TCGA-LUAD	quartile
KRT17	0.29254848137326256	1.2740891605516272e-11	True	5.414878932344416e-11	TCGA-LUAD	quartile
SPRR1B	0.2047597489864699	2.7971689411258394e-06	True	9.510374399827854e-06	TCGA-LUAD	quartile
EPCAM	0.07113099128770015	0.10688808402526821	True	0.18170974284295596	TCGA-LUAD	quartile
CLDN1	0.37361466684697303	1.6649890944346714e-18	True	1.4152407302694708e-17	TCGA-LUAD	median
CLDN4	0.4597517150956402	2.68425122314192e-28	True	4.563227079341264e-27	TCGA-LUAD	median
CLDN7	0.0538237615658068	0.22270320817576725	True	0.2912272722298495	TCGA-LUAD	median
F11R	0.18204252886903163	3.239529527331292e-05	True	7.86742885209028e-05	TCGA-LUAD	median
PARD3	-0.019941307854869632	0.6516396294509457	True	0.6923671062916298	TCGA-LUAD	median
OCLN	0.04723098107703001	0.2846939507270391	True	0.34569979731140466	TCGA-LUAD	median
TJP1	0.036003033421313765	0.4148903773851091	True	0.47020909436979025	TCGA-LUAD	median
CRB3	0.06337550710669235	0.150954426099778	True	0.21385210364135218	TCGA-LUAD	median
PARD6B	0.1824596034918529	3.105015715931552e-05	True	7.86742885209028e-05	TCGA-LUAD	median
CDH1	0.3448049274639434	8.002562016420548e-16	True	4.53478514263831e-15	TCGA-LUAD	median
VIM	0.10304129022993729	0.019339278424730436	True	0.03652974813560193	TCGA-LUAD	median
ZEB1	-0.06616519782928729	0.1337381979868094	True	0.2066863059796145	TCGA-LUAD	median
SNAI2	0.007630861128689832	0.8628451712793662	True	0.8628451712793662	TCGA-LUAD	median
KRT5	0.1753143778656543	6.337775118557005e-05	True	0.00013467772126933634	TCGA-LUAD	median
KRT17	0.29254848137326256	1.2740891605516272e-11	True	5.414878932344416e-11	TCGA-LUAD	median
SPRR1B	0.2047597489864699	2.7971689411258394e-06	True	9.510374399827854e-06	TCGA-LUAD	median
EPCAM	0.07113099128770015	0.10688808402526821	True	0.18170974284295596	TCGA-LUAD	median
CLDN1	0.42395708701891444	2.5644149740389316e-23	True	2.179752727933092e-22	TCGA-LUSC	quartile
CLDN4	0.41001864614936134	8.933859858309045e-22	True	5.0625205863751254e-21	TCGA-LUSC	quartile
CLDN7	0.4013759940596416	7.438630669976322e-21	True	3.1614180347399367e-20	TCGA-LUSC	quartile
F11R	0.2479028062989408	1.8167840612160465e-08	True	4.412189862953256e-08	TCGA-LUSC	quartile
PARD3	0.15114478237840873	0.0006799245027942633	True	0.0007705811031668317	TCGA-LUSC	quartile
OCLN	0.17492679843265002	8.150015245850307e-05	True	0.00011545854931621268	TCGA-LUSC	quartile
TJP1	0.16192410945659827	0.000269487468503287	True	0.0003272347831825628	TCGA-LUSC	quartile
CRB3	0.24252395064135024	3.7412380779271635e-08	True	7.950130915595223e-08	TCGA-LUSC	quartile
PARD6B	0.1284253059440395	0.00394927354516839	True	0.004196103141741414	TCGA-LUSC	quartile
CDH1	0.2056936254680411	3.3690831589822577e-06	True	5.2067648820634895e-06	TCGA-LUSC	quartile
VIM	-0.2237451811479077	4.085169930707123e-07	True	6.944788882202109e-07	TCGA-LUSC	quartile
ZEB1	-0.2777732391078582	2.4021120619831896e-10	True	6.805984175619037e-10	TCGA-LUSC	quartile
SNAI2	0.09836438084014201	0.027542524121503084	True	0.027542524121503084	TCGA-LUSC	quartile
KRT5	0.3680921802833049	1.4900419965749632e-17	True	5.066142788354875e-17	TCGA-LUSC	quartile
KRT17	0.22895460967094441	2.1478264964134274e-07	True	4.057005604336474e-07	TCGA-LUSC	quartile
SPRR1B	0.4629710038968925	4.919627027386169e-28	True	8.363365946556488e-27	TCGA-LUSC	quartile
EPCAM	-0.16955746990188109	0.00013497519131183068	True	0.0001765060194077786	TCGA-LUSC	quartile
CLDN1	0.42395708701891444	2.5644149740389316e-23	True	2.179752727933092e-22	TCGA-LUSC	median
CLDN4	0.41001864614936134	8.933859858309045e-22	True	5.0625205863751254e-21	TCGA-LUSC	median
CLDN7	0.4013759940596416	7.438630669976322e-21	True	3.1614180347399367e-20	TCGA-LUSC	median
F11R	0.2479028062989408	1.8167840612160465e-08	True	4.412189862953256e-08	TCGA-LUSC	median
PARD3	0.15114478237840873	0.0006799245027942633	True	0.0007705811031668317	TCGA-LUSC	median
OCLN	0.17492679843265002	8.150015245850307e-05	True	0.00011545854931621268	TCGA-LUSC	median
TJP1	0.16192410945659827	0.000269487468503287	True	0.0003272347831825628	TCGA-LUSC	median
CRB3	0.24252395064135024	3.7412380779271635e-08	True	7.950130915595223e-08	TCGA-LUSC	median
PARD6B	0.1284253059440395	0.00394927354516839	True	0.004196103141741414	TCGA-LUSC	median
CDH1	0.2056936254680411	3.3690831589822577e-06	True	5.2067648820634895e-06	TCGA-LUSC	median
VIM	-0.2237451811479077	4.085169930707123e-07	True	6.944788882202109e-07	TCGA-LUSC	median
ZEB1	-0.2777732391078582	2.4021120619831896e-10	True	6.805984175619037e-10	TCGA-LUSC	median
SNAI2	0.09836438084014201	0.027542524121503084	True	0.027542524121503084	TCGA-LUSC	median
KRT5	0.3680921802833049	1.4900419965749632e-17	True	5.066142788354875e-17	TCGA-LUSC	median
KRT17	0.22895460967094441	2.1478264964134274e-07	True	4.057005604336474e-07	TCGA-LUSC	median
SPRR1B	0.4629710038968925	4.919627027386169e-28	True	8.363365946556488e-27	TCGA-LUSC	median
EPCAM	-0.16955746990188109	0.00013497519131183068	True	0.0001765060194077786	TCGA-LUSC	median
CLDN1	0.27699839758142386	1.2969708415287683e-10	True	2.0044094823626417e-10	TCGA-HNSC	quartile
CLDN4	0.5165022084569074	8.428507619372172e-37	True	1.4328462952932694e-35	TCGA-HNSC	quartile
CLDN7	0.5013949580610125	1.8754367415376905e-34	True	1.594121230307037e-33	TCGA-HNSC	quartile
F11R	0.3469894894387125	3.698297027282607e-16	True	7.858881182975539e-16	TCGA-HNSC	quartile
PARD3	0.3486372667018148	2.6262137368219643e-16	True	6.377947646567628e-16	TCGA-HNSC	quartile
OCLN	0.42353095147071845	4.75284049300758e-24	True	2.0199572095282217e-23	TCGA-HNSC	quartile
TJP1	0.22995442545702002	1.1430960013428966e-07	True	1.3880451444878028e-07	TCGA-HNSC	quartile
CRB3	0.4784278664171133	4.213472136544312e-31	True	2.3876342107084434e-30	TCGA-HNSC	quartile
PARD6B	0.27212946717378983	2.7895911679335463e-10	True	3.647926911913099e-10	TCGA-HNSC	quartile
CDH1	0.2998563425956959	2.896981219924463e-12	True	4.924868073871587e-12	TCGA-HNSC	quartile
VIM	-0.4007463630286974	1.7608081081269397e-21	True	5.986747567631595e-21	TCGA-HNSC	quartile
ZEB1	-0.34334161568288074	7.834717667574226e-16	True	1.4798911149862427e-15	TCGA-HNSC	quartile
SNAI2	-0.3615757409388574	1.663937356206842e-17	True	4.714489175919386e-17	TCGA-HNSC	quartile
KRT5	0.18260317389603908	2.7988372676438643e-05	True	3.1720155699963794e-05	TCGA-HNSC	quartile
KRT17	0.06885224516674066	0.11684478818451793	True	0.12414758744605031	TCGA-HNSC	quartile
SPRR1B	0.2760836190152218	1.4994241282004127e-10	True	2.1241841816172514e-10	TCGA-HNSC	quartile
EPCAM	-0.00483413940372592	0.9124326126116068	True	0.9124326126116068	TCGA-HNSC	quartile
CLDN1	0.27699839758142386	1.2969708415287683e-10	True	2.0044094823626417e-10	TCGA-HNSC	median
CLDN4	0.5165022084569074	8.428507619372172e-37	True	1.4328462952932694e-35	TCGA-HNSC	median
CLDN7	0.5013949580610125	1.8754367415376905e-34	True	1.594121230307037e-33	TCGA-HNSC	median
F11R	0.3469894894387125	3.698297027282607e-16	True	7.858881182975539e-16	TCGA-HNSC	median
PARD3	0.3486372667018148	2.6262137368219643e-16	True	6.377947646567628e-16	TCGA-HNSC	median
OCLN	0.42353095147071845	4.75284049300758e-24	True	2.0199572095282217e-23	TCGA-HNSC	median
TJP1	0.22995442545702002	1.1430960013428966e-07	True	1.3880451444878028e-07	TCGA-HNSC	median
CRB3	0.4784278664171133	4.213472136544312e-31	True	2.3876342107084434e-30	TCGA-HNSC	median
PARD6B	0.27212946717378983	2.7895911679335463e-10	True	3.647926911913099e-10	TCGA-HNSC	median
CDH1	0.2998563425956959	2.896981219924463e-12	True	4.924868073871587e-12	TCGA-HNSC	median
VIM	-0.4007463630286974	1.7608081081269397e-21	True	5.986747567631595e-21	TCGA-HNSC	median
ZEB1	-0.34334161568288074	7.834717667574226e-16	True	1.4798911149862427e-15	TCGA-HNSC	median
SNAI2	-0.3615757409388574	1.663937356206842e-17	True	4.714489175919386e-17	TCGA-HNSC	median
KRT5	0.18260317389603908	2.7988372676438643e-05	True	3.1720155699963794e-05	TCGA-HNSC	median
KRT17	0.06885224516674066	0.11684478818451793	True	0.12414758744605031	TCGA-HNSC	median
SPRR1B	0.2760836190152218	1.4994241282004127e-10	True	2.1241841816172514e-10	TCGA-HNSC	median
EPCAM	-0.00483413940372592	0.9124326126116068	True	0.9124326126116068	TCGA-HNSC	median
CLDN1	0.19414530650458706	8.071714376449684e-05	True	0.00013721914439964464	TCGA-BLCA	quartile
CLDN4	0.5281516278933168	1.2917365779499357e-30	True	2.1959521825148905e-29	TCGA-BLCA	quartile
CLDN7	0.35666556178068426	1.1826070829464345e-13	True	5.026080102522347e-13	TCGA-BLCA	quartile
F11R	0.283065839371201	6.159282214992979e-09	True	1.495825680784009e-08	TCGA-BLCA	quartile
PARD3	0.13255587572378313	0.007410398771594852	True	0.009690521470547112	TCGA-BLCA	quartile
