cohort	CUSTOM_TJ_CORE_NES	CUSTOM_TJ_CORE_FDR	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER_NES	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER_FDR	CUSTOM_CLAUDIN_PAR_FOCAL_NES	CUSTOM_CLAUDIN_PAR_FOCAL_FDR	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_NES	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_FDR	KEGG_TIGHT_JUNCTION_NES	KEGG_TIGHT_JUNCTION_FDR	GOBP_TIGHT_JUNCTION_ORGANIZATION_NES	GOBP_TIGHT_JUNCTION_ORGANIZATION_FDR	GOBP_KERATINIZATION_NES	GOBP_KERATINIZATION_FDR	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_NES	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_FDR	CUSTOM_EMT_CORE_NES	CUSTOM_EMT_CORE_FDR	CUSTOM_BARRIER_KERATIN_NES	CUSTOM_BARRIER_KERATIN_FDR
GSE131907_malignant_pseudobulk	1.53	0.339	1.27	0.768	1.27	0.515	1.26	0.402	1.24	0.296	1.18	0.348	0.99	0.619	0.94	0.664	0.82	0.862	-0.75	0.894
GSE207422_bulk	2.6	0.0	2.47	0.0	1.91	0.0	1.59	0.011	1.96	0.0	2.47	0.0	2.46	0.0	1.16	0.239	-1.63	0.023	2.58	0.0
GSE207422_sc_epithelial_pseudobulk	-0.93	0.59	2.5	0.0	1.75	0.007	1.69	0.008	1.63	0.013	1.38	0.063	2.61	0.0	1.73	0.006	1.69	0.008	2.56	0.0
GSE31210	2.45	0.0	2.17	0.0	1.83	0.003	-1.47	0.038	1.63	0.013	1.75	0.007	2.0	0.0	-2.16	0.0	-1.85	0.001	1.71	0.008
TCGA-BLCA	2.34	0.0	2.0	0.001	1.74	0.004	-1.35	0.065	1.73	0.003	1.76	0.003	2.05	0.001	-2.78	0.0	-2.23	0.0	2.01	0.001
TCGA-BRCA	1.88	0.001	2.41	0.0	1.85	0.001	1.28	0.101	1.93	0.001	1.91	0.001	2.56	0.0	1.95	0.001	-0.69	0.942	2.53	0.0
TCGA-CESC	1.73	0.005	2.75	0.0	1.8	0.004	-1.07	0.5	1.43	0.039	1.56	0.023	3.35	0.0	-1.1	0.831	-0.59	0.981	3.04	0.0
TCGA-COAD	0.84	0.753	1.94	0.0	-0.98	0.482	1.6	0.011	1.26	0.128	1.37	0.064	2.17	0.0	2.72	0.0	2.21	0.0	2.2	0.0
TCGA-ESCA	0.92	0.656	2.55	0.0	1.71	0.006	1.11	0.324	1.12	0.333	-1.07	0.335	3.15	0.0	1.2	0.252	0.86	0.732	2.93	0.0
TCGA-GBM	0.8	0.817	1.74	0.005	1.55	0.022	1.17	0.254	1.32	0.1	1.54	0.022	1.46	0.036	3.01	0.0	1.99	0.0	1.74	0.005
TCGA-HNSC	2.47	0.0	2.59	0.0	1.93	0.001	-2.1	0.0	1.61	0.015	1.78	0.006	2.7	0.0	-3.05	0.0	-2.53	0.0	2.97	0.0
TCGA-KIRC	2.22	0.0	1.52	0.018	1.36	0.065	2.02	0.0	2.04	0.0	1.94	0.0	1.91	0.0	2.64	0.0	1.85	0.0	2.05	0.0
TCGA-LUAD	2.01	0.0	2.58	0.0	1.74	0.004	0.93	0.597	1.55	0.02	1.79	0.004	2.77	0.0	1.55	0.018	-0.77	0.882	2.52	0.0
TCGA-LUSC	1.48	0.039	2.9	0.0	1.87	0.001	-1.46	0.074	1.31	0.089	1.79	0.003	3.22	0.0	-1.36	0.087	-1.36	0.058	3.21	0.0
TCGA-OV	2.11	0.001	1.98	0.001	2.0	0.001	-0.92	1.0	1.17	0.197	1.58	0.022	2.5	0.0	1.74	0.011	-0.84	0.779	2.25	0.0
TCGA-PAAD	1.75	0.003	2.38	0.0	1.8	0.003	1.21	0.167	1.77	0.003	1.76	0.003	2.55	0.0	1.91	0.001	1.18	0.189	2.32	0.0
TCGA-SKCM	2.07	0.0	2.52	0.0	1.52	0.016	1.66	0.003	1.49	0.018	2.0	0.0	2.91	0.0	2.51	0.0	1.72	0.002	2.77	0.0
TCGA-STAD	2.41	0.0	2.69	0.0	1.84	0.001	1.09	0.3	1.92	0.001	2.29	0.0	2.95	0.0	-1.2	0.157	-1.66	0.011	2.92	0.0
TCGA-UCEC	2.12	0.0	2.02	0.0	1.75	0.003	1.58	0.015	1.29	0.114	1.95	0.001	2.09	0.0	1.74	0.003	0.93	0.6	2.24	0.0
