term	rho	p	cohort	q
HALLMARK_APICAL_JUNCTION	0.6284429749567868	0.0	GSE131907_malignant_cells	0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.6068931850156397	0.0	GSE131907_malignant_cells	0.0
KEGG_TIGHT_JUNCTION	0.6370442251088599	0.0	GSE131907_malignant_cells	0.0
GOBP_CORNIFICATION	0.19401706001276034	8.663265054326667e-209	GSE131907_malignant_cells	8.663265054326667e-209
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.633409648597616	0.0	GSE131907_malignant_cells	0.0
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.6146070121732187	0.0	GSE131907_malignant_cells	0.0
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6450171987035132	0.0	GSE131907_malignant_cells	0.0
GOBP_KERATINIZATION	0.5495728489602355	0.0	GSE131907_malignant_cells	0.0
GOBP_KERATINOCYTE_DIFFERENTIATION	0.6329745152799796	0.0	GSE131907_malignant_cells	0.0
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.6409835793078181	0.0	GSE131907_malignant_cells	0.0
CUSTOM_TJ_CORE	0.6454470283322825	0.0	GSE131907_malignant_cells	0.0
CUSTOM_CLAUDIN_PAR_FOCAL	0.6327421400316533	0.0	GSE131907_malignant_cells	0.0
CUSTOM_BARRIER_KERATIN	0.5048504575323831	0.0	GSE131907_malignant_cells	0.0
CUSTOM_EMT_CORE	0.41793526055031216	0.0	GSE131907_malignant_cells	0.0
HALLMARK_APICAL_JUNCTION	0.6657241236107718	0.0	GSE207422_epithelial_cells	0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5596035860845185	0.0	GSE207422_epithelial_cells	0.0
KEGG_TIGHT_JUNCTION	0.6535802736381716	0.0	GSE207422_epithelial_cells	0.0
GOBP_CORNIFICATION	0.43858591066478475	0.0	GSE207422_epithelial_cells	0.0
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.7166627232723805	0.0	GSE207422_epithelial_cells	0.0
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.602017091280966	0.0	GSE207422_epithelial_cells	0.0
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7798097489605167	0.0	GSE207422_epithelial_cells	0.0
GOBP_KERATINIZATION	0.7125751381145559	0.0	GSE207422_epithelial_cells	0.0
GOBP_KERATINOCYTE_DIFFERENTIATION	0.7310302104768033	0.0	GSE207422_epithelial_cells	0.0
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.6811463175514366	0.0	GSE207422_epithelial_cells	0.0
CUSTOM_TJ_CORE	0.648626200679184	0.0	GSE207422_epithelial_cells	0.0
CUSTOM_CLAUDIN_PAR_FOCAL	0.750910255753385	0.0	GSE207422_epithelial_cells	0.0
CUSTOM_BARRIER_KERATIN	0.6697725741271878	0.0	GSE207422_epithelial_cells	0.0
CUSTOM_EMT_CORE	0.1013536146034466	4.916397588132524e-22	GSE207422_epithelial_cells	4.916397588132524e-22
