term	rho	p	n_genes_present	q	cohort	split	bucket	expected	primary
HALLMARK_APICAL_JUNCTION	0.18154277570728036	3.407980150664322e-05	192	4.771172210930051e-05	TCGA-LUAD	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05757722833048671	0.19204862344878298	194	0.22405672735691348	TCGA-LUAD	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.169189019013744	0.00011430564910923346	127	0.0001454799170481153	TCGA-LUAD	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.2885064782832325	2.4930933813236852e-11	8	4.9861867626473704e-11	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.3253782474273406	3.643970426840459e-14	229	8.502597662627736e-14	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.02643845552959035	0.5494191234046759	160	0.5901636575470187	TCGA-LUAD	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.4710357218929242	8.41240093862846e-30	30	1.1777361314079844e-28	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.37453819030295543	1.351688549163926e-18	79	6.307879896098321e-18	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.35628161561101196	7.370584796345369e-17	167	2.579704678720879e-16	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.18461502779325123	2.4901383767533534e-05	76	3.8735485860607715e-05	TCGA-LUAD	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.2180626459171489	5.827091412697759e-07	25	1.0197409972221078e-06	TCGA-LUAD	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.38744683244616274	6.834129521831313e-20	5	4.783890665281919e-19	TCGA-LUAD	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.3456317859751652	6.761148491346792e-16	30	1.8931215775771017e-15	TCGA-LUAD	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.02378794625570707	0.5901636575470186	15	0.5901636575470187	TCGA-LUAD	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.18154277570728036	3.407980150664322e-05	192	4.771172210930051e-05	TCGA-LUAD	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05757722833048671	0.19204862344878298	194	0.22405672735691348	TCGA-LUAD	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.169189019013744	0.00011430564910923346	127	0.0001454799170481153	TCGA-LUAD	median	TJ	UP	True
GOBP_CORNIFICATION	0.2885064782832325	2.4930933813236852e-11	8	4.9861867626473704e-11	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.3253782474273406	3.643970426840459e-14	229	8.502597662627736e-14	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.02643845552959035	0.5494191234046759	160	0.5901636575470187	TCGA-LUAD	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.4710357218929242	8.41240093862846e-30	30	1.1777361314079844e-28	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.37453819030295543	1.351688549163926e-18	79	6.307879896098321e-18	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.35628161561101196	7.370584796345369e-17	167	2.579704678720879e-16	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.18461502779325123	2.4901383767533534e-05	76	3.8735485860607715e-05	TCGA-LUAD	median	TJ	UP	True
CUSTOM_TJ_CORE	0.2180626459171489	5.827091412697759e-07	25	1.0197409972221078e-06	TCGA-LUAD	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.38744683244616274	6.834129521831313e-20	5	4.783890665281919e-19	TCGA-LUAD	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.3456317859751652	6.761148491346792e-16	30	1.8931215775771017e-15	TCGA-LUAD	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.02378794625570707	0.5901636575470186	15	0.5901636575470187	TCGA-LUAD	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.009091810237499566	0.838977436310859	192	0.838977436310859	TCGA-LUSC	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.10438037871871196	0.019322881172159617	194	0.022543361367519554	TCGA-LUSC	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.014944615056262392	0.7383619295925063	127	0.7951590010996222	TCGA-LUSC	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.2386036496436916	6.266682895287812e-08	8	1.096669506675367e-07	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.30954143495737374	1.311965322225862e-12	229	3.0612524185270115e-12	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.24195392295196677	4.034878175088529e-08	160	8.069756350177058e-08	TCGA-LUSC	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.519023821098688	5.711800941959424e-36	30	3.998260659371597e-35	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.3956015034919435	2.9623516803546503e-20	79	1.0368230881241276e-19	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.36769849532233817	1.6218993622316084e-17	167	4.5413182142485034e-17	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.18105946381777888	4.496578371494026e-05	76	6.994677466768486e-05	TCGA-LUSC	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.15984571421795907	0.00032362346469699604	25	0.0004118844096143586	TCGA-LUSC	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.5699457652038851	1.4015028108908388e-44	5	1.962103935247174e-43	TCGA-LUSC	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.4654862753002839	2.324940054507853e-28	30	1.084972025436998e-27	TCGA-LUSC	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.1622763437162813	0.0002611978836018702	15	0.00036567703704261823	TCGA-LUSC	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.009091810237499566	0.838977436310859	192	0.838977436310859	TCGA-LUSC	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.10438037871871196	0.019322881172159617	194	0.022543361367519554	TCGA-LUSC	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.014944615056262392	0.7383619295925063	127	0.7951590010996222	TCGA-LUSC	median	TJ	UP	True
GOBP_CORNIFICATION	0.2386036496436916	6.266682895287812e-08	8	1.096669506675367e-07	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.30954143495737374	1.311965322225862e-12	229	3.0612524185270115e-12	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.24195392295196677	4.034878175088529e-08	160	8.069756350177058e-08	TCGA-LUSC	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.519023821098688	5.711800941959424e-36	30	3.998260659371597e-35	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.3956015034919435	2.9623516803546503e-20	79	1.0368230881241276e-19	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.36769849532233817	1.6218993622316084e-17	167	4.5413182142485034e-17	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.18105946381777888	4.496578371494026e-05	76	6.994677466768486e-05	TCGA-LUSC	median	TJ	UP	True
CUSTOM_TJ_CORE	0.15984571421795907	0.00032362346469699604	25	0.0004118844096143586	TCGA-LUSC	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.5699457652038851	1.4015028108908388e-44	5	1.962103935247174e-43	TCGA-LUSC	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.4654862753002839	2.324940054507853e-28	30	1.084972025436998e-27	TCGA-LUSC	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.1622763437162813	0.0002611978836018702	15	0.00036567703704261823	TCGA-LUSC	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	-0.29028649803606854	1.4836126290647896e-11	192	2.967225258129579e-11	TCGA-HNSC	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4226261657134374	6.063916361079518e-24	194	2.8298276351704416e-23	TCGA-HNSC	quartile	EMT	DOWN	True
