sample	patient	pair_id	d_sdm_prox	d_sdm_geom	d_commot	d_commot_supply	d_expr	n_fov	d_squidpy	mean_hi	mean_lo	p_hi	p_lo	n_tumor_hi_interface	n_cd8_interface
Lung12	Lung12	APP|CD74	0.008914025306922809	0.04159502496274955	0.00975500893058372	0.024300305506773177	0.04056986000725736	28	0.018631298546987	0.3161837561144742	0.2975524575674872	0.0	0.0	3531	3550
Lung12	Lung12	CCL5|CCR5	-0.02766237998720996	-0.029536134050315025	-0.001219509423083761	-0.030729282356565996	0.0023534708941376214	28	0.0001545065492949	0.0655840626727501	0.0654295561234552	0.997	0.997	3531	3550
Lung12	Lung12	CD274|PDCD1	0.0032209245208922412	0.017988223332859876	0.00019926631312741644	-0.008261077466303652	0.003963220632321736	28	0.0009344753916014	0.0653449882349796	0.0644105128433781	0.3853333333333333	0.452	3531	3550
Lung12	Lung12	CDH1|CDH1	0.007392523887131595	0.00906925014708917	-0.00011301884106438849	-0.0020782346671492868	0.05054768857711615	28	0.0257207995291171	0.1163947667207377	0.0906739671916206	1.0	1.0	3531	3550
Lung12	Lung12	CDH1|ITGA2_ITGB1	-0.015100178159021082	-0.01585203726049846	0.0006455041786383018	0.0012560161447353305	0.05054768857711615	28	0.0257207995291171	0.0980100399953239	0.0722892404662068	0.0	0.222	3531	3550
Lung12	Lung12	CXCL10|CXCR3	-0.0019188183886193952	0.019721391107015127	0.0011263990877378501	0.01812383940922118	0.0011626518104676186	28	0.0006798446727012	0.0697239536053389	0.0690441089326376	0.467	0.467	3531	3550
Lung12	Lung12	CXCL12|CXCR4	-0.00833015587756487	0.007333414515661704	-0.0004878819547959932	-0.03057007520853711	9.787374963461411e-05	28	0.0004482423052405	0.073335187080602	0.0728869447753614	0.589	0.589	3531	3550
Lung12	Lung12	CXCL16|CXCR6	-0.028016048337483525	-0.0417958755272908	0.002166736781398406	0.00815367505744746	0.022881963082208353	28	0.0100391652320701	0.0999724914979339	0.0899333262658637	0.0	0.378	3531	3550
Lung12	Lung12	CXCL9|CXCR3	0.018445078682404754	-0.011169952697636595	-0.00036303765025807067	0.000693263757246743	-0.005992906446194199	28	-0.0014328577778785	0.0664895137960152	0.0679223715738938	0.583	0.4146666666666667	3531	3550
Lung12	Lung12	FASLG|FAS	-0.02370042864228417	-0.047084833171328104	-0.00198333278881024	-0.023020174972539158	-0.004450545404312442	28	-0.0031062411912347	0.0713359792098612	0.074442220401096	0.422	0.14	3531	3550
Lung12	Lung12	HLA-A|CD8A	0.07269044863347411	0.029438700344172255	0.0019670544355133643	-0.005691853486877842	0.055226169223020996	28	0.0249165147591838	0.4676411041039252	0.4427245893447414	0.0	0.0	3531	3550
Lung12	Lung12	HLA-A|CD8B	-0.021484929238091848	-0.020041897295663882	-0.0031818180555237717	-0.01587536452645526	0.055226169223020996	28	0.0249165147591837	0.3473296378016747	0.3224131230424909	0.0	0.0	3531	3550
Lung12	Lung12	HLA-B|CD8A	0.07965947007656492	0.021362714997931114	-0.001127758937474604	-0.006353921991633131	0.0008751828316971101	28	-0.0037480900595682	0.4473748625625022	0.4511229526220704	0.0	0.0	3531	3550
Lung12	Lung12	HLA-B|CD8B	0.02342210643363913	0.030035517420246655	-0.0009155142792167819	-0.007423334703521971	0.0008751828316971101	28	-0.0037480900595683	0.3270633962602517	0.33081148631982	0.0	0.0	3531	3550
Lung12	Lung12	HLA-C|CD8A	0.1003145824482106	0.0910759521627637	0.0007835490029515043	-0.0028493157414220755	0.019100468754998188	28	0.0014956603767259	0.4579515420696339	0.4564558816929079	0.0	0.0	3531	3550
Lung12	Lung12	HLA-C|CD8B	0.04254886692485977	0.05755275841686109	-0.002433171886543053	-0.008552512054637829	0.019100468754998188	28	0.001495660376726	0.3376400757673835	0.3361444153906574	0.0	0.0	3531	3550
Lung12	Lung12	ICAM1|ITGAL	0.06798580671466092	0.05693991598456357	0.0012045651584613726	0.025157185502791786	0.01045479748763106	28	0.0063677927763391	0.0806200881150861	0.074252295338747	0.0	0.07	3531	3550
Lung12	Lung12	ICAM1|ITGAL_ITGB2	0.06938853578020582	0.07279050508022131	0.001150150751442609	0.012963959186207925	0.01045479748763106	28	0.0063677927763391	0.0539349016227807	0.0475671088464415	0.0	0.564	3531	3550
Lung12	Lung12	IFNG|IFNGR1_IFNGR2	0.01767379139584521	0.008298059689531985	3.2086602112489266e-05	0.024975484108583024	0.003765429758311034	28	0.001669593559954	0.0365964195404582	0.0349268259805041	0.18	0.576	3531	3550
Lung12	Lung12	LGALS9|CD44	0.08761125741314664	0.05247926757530301	-0.00021380572736105235	-0.01029552027950031	0.007286364046964646	28	0.003324844995982	0.1388828632799237	0.1355580182839416	1.0	1.0	3531	3550
Lung12	Lung12	LGALS9|HAVCR2	-0.021715118177695163	-0.03904847474811169	0.000296063803981515	-0.0012346993513388884	0.007286364046964646	28	0.003324844995982	0.0680930104156179	0.0647681654196358	0.208	0.6426666666666666	3531	3550
Lung12	Lung12	LGALS9|PTPRC	0.031973052171938805	0.010932747460902656	-0.00012348514680653272	-0.012549072060187913	0.007286364046964646	28	0.003324844995982	0.078580938856491	0.0752560938605089	0.0	0.002	3531	3550
Lung12	Lung12	MIF|CD74_CD44	0.045433924230080316	0.045391549561368906	0.0009999268907033784	-0.008150051085005043	0.12722925365574614	28	0.0698246901122843	0.2648448599513953	0.1950201698391109	0.0	1.0	3531	3550
Lung12	Lung12	MIF|CD74_CXCR4	0.019260210071110583	0.0011883313852700148	-0.00030161541910047853	-0.007874407939148597	0.12722925365574614	28	0.0698246901122843	0.2394250851088811	0.1696003949965968	0.0	1.0	3531	3550
Lung12	Lung12	PDCD1LG2|PDCD1	0.03379961790014042	0.033362516294101766	0.001068346057874425	0.03400742195986053	-0.0012233051846180826	28	0.0010027755775357	0.0608668196685149	0.0598640440909792	0.522	0.522	3531	3550
Lung12	Lung12	SPP1|CD44	-0.01026448428724271	0.031538042973945725	-0.004280801959497429	-0.01807024412934304	-0.02619019759683017	28	-0.0152741065709467	0.1526046282759764	0.1678787348469232	1.0	1.0	3531	3550
Lung12	Lung12	TGFB1|TGFBR1_TGFBR2	0.026944664421083727	0.03889769793706031	-0.00012323307921083634	-0.0030013534263700456	-4.442814754761463e-05	28	-9.332518670492064e-05	0.0544238896713011	0.054517214858006	0.994	0.994	3531	3550
Lung13	Lung13	APP|CD74	0.1702770354777144	0.20101959886901716	-0.001110438125345845	-0.020909417603053336	0.11824334066162637	20	0.0552097949373673	1.0014917663108596	0.9462819713734922	0.0	0.0	3394	2381
Lung13	Lung13	CCL5|CCR5	-0.05912749016486213	-0.046261991828373386	-0.0014138671819863588	-0.009913297835864228	-0.03522167881242653	20	-0.0171773736252379	0.0773048844688518	0.0944822580940898	1.0	1.0	3394	2381
Lung13	Lung13	CD274|PDCD1	0.04255526613090109	0.07281645177020599	0.0006201112541913948	-0.0072202919518637425	0.00918751537786275	20	0.0052496306455138	0.0830293244664146	0.0777796938209008	0.0	0.0	3394	2381
Lung13	Lung13	CDH1|CDH1	0.025808485928943876	0.012818646709450082	3.748219596188343e-05	-0.00013384083325791954	0.08717189095255107	20	0.0417229086260261	0.1523985859908387	0.1106756773648125	1.0	1.0	3394	2381
Lung13	Lung13	CDH1|ITGA2_ITGB1	0.08697878420860945	0.11851777560369156	0.002089018228503968	0.006478435200988189	0.08717189095255107	20	0.041722908626026	0.1412487159570117	0.0995258073309856	0.0	1.0	3394	2381
Lung13	Lung13	CXCL10|CXCR3	-0.03153416606007923	-0.03672830678174331	-0.0013829589621751268	0.002118294057702476	-0.040093346439364956	20	-0.0278715730668595	0.0942649569073018	0.1221365299741613	1.0	0.1999999999999999	3394	2381
Lung13	Lung13	CXCL12|CXCR4	0.09406990814802427	0.11099047872446291	0.0032214932772477453	0.06267867449675914	0.0013150185275062499	20	0.0005253788695395	0.2025691512021814	0.2020437723326418	0.0	0.0	3394	2381
Lung13	Lung13	CXCL16|CXCR6	0.07083638066159251	0.06252750823733308	0.008376898103496835	0.02448484845722848	0.05464064256984169	20	0.0256032968107302	0.1627645616396033	0.1371612648288731	0.0	0.0	3394	2381
Lung13	Lung13	CXCL9|CXCR3	-0.04016420414752209	-0.10463358903309956	-0.001956133700659653	0.006765478390012907	-0.048668946880493905	20	-0.0257789831984879	0.0777895939000595	0.1035685770985475	1.0	0.176	3394	2381
Lung13	Lung13	FASLG|FAS	-0.005783897605497855	-0.013769424169051844	-0.00020715349147976993	-0.034465154853521786	0.0035298061254889442	20	0.0004620753133482	0.0554019485110152	0.0549398731976669	0.2866666666666667	0.2866666666666667	3394	2381
Lung13	Lung13	HLA-A|CD8A	0.08397257848820004	0.12977666908285426	-0.007598387008509564	-0.007012661377553395	0.28517434603622477	20	0.1387627806529558	1.2006587495039795	1.0618959688510237	0.0	0.0	3394	2381
Lung13	Lung13	HLA-A|CD8B	0.07744062582124962	0.1328522820561196	-0.00315376131882601	-0.002761091101693765	0.28517434603622477	20	0.1387627806529557	0.9957150181659684	0.8569522375130127	0.0	0.6	3394	2381
