gene	on_960_panel	role
ACTA2	True	queried
APP	True	queried
BGN	True	queried
C1QA	True	queried
C1QB	True	queried
C1QC	True	queried
CCL5	True	queried
CCR5	True	queried
CD14	True	queried
CD163	True	queried
CD19	True	queried
CD2	True	queried
CD226	False	queried
CD274	True	queried
CD37	True	queried
CD3D	True	queried
CD3E	True	queried
CD3G	True	queried
CD4	True	queried
CD44	True	queried
CD52	True	queried
CD53	True	queried
CD68	True	queried
CD74	True	queried
CD79A	True	queried
CD8A	True	queried
CD8B	True	queried
CDH1	True	queried
CDH5	True	queried
CEACAM6	True	queried
CLDN4	True	queried
CLEC14A	True	queried
COL1A1	True	queried
COL1A2	True	queried
COL3A1	True	queried
COL5A1	True	queried
COL6A1	True	queried
COL6A2	True	queried
CXCL10	True	queried
CXCL12	True	queried
CXCL16	True	queried
CXCL9	True	queried
CXCR3	True	queried
CXCR4	True	queried
CXCR6	True	queried
DCN	True	queried
ELF3	False	queried
EPCAM	True	queried
ESAM	True	queried
F11R	False	queried
FAS	True	queried
FASLG	True	queried
FCGR3A	True	queried
FLT1	True	queried
FN1	True	queried
GNLY	True	queried
GZMA	True	queried
GZMB	True	queried
GZMK	True	queried
HAVCR2	True	queried
HLA-A	True	queried
HLA-B	True	queried
HLA-C	True	queried
ICAM1	True	queried
IFNG	True	queried
IFNGR1	True	queried
IFNGR2	True	queried
IL7R	True	queried
ITGA2	True	queried
ITGAL	True	queried
ITGAM	True	queried
ITGAX	True	queried
ITGB1	True	queried
ITGB2	True	queried
KDR	True	queried
KLRB1	True	queried
KLRK1	True	queried
KRT13	True	queried
KRT14	True	queried
KRT15	True	queried
KRT16	True	queried
KRT17	True	queried
KRT18	True	queried
KRT19	True	queried
KRT5	True	queried
KRT6A	True	queried
KRT7	True	queried
KRT8	True	queried
LGALS9	True	queried
LUM	True	queried
LYZ	True	queried
MIF	True	queried
MS4A1	True	queried
MUC1	False	queried
MYH11	True	queried
NAPSA	False	queried
NECTIN2	False	queried
PDCD1	True	queried
PDCD1LG2	True	queried
PDGFRB	True	queried
PECAM1	True	queried
PTPRC	True	queried
PVR	False	queried
RAMP2	True	queried
S100A14	False	queried
SFTPB	False	queried
SFTPC	False	queried
SIRPA	False	queried
SPP1	True	queried
TGFB1	True	queried
TGFBR1	True	queried
TGFBR2	True	queried
VWF	True	queried
