pair_id	ligand	receptor	pathway	annotation	family	direction	in_cellchat_human	d_sdm_prox_median	d_sdm_prox_mean	d_sdm_prox_n_slides	d_sdm_prox_n_neg	d_sdm_prox_n_pos	d_sdm_prox_p	d_sdm_prox_n_patients	d_sdm_prox_n_patients_neg	d_sdm_prox_n_patients_pos	d_sdm_geom_median	d_sdm_geom_mean	d_sdm_geom_n_slides	d_sdm_geom_n_neg	d_sdm_geom_n_pos	d_sdm_geom_p	d_sdm_geom_n_patients	d_sdm_geom_n_patients_neg	d_sdm_geom_n_patients_pos	d_commot_median	d_commot_mean	d_commot_n_slides	d_commot_n_neg	d_commot_n_pos	d_commot_p	d_commot_n_patients	d_commot_n_patients_neg	d_commot_n_patients_pos	d_commot_supply_median	d_commot_supply_mean	d_commot_supply_n_slides	d_commot_supply_n_neg	d_commot_supply_n_pos	d_commot_supply_p	d_commot_supply_n_patients	d_commot_supply_n_patients_neg	d_commot_supply_n_patients_pos	d_expr_median	d_expr_mean	d_expr_n_slides	d_expr_n_neg	d_expr_n_pos	d_expr_p	d_expr_n_patients	d_expr_n_patients_neg	d_expr_n_patients_pos	d_squidpy_median	d_squidpy_mean	d_squidpy_n_slides	d_squidpy_n_neg	d_squidpy_n_pos	d_squidpy_p	d_squidpy_n_patients	d_squidpy_n_patients_neg	d_squidpy_n_patients_pos	d_sdm_prox_q	d_sdm_geom_q	d_commot_q	d_squidpy_q
APP|CD74	APP	CD74	APP	Cell-Cell Contact	other	tumor_to_cd8	True	0.03181913014063211	0.05152720487384329	8	1	7	0.015625	5	1	4	0.056302963898912595	-0.0193490524270703	8	2	6	0.640625	5	2	3	0.01025171658437884	0.013293147430884387	8	1	7	0.015625	5	1	4	-0.003572005982673507	0.0022555674264673896	8	4	4	1.0	5	3	2	0.11845078431253606	0.11050367340269385	8	1	7	0.015625	5	1	4	0.05789375506761725	0.05511006044262638	8	0	8	0.0078125	5	0	5	0.046875	0.84375	0.046875	0.01171875
CCL5|CCR5	CCL5	CCR5	CCL	Secreted Signaling	chemokine	tumor_to_cd8	True	-0.02445019288861962	-0.018028028843280405	8	5	3	0.109375	5	3	2	-0.025821406558705892	-0.03928438974946556	8	7	1	0.078125	5	4	1	-0.0009093587188531524	-0.0010065265307783442	8	6	2	0.078125	5	4	1	-0.005837111794876617	-0.009785259307837907	8	6	2	0.1953125	5	4	1	-0.011614375805863955	-0.011193263782705475	8	6	2	0.0390625	5	4	1	-0.0069337676928361	-0.00699577618584735	8	6	2	0.0390625	5	4	1	0.546875	0.390625	0.1953125	0.06510416666666667
CD274|PDCD1	CD274	PDCD1	PD-L1	Cell-Cell Contact	barrier	tumor_to_cd8	True	0.036172128059087816	0.03020784709179159	8	2	6	0.1484375	5	0	5	0.07612051834130042	0.04050155981622777	8	2	6	0.25	5	1	4	-0.0003438669039089255	-0.0005344128487959926	8	5	3	0.25	5	2	3	-0.007061870219916035	-0.00532369945038032	8	6	2	0.1953125	5	3	2	-0.0023231624693445343	-0.0039052525133612998	8	5	3	0.3125	5	2	3	-0.0029389980523876003	-0.0021478822965316	8	5	3	0.25	5	2	3	0.35625	0.42857142857142855	0.46875	0.25
CDH1|CDH1	CDH1	CDH1	CDH	Cell-Cell Contact	barrier	tumor_to_cd8	True	0.01711050977036558	0.02952171952743463	8	1	7	0.0546875	5	0	5	0.011813616620916137	0.027041228627280006	8	2	6	0.109375	5	1	4	7.282814975477792e-05	7.851565057891659e-05	8	1	7	0.109375	5	1	4	-0.00010727492843130062	-4.360597210246103e-05	8	5	3	1.0	5	3	2	0.10006482600532976	0.08767029644659424	8	1	7	0.015625	5	0	5	0.049586835942874205	0.042960170680254636	8	1	7	0.015625	5	0	5	0.21875	0.390625	0.2625	0.046875
CDH1|ITGA2_ITGB1	CDH1	ITGA2_ITGB1	CDH1	Cell-Cell Contact	barrier	tumor_to_cd8	True	0.03185684203004935	0.03116778187698162	8	3	5	0.109375	5	1	4	0.02243401288249309	0.04740444528610453	8	3	5	0.1484375	5	2	3	0.0005828887977518558	0.0008463644067866138	8	1	7	0.015625	5	0	5	0.0002983792423664732	0.0004512396712583937	8	4	4	0.9453125	5	2	3	0.10006482600532976	0.08767029644659424	8	1	7	0.015625	5	0	5	0.04958683594287415	0.042960170680254636	8	1	7	0.015625	5	0	5	0.328125	0.390625	0.046875	0.046875
CXCL10|CXCR3	CXCL10	CXCR3	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True	0.008192012108255714	0.016267296288090954	8	4	4	0.546875	5	3	2	0.022908583843401102	0.030126451493705873	8	3	5	0.640625	5	2	3	-0.00019902174229356886	-4.671405746016453e-06	8	4	4	0.84375	5	3	2	0.006201189144167961	0.011161379630834535	8	1	7	0.109375	5	1	4	-0.0021546652210057693	0.0005868908691965798	8	4	4	0.84375	5	3	2	-0.0007191944252403499	-0.0010287234807824872	8	4	4	0.9453125	5	3	2	0.68359375	0.80078125	0.9453125	0.9453125
CXCL12|CXCR4	CXCL12	CXCR4	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True	0.007983271654511907	0.014983951394796807	8	4	4	0.84375	5	2	3	0.018857150140638233	0.04911547458940209	8	2	6	0.25	5	1	4	0.00047238442746835136	0.000406726041168171	8	4	4	0.9453125	5	3	2	0.012885537659799088	0.016274156988281434	8	3	5	0.3828125	5	2	3	-0.0004140289200769583	0.0004404705495704251	8	4	4	0.84375	5	2	3	-0.00072627318641765	-0.00023857020870659998	8	5	3	0.546875	5	2	3	0.84375	0.625	0.9453125	0.68359375
CXCL16|CXCR6	CXCL16	CXCR6	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True	0.005610703859583667	0.014080239204088664	8	3	5	0.4609375	5	2	3	-0.013000802560172818	0.021351402125850946	8	5	3	0.9453125	5	3	2	0.0014697230418644516	0.0020424267398771265	8	1	7	0.015625	5	0	5	0.002116508226785593	0.0007634248271413061	8	3	5	1.0	5	2	3	0.04409179584578835	0.03811439318887249	8	0	8	0.0078125	5	0	5	0.01813021383154145	0.016852624979109734	8	0	8	0.0078125	5	0	5	0.68359375	0.9453125	0.078125	0.0390625
CXCL9|CXCR3	CXCL9	CXCR3	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True	-0.0022231169172609996	-0.014993718621818804	8	4	4	0.4609375	5	3	2	-0.00815904080839285	-0.025628018153683593	8	5	3	0.4609375	5	4	1	-0.0001662417386393662	-0.0004832681734000707	8	4	4	0.4609375	5	4	1	0.003729371073629825	0.00549219413989884	8	2	6	0.3125	5	1	4	-0.00798623146220439	-0.011536078458823894	8	8	0	0.0078125	5	5	0	-0.0029850361496335503	-0.005386673978354225	8	7	1	0.0234375	5	5	0	0.68359375	0.7682291666666667	0.7682291666666667	0.05859375
FASLG|FAS	FASLG	FAS	FASLG	Secreted Signaling	other	tumor_to_cd8	True	0.017546844284701442	0.02517544592384179	8	2	6	0.1484375	5	2	3	-0.0007208790595167045	0.03856578363588505	8	4	4	0.84375	5	2	3	-0.00028523901343448146	-0.0007220415740391065	8	5	3	0.25	5	3	2	-0.009191078912207301	0.004379589562862041	8	4	4	0.84375	5	3	2	-0.005900098430834307	-0.006217327900391563	8	6	2	0.0390625	5	3	2	-0.00331282201404835	-0.0032602883777032377	8	7	1	0.015625	5	4	1	0.22265625	0.84375	0.25	0.015625
