pair_id	ligand	receptor	pathway	annotation	family	direction	in_cellchat_human
CDH1|CDH1	CDH1	CDH1	CDH	Cell-Cell Contact	barrier	tumor_to_cd8	True
CDH1|ITGA2_ITGB1	CDH1	ITGA2_ITGB1	CDH1	Cell-Cell Contact	barrier	tumor_to_cd8	True
ICAM1|ITGAL_ITGB2	ICAM1	ITGAL_ITGB2	ICAM	Cell-Cell Contact	barrier	tumor_to_cd8	True
ICAM1|ITGAL	ICAM1	ITGAL	ICAM	Cell-Cell Contact	barrier	tumor_to_cd8	True
CD274|PDCD1	CD274	PDCD1	PD-L1	Cell-Cell Contact	barrier	tumor_to_cd8	True
PDCD1LG2|PDCD1	PDCD1LG2	PDCD1	PDL2	Cell-Cell Contact	barrier	tumor_to_cd8	True
LGALS9|HAVCR2	LGALS9	HAVCR2	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True
LGALS9|PTPRC	LGALS9	PTPRC	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True
LGALS9|CD44	LGALS9	CD44	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True
MIF|CD74_CD44	MIF	CD74_CD44	MIF	Secreted Signaling	barrier	tumor_to_cd8	True
MIF|CD74_CXCR4	MIF	CD74_CXCR4	MIF	Secreted Signaling	barrier	tumor_to_cd8	True
TGFB1|TGFBR1_TGFBR2	TGFB1	TGFBR1_TGFBR2	TGFb	Secreted Signaling	barrier	tumor_to_cd8	True
CXCL12|CXCR4	CXCL12	CXCR4	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True
CXCL16|CXCR6	CXCL16	CXCR6	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True
CXCL9|CXCR3	CXCL9	CXCR3	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True
CXCL10|CXCR3	CXCL10	CXCR3	CXCL	Secreted Signaling	chemokine	tumor_to_cd8	True
CCL5|CCR5	CCL5	CCR5	CCL	Secreted Signaling	chemokine	tumor_to_cd8	True
HLA-A|CD8A	HLA-A	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
HLA-B|CD8A	HLA-B	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
HLA-C|CD8A	HLA-C	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
HLA-A|CD8B	HLA-A	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
HLA-B|CD8B	HLA-B	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
HLA-C|CD8B	HLA-C	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True
APP|CD74	APP	CD74	APP	Cell-Cell Contact	other	tumor_to_cd8	True
FASLG|FAS	FASLG	FAS	FASLG	Secreted Signaling	other	tumor_to_cd8	True
SPP1|CD44	SPP1	CD44	SPP1	Secreted Signaling	other	tumor_to_cd8	True
IFNG|IFNGR1_IFNGR2	IFNG	IFNGR1_IFNGR2	IFN-II	Secreted Signaling	effector_reverse	cd8_to_tumor	True
