sample	patient	fov	n_tumor_hi	n_tumor_lo	n_cd8	mean_nn_cd8_um_hi	mean_nn_cd8_um_lo
Lung5_Rep1	Lung5	1	183	183	82	62.430012893345655	45.40749462022462
Lung5_Rep1	Lung5	2	387	387	179	160.94101195236786	118.28001448615356
Lung5_Rep1	Lung5	3	592	592	91	74.03120884356444	52.16960536830439
Lung5_Rep1	Lung5	4	497	497	173	61.06587465549018	39.65741976430079
Lung5_Rep1	Lung5	5	494	494	150	130.667951843088	79.52601439607069
Lung5_Rep1	Lung5	6	278	278	418	42.51251179448583	27.66279887412245
Lung5_Rep1	Lung5	7	685	685	126	86.72947450646389	74.85643200026642
Lung5_Rep1	Lung5	8	779	779	61	113.2194052727669	91.86284566021354
Lung5_Rep1	Lung5	9	274	274	173	43.093550475204246	35.9105498147936
Lung5_Rep1	Lung5	10	457	457	131	72.03045279274838	50.087024082528174
Lung5_Rep1	Lung5	11	411	411	222	60.25002813768692	46.60644498420675
Lung5_Rep1	Lung5	12	529	529	137	75.3541388744745	57.4470963552611
Lung5_Rep1	Lung5	13	371	371	143	49.606950868412426	35.72379121259458
Lung5_Rep1	Lung5	14	237	237	143	38.39729442852816	33.32624991251976
Lung5_Rep1	Lung5	15	243	243	96	73.55391762265148	40.04420028452394
Lung5_Rep1	Lung5	16	350	350	177	64.80033533039214	56.83996782564933
Lung5_Rep1	Lung5	17	411	411	52	76.99588013589502	71.65339020841077
Lung5_Rep1	Lung5	18	152	152	58	55.73321497132065	51.92782119538422
Lung5_Rep1	Lung5	19	286	286	138	40.74214439211577	34.146723586646424
Lung5_Rep1	Lung5	20	194	194	263	33.151677287197685	27.997085032868966
Lung5_Rep1	Lung5	21	63	63	128	44.14495229104436	37.862521819918506
Lung5_Rep1	Lung5	22	135	135	64	51.41493719688954	47.31785749997716
Lung5_Rep1	Lung5	23	80	80	201	32.597517578420124	26.544317745331693
Lung5_Rep1	Lung5	24	86	86	142	40.60324558673919	37.115472195581816
Lung5_Rep1	Lung5	25	97	97	314	20.061607758174603	20.975529090921302
