tf	target	resource	confidence	effect	reference	program	note
IRF7	ATF4	CollecTRI		Activation	TRRUST:21148039;CollecTRI:21148039;CollecTRI2:21148039;DoRothEA:21148039	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CCL19	CollecTRI		Activation	CollecTRI2:17182562;CollecTRI:17182562	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CCL2	CollecTRI		Activation	CollecTRI2:36336986;CollecTRI2:22196084;CollecTRI2:20483755;CollecTRI2:24760883;CollecTRI2:22434214;CollecTRI2:20513754;CollecTRI2:32437400;CollecTRI:20483755	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CCL3	CollecTRI		Activation	CollecTRI2:20483755;CollecTRI:20483755	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CCL5	CollecTRI		Activation	DoRothEA:10385645;CollecTRI2:32508531;CollecTRI:10938111;CollecTRI2:11413310;CollecTRI2:10938111;CollecTRI2:23900076;CollecTRI2:27122612;CollecTRI:11413310;CollecTRI:10385645;CollecTRI2:32494661;CollecTRI2:21036898;CollecTRI2:34824546;CollecTRI2:17565659;CollecTRI:17565659;CollecTRI2:10799898;Collec	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CD80	CollecTRI		Activation	CollecTRI2:19433065;CollecTRI2:24013646;CollecTRI2:22815909;CollecTRI2:16237059;CollecTRI:16237059;TRRUST:16237059;CollecTRI2:17079482;DoRothEA:16237059;CollecTRI2:26005050	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CXCL10	CollecTRI		Activation	CollecTRI2:23405030;TRRUST:24701034;CollecTRI2:22196084;CollecTRI2:20483755;CollecTRI2:34824546;DoRothEA:24701034;CollecTRI2:32508531;CollecTRI2:23900076;CollecTRI2:24701034;CollecTRI:20483755;CollecTRI:23405030;CollecTRI2:37701855;CollecTRI:24701034;CollecTRI2:29858401;CollecTRI:16253303;CollecTRI2	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CYSLTR2	CollecTRI		Activation	CollecTRI:22194989;CollecTRI2:22194989	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	FOXP3	CollecTRI		Activation	CollecTRI2:23490285;CollecTRI:23490285	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA1	CollecTRI		Activation	CollecTRI2:15265881;CollecTRI2:19557165;CollecTRI:12077266;CollecTRI:11473119;CollecTRI2:30598516;CollecTRI:12242290;CollecTRI2:25473098;CollecTRI2:21297422;CollecTRI2:16982926;CollecTRI2:28367002;CollecTRI2:17702615;CollecTRI2:11222729;CollecTRI2:20231379;CollecTRI2:19651532;CollecTRI2:12453636;Col	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA10	CollecTRI		Activation	CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA14	CollecTRI		Activation	CollecTRI:10938111;CollecTRI:11303025;CollecTRI2:10938111;CollecTRI2:11303025;CollecTRI2:15699120;CollecTRI:19349300;CollecTRI2:23962002;CollecTRI2:19349300;CollecTRI:15699120	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA16	CollecTRI		Activation	CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA17	CollecTRI		Activation	CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA2	CollecTRI		Activation	TRRUST:17236232;CollecTRI2:10692430;CollecTRI:10938111;CollecTRI2:17236232;CollecTRI2:11473119;CollecTRI2:10938111;CollecTRI:11473119;CollecTRI:17236232;CollecTRI2:9822609;DoRothEA:17236232;CollecTRI:10692430;CollecTRI2:30598516;CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA4	CollecTRI		Activation	CollecTRI2:19557165;CollecTRI:10938111;CollecTRI2:10938111;CollecTRI2:36638664;CollecTRI2:17785777;CollecTRI2:9877175;CollecTRI2:24185615;CollecTRI2:32111355;CollecTRI:24185615;CollecTRI:16380379;CollecTRI2:10692430;CollecTRI:19557165;CollecTRI2:16014964;CollecTRI2:9786932;CollecTRI2:11884139;Collec	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA5	CollecTRI		Activation	CollecTRI2:12242290;CollecTRI:12242290;CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA7	CollecTRI		Activation	CollecTRI:10938111;CollecTRI2:10938111;CollecTRI2:31172279;CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNA8	CollecTRI		Activation	CollecTRI2:19349300;CollecTRI:19349300	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNB1	CollecTRI		Activation	CollecTRI2:19557165;CollecTRI2:34168080;CollecTRI2:14729983;CollecTRI2:24532789;CollecTRI2:30598516;CollecTRI2:22698399;CollecTRI:15355347;CollecTRI2:33255528;CollecTRI2:11222729;TRRUST:23906644;CollecTRI2:15664159;CollecTRI:22547704;CollecTRI2:20581830;CollecTRI2:22076939;CollecTRI2:10848607;Collec	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNL1	CollecTRI		Activation	CollecTRI2:19570999;CollecTRI2:23405030;CollecTRI:19570999;DoRothEA:17785777;CollecTRI:23405030;TRRUST:17785777;CollecTRI2:17785777;CollecTRI:17785777	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNL2	CollecTRI		Activation	CollecTRI2:17785777;CollecTRI:17785777;DoRothEA:17785777;TRRUST:17785777	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IFNL3	CollecTRI		Activation	CollecTRI2:32046242;DoRothEA:17785777;CollecTRI2:33725487;TRRUST:17785777;CollecTRI2:17785777;CollecTRI:17785777	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IL12A	CollecTRI		Activation	CollecTRI:16824573;CollecTRI2:19164128;CollecTRI2:16824573;CollecTRI:19164128	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IL12B	CollecTRI		Repression	CollecTRI2:17079482;CollecTRI:16824573;CollecTRI2:16824573	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IL27	CollecTRI		Activation	CollecTRI2:20083668;CollecTRI:20083668	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IL33	CollecTRI		Activation	CollecTRI2:26810609;CollecTRI:24777946;CollecTRI2:24777946	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	IRF3	CollecTRI		Activation	CollecTRI2:15367631;CollecTRI:15367631	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	ISG15	CollecTRI		Activation	CollecTRI2:12604599;CollecTRI2:29124042;CollecTRI:12604599;CollecTRI2:26005050	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	NR1H4	CollecTRI		Activation	CollecTRI2:23372731;CollecTRI:23372731;TRRUST:23372731;DoRothEA:23372731	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	PMAIP1	CollecTRI		Activation	CollecTRI2:21816905;CollecTRI:21816905	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	PPARGC1A	CollecTRI		Activation	CollecTRI:21966468;CollecTRI2:21966468	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	TAP2	CollecTRI		Activation	CollecTRI2:16014964;CollecTRI:16014964;CollecTRI:11119603;CollecTRI2:11119603	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	TNFSF10	CollecTRI		Activation	CollecTRI2:16846591;CollecTRI2:25950488;CollecTRI:22698399;CollecTRI2:19404407;CollecTRI2:22698399;CollecTRI2:22090103	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF7	CXCL10	DoRothEA	A	Activation	CollecTRI2:23405030;TRRUST:24701034;CollecTRI2:22196084;CollecTRI2:20483755;CollecTRI2:34824546;DoRothEA:24701034;CollecTRI2:32508531;CollecTRI2:23900076;CollecTRI2:24701034;CollecTRI:20483755;CollecTRI:23405030;CollecTRI2:37701855;CollecTRI:24701034;CollecTRI2:29858401;CollecTRI:16253303;CollecTRI2	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF7	IFNA1	DoRothEA	A	Activation	CollecTRI2:15265881;CollecTRI2:19557165;CollecTRI:12077266;CollecTRI:11473119;CollecTRI2:30598516;CollecTRI:12242290;CollecTRI2:25473098;CollecTRI2:21297422;CollecTRI2:16982926;CollecTRI2:28367002;CollecTRI2:17702615;CollecTRI2:11222729;CollecTRI2:20231379;CollecTRI2:19651532;CollecTRI2:12453636;Col	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF7	IFNA2	DoRothEA	A	Activation	TRRUST:17236232;CollecTRI2:10692430;CollecTRI:10938111;CollecTRI2:17236232;CollecTRI2:11473119;CollecTRI2:10938111;CollecTRI:11473119;CollecTRI:17236232;CollecTRI2:9822609;DoRothEA:17236232;CollecTRI:10692430;CollecTRI2:30598516;CollecTRI2:19349300;CollecTRI:19349300	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF7	IFNB1	DoRothEA	A	Activation	CollecTRI2:19557165;CollecTRI2:34168080;CollecTRI2:14729983;CollecTRI2:24532789;CollecTRI2:30598516;CollecTRI2:22698399;CollecTRI:15355347;CollecTRI2:33255528;CollecTRI2:11222729;TRRUST:23906644;CollecTRI2:15664159;CollecTRI:22547704;CollecTRI2:20581830;CollecTRI2:22076939;CollecTRI2:10848607;Collec	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF7	ATF4	TRRUST_v2		Activation	21148039	IFN	curated literature TF-target; not a ChIP peak
IRF7	CCL5	TRRUST_v2		Unknown	10385645	IFN	curated literature TF-target; not a ChIP peak
IRF7	CD80	TRRUST_v2		Activation	16237059	IFN	curated literature TF-target; not a ChIP peak
IRF7	CXCL10	TRRUST_v2		Activation	24701034	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNA1	TRRUST_v2		Activation	12077266;12242290;21670437	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNA13	TRRUST_v2		Activation	12077266	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNA2	TRRUST_v2		Activation	17236232	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNB1	TRRUST_v2		Activation	17236232	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNL1	TRRUST_v2		Unknown	17785777	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNL2	TRRUST_v2		Unknown	17785777	IFN	curated literature TF-target; not a ChIP peak
IRF7	IFNL3	TRRUST_v2		Unknown	17785777	IFN	curated literature TF-target; not a ChIP peak
IRF7	NR1H4	TRRUST_v2		Unknown	23372731	IFN	curated literature TF-target; not a ChIP peak
IRF9	ANKRD1	CollecTRI		Activation	CollecTRI:22626811	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CCL19	CollecTRI		Activation	CollecTRI2:17182562;CollecTRI:17182562	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CCND2	CollecTRI		Repression	TRRUST:15362048;DoRothEA:15362048;CollecTRI:15362048;CollecTRI2:15362048	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CDKN1A	CollecTRI		Activation	TRRUST:15362048;DoRothEA:15362048;CollecTRI:15362048;CollecTRI2:15362048	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CDKN1B	CollecTRI		Activation	TRRUST:15362048;DoRothEA:15362048;CollecTRI:15362048;CollecTRI2:15362048	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CXCL10	CollecTRI		Activation	CollecTRI2:35409339;CollecTRI:9794404;CollecTRI2:36499241;CollecTRI2:18606657;CollecTRI2:9794404;CollecTRI2:11355893	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	CXCL8	CollecTRI		Repression	CollecTRI2:18370868;CollecTRI:18370868	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFIT1	CollecTRI		Activation	CollecTRI:15145216	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFIT3	CollecTRI		Activation	CollecTRI2:19351818;TRRUST:20403236;CollecTRI:20403236;CollecTRI2:21056555;CollecTRI2:20403236;CollecTRI:19351818;CollecTRI:20137113;CollecTRI:21056555;CollecTRI2:20137113;TRRUST:19351818;CollecTRI2:34418997	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFNA1	CollecTRI		Activation	CollecTRI:15145216;CollecTRI2:11522652;CollecTRI:20403236;CollecTRI:8864350;CollecTRI2:9877175;CollecTRI:9186002;CollecTRI:22252317;CollecTRI:22626811;CollecTRI2:30527622	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFNB1	CollecTRI		Activation	CollecTRI2:11750216;CollecTRI2:7843405;CollecTRI:20038197;CollecTRI:7843405	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFNG	CollecTRI		Activation	CollecTRI:9218597;CollecTRI:8864350;CollecTRI:22252317	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IFNL3	CollecTRI		Activation	CollecTRI:10497156	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IL12A	CollecTRI		Activation	CollecTRI2:19164128;CollecTRI:19164128	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IL27	CollecTRI		Activation	CollecTRI2:20083668;CollecTRI:20083668;DoRothEA:20083668;TRRUST:20083668	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	INS	CollecTRI		Activation	CollecTRI:15047618	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	IRF7	CollecTRI		Activation	CollecTRI2:12768031;CollecTRI2:20562259;CollecTRI:12768031;CollecTRI2:28878077;CollecTRI2:30574148;DoRothEA:10924517;CollecTRI2:15664995;CollecTRI2:9877175;CollecTRI2:28219373;CollecTRI2:11877397	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	MYOCD	CollecTRI		Activation	CollecTRI:24144649;CollecTRI2:24144649	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	NCAM1	CollecTRI		Activation	CollecTRI2:17431130;TRRUST:17431130;CollecTRI:17431130;DoRothEA:17431130	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	OAS1	CollecTRI		Activation	CollecTRI:15145216;CollecTRI2:34495694	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	PDCD1	CollecTRI		Activation	CollecTRI:23070399	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	PML	CollecTRI		Activation	CollecTRI:8681971;DoRothEA:8681971;CollecTRI2:8681971;TRRUST:8681971	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	SNCA	CollecTRI		Activation	CollecTRI:23070399;CollecTRI:21263073	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	SP100	CollecTRI		Activation	CollecTRI:8681971;DoRothEA:8681971;CollecTRI2:8681971;TRRUST:8681971	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	SST	CollecTRI		Activation	CollecTRI:15047618	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	STAT1	CollecTRI		Activation	CollecTRI2:25564224;CollecTRI2:11316742;CollecTRI:23598529;CollecTRI2:23598529;CollecTRI2:19665745;CollecTRI2:15668228	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	TNFSF10	CollecTRI		Activation	CollecTRI:19752753;CollecTRI2:17892398;CollecTRI2:19752753	IFN	CollecTRI via OmniPath; not a lung ChIP peak
IRF9	ADAR	DoRothEA	B	Activation	CollecTRI2:26335850	IFN	DoRothEA via OmniPath; not a lung ChIP peak
