gene	rho	z	p	I2	k	n_pos	n_neg	epithelial_leak	fdr
A1BG	-0.31988445411033717	-0.3315183864114213	0.053227850642554815	0.0	2	0	2	False	0.7795658577853419
A1BG-AS1	-0.07606239546565094	-0.07620959279503974	0.8295534018599803	0.7645446637955748	2	1	1	False	0.9896353872932884
A1CF					1	1	0	False	
A2M	-0.12827812989121667	-0.12898877699150701	0.4629309409304273	0.04724113903492495	2	1	1	False	0.9491548249749046
A2M-AS1	-0.18681393869539378	-0.18903384603127898	0.40644356881293486	0.4314173258577564	2	1	1	False	0.9412707248585347
A2ML1	-0.0748805187614321	-0.07502094548452976	0.6617897251739565	0.0	2	0	1	False	0.9699009673190425
A3GALT2					1	0	1	False	
A4GALT	0.072939053928773	0.07306881621353548	0.6700635779442377	0.0	2	2	0	False	0.9713539395536323
A4GNT					1	0	1	False	
AAAS	-0.07348911013168699	-0.07362183678787786	0.6677155487047471	0.0	2	0	2	False	0.9709694884816714
AACS	0.1457356472600215	0.14678075197462212	0.39206885863192364	0.0	2	2	0	False	0.9384997791024644
AADAC	0.0012588580796333501	0.0012588587446147122	0.9948926140663463	0.23840674351940275	2	1	1	False	0.9997175553902903
AADACL2					1	1	0	False	
AADACL2-AS1					1	1	0	False	
AADACL3					0	0	0	False	
AADACL4					0	0	0	False	
AADAT	0.3674745274386521	0.3855002072030516	0.3132934046538509	0.79810475036291	2	1	1	False	0.9192661899861819
AAGAB	-0.1549131518865921	-0.1561705130243685	0.362494180002232	0.0	2	0	2	False	0.9315149972888792
AAK1	-0.35658946727978164	-0.37297304967299627	0.029646013444292223	0.0	2	0	2	False	0.7479633950976087
AAMDC	0.41824065637470426	0.4455577723782018	0.0751491456460827	0.529556440691219	2	2	0	False	0.8071419990287222
AAMP	-0.12767858406509225	-0.1283792479997871	0.4541144784981558	0.0	2	0	2	False	0.948699542400237
AANAT	-0.1946748417170405	-0.19719160458102353	0.25022017451345624	0.0	2	0	2	False	0.8990815361982083
AAR2	-0.12468990097176805	-0.12534220529931311	0.4648620013046256	0.0	2	0	2	False	0.9492480042901589
AARD	-0.26219535085975737	-0.2684643696411743	0.11748848648862775	0.0	2	0	2	False	0.8382310806803543
AARS2	0.011021077403905575	0.011021523658350863	0.9487584460341437	0.0	2	2	0	False	0.9943804057995589
AARSD1	0.04458999602745082	0.044619583615936056	0.7947290608237431	0.0	2	2	0	False	0.9857689295457011
AASDH	-0.1949911887508948	-0.19752043394924554	0.24943115727731702	0.0	2	0	2	False	0.8990815361982083
AASDHPPT	-0.08142988449665986	-0.08161058643270515	0.6341688459959847	0.0	2	1	1	False	0.9662611502477051
AASS	-0.07423534318838522	-0.07437216338333813	0.7800005409684406	0.5839511922440032	2	1	1	False	0.9830475325515997
AATBC	0.1529413143034332	0.15415082096137483	0.3687346828448951	0.0	2	2	0	False	0.9342359186021466
AATF	-0.2338224305975094	-0.23822916999249813	0.16480148328750377	0.0	2	0	2	False	0.8599112605595348
AATK	-0.22638889553198704	-0.23037998734030024	0.4912266781045106	0.7365715061615227	2	1	1	False	0.9523509199425397
ABALON	-0.25589812555918284	-0.2617141400218965	0.12699926539876977	0.0	2	0	2	False	0.8492078107637074
ABAT	0.033469299106128725	0.03348180488169626	0.8452122730403646	0.0	2	2	0	False	0.9908552096093504
ABCA1	-0.1381406300856716	-0.13902953508657256	0.7548821188350417	0.851177605065297	2	1	1	False	0.9781740702473689
ABCA10	-0.2068979389376194	-0.2099283720309242	0.22092120555019767	0.0	2	0	2	False	0.8849581248981624
