ligand	family	n_patients	frac_patients_pct10	best_receptor	best_receptor_frac	sender_expressed	receptor_expressed	potential
A2M	other	59	0.1864406779661017	LRP1	0.06779661016949153	True	False	False
AANAT	other	59	0.0		0.0	False	False	False
ABCA1	other	59	0.6101694915254238		0.0	True	False	False
ACE	other	59	0.2033898305084746		0.0	True	False	False
ACE2	other	59	0.03389830508474576	TIGIT	0.864406779661017	False	True	False
ACP4	other	40	0.0		0.0	False	False	False
ADAM10	other	59	0.9491525423728814	CD44	1.0	True	True	True
ADAM11	other	59	0.01694915254237288	ITGA4	0.7288135593220338	False	True	False
ADAM12	other	59	0.03389830508474576	ITGB1	0.9661016949152542	False	True	False
ADAM15	other	59	0.9491525423728814	ITGB1	0.9661016949152542	True	True	True
ADAM17	other	59	0.9830508474576272	ITGB1	0.9661016949152542	True	True	True
ADAM2	other	59	0.0	ITGB1	0.9661016949152542	False	True	False
ADAM20	other	59	0.0		0.0	False	False	False
ADAM21	other	59	0.0	IGSF21	0.01694915254237288	False	False	False
ADAM23	other	59	0.05084745762711865	ITGA5	0.15254237288135594	False	True	False
ADAM28	other	59	0.3898305084745763	ITGA4	0.7288135593220338	True	True	True
ADAM29	other	59	0.0	ITGA4	0.7288135593220338	False	True	False
ADAM7	other	40	0.0	ITGA4	0.7288135593220338	False	True	False
ADAM9	other	59	0.9322033898305084	ITGB1	0.9661016949152542	True	True	True
ADAMTS3	other	59	0.0		0.0	False	False	False
ADCYAP1	other	59	0.05084745762711865	VIPR1	0.05084745762711865	False	False	False
ADGRB1	other	59	0.03389830508474576		0.0	False	False	False
ADGRE5	other	59	0.7966101694915254	CD55	0.7966101694915254	True	True	True
ADGRF5	other	59	0.6779661016949152		0.0	True	False	False
ADIPOQ	other	59	0.0	ADIPOR1	0.6779661016949152	False	True	False
ADM	other	59	0.6440677966101694	RAMP2	0.03389830508474576	True	False	False
ADM2	other	59	0.2033898305084746	ADRB2	0.3050847457627119	True	True	True
AGRN	other	59	0.9322033898305084	ITGB1	0.9661016949152542	True	True	True
AGRP	other	59	0.0		0.0	False	False	False
AGT	other	59	0.1694915254237288	LRP2	0.01694915254237288	True	False	False
AHSG	other	59	0.0	INSR	0.03389830508474576	False	False	False
AIMP1	other	59	1.0		0.0	True	False	False
ALB	other	59	0.06779661016949153	LRP2	0.01694915254237288	False	False	False
ALCAM	other	59	0.9491525423728814	CD6	0.8813559322033898	True	True	True
ALKAL1	other	40	0.1		0.0	True	False	False
ALKAL2	other	40	0.0		0.0	False	False	False
ALOX5AP	other	59	0.576271186440678	ALOX5	0.15254237288135594	True	True	True
AMBN	other	59	0.0	CD63	1.0	False	True	False
AMELX	other	59	0.0	CD63	1.0	False	True	False
AMELY	other	59	0.0	CD63	1.0	False	True	False
AMH	other	59	0.0	EGFR	0.01694915254237288	False	False	False
ANG	other	59	0.6949152542372882	PLXNB2	0.06779661016949153	True	False	False
ANGPT1	other	59	0.01694915254237288	ITGB1	0.9661016949152542	False	True	False
ANGPT2	other	59	0.03389830508474576	ITGB1	0.9661016949152542	False	True	False
ANGPT4	other	59	0.0		0.0	False	False	False
ANGPTL1	other	59	0.01694915254237288	ITGB1	0.9661016949152542	False	True	False
ANGPTL2	other	59	0.03389830508474576	ITGB1	0.9661016949152542	False	True	False
ANGPTL3	other	59	0.0	ITGA5	0.15254237288135594	False	True	False
ANGPTL4	other	59	0.4745762711864407	ITGB1	0.9661016949152542	True	True	True
ANGPTL5	other	59	0.0		0.0	False	False	False
ANGPTL6	other	59	0.0		0.0	False	False	False
ANGPTL7	other	59	0.0		0.0	False	False	False
