gene	n_patients_measured	n_detected	frac
A1BG	59	31	0.5254237288135594
A1CF	59	0	0.0
A2M	59	6	0.1016949152542373
A2ML1	59	0	0.0
A4GALT	59	1	0.01694915254237288
A4GNT	59	0	0.0
AAAS	59	7	0.11864406779661017
AACS	59	2	0.03389830508474576
AADAC	59	0	0.0
AADACL4	59	0	0.0
AADAT	59	0	0.0
AAED1	19	14	0.7368421052631579
AAGAB	59	9	0.15254237288135594
AAK1	59	59	1.0
AAMDC	59	5	0.0847457627118644
AAMP	59	39	0.6610169491525424
AANAT	59	0	0.0
AAR2	59	7	0.11864406779661017
AARD	59	0	0.0
AARS	19	0	0.0
AARS2	59	1	0.01694915254237288
AARSD1	59	7	0.11864406779661017
AASDH	59	5	0.0847457627118644
AASDHPPT	59	23	0.3898305084745763
AASS	59	0	0.0
AATF	59	46	0.7796610169491526
AATK	59	0	0.0
AB015752.3	10	0	0.0
AB019440.50	10	0	0.0
ABAT	59	0	0.0
ABC12-49244600F4.4	10	0	0.0
ABC13-47488600E17.1	10	0	0.0
ABC13-47656900H15.1	10	0	0.0
ABC7-42404400C24.1	10	0	0.0
ABC7-481722F1.2	10	0	0.0
ABCA1	59	3	0.05084745762711865
ABCA10	59	0	0.0
ABCA12	59	0	0.0
ABCA13	59	0	0.0
ABCA2	59	10	0.1694915254237288
ABCA3	59	1	0.01694915254237288
ABCA4	59	0	0.0
ABCA5	59	1	0.01694915254237288
ABCA6	59	0	0.0
ABCA7	59	7	0.11864406779661017
ABCA8	59	0	0.0
ABCA9	59	0	0.0
ABCB1	59	3	0.05084745762711865
ABCB10	59	1	0.01694915254237288
ABCB4	59	0	0.0
ABCB5	59	0	0.0
ABCB6	59	0	0.0
ABCB7	59	9	0.15254237288135594
ABCB8	59	6	0.1016949152542373
ABCB9	59	0	0.0
ABCC1	59	12	0.2033898305084746
ABCC10	59	4	0.06779661016949153
ABCC11	59	0	0.0
ABCC12	59	0	0.0
ABCC2	59	0	0.0
ABCC3	59	2	0.03389830508474576
ABCC4	59	0	0.0
ABCC5	59	2	0.03389830508474576
ABCC6	59	1	0.01694915254237288
ABCC8	59	0	0.0
ABCC9	59	0	0.0
ABCD1	59	0	0.0
ABCD2	59	3	0.05084745762711865
ABCD3	59	3	0.05084745762711865
ABCD4	59	12	0.2033898305084746
ABCE1	59	31	0.5254237288135594
ABCF1	59	51	0.864406779661017
ABCF2	59	10	0.1694915254237288
ABCF3	59	7	0.11864406779661017
ABCG1	59	24	0.4067796610169492
ABCG2	59	0	0.0
ABCG4	59	0	0.0
ABCG5	59	0	0.0
ABHD1	59	0	0.0
ABHD10	59	4	0.06779661016949153
ABHD11	59	2	0.03389830508474576
ABHD12	59	16	0.2711864406779661
ABHD12B	59	0	0.0
ABHD13	59	16	0.2711864406779661
ABHD14A	59	37	0.6271186440677966
ABHD14A-ACY1	38	0	0.0
ABHD14B	59	50	0.847457627118644
ABHD15	59	0	0.0
ABHD16A	59	10	0.1694915254237288
ABHD16B	59	0	0.0
ABHD17A	59	47	0.7966101694915254
ABHD17B	59	6	0.1016949152542373
ABHD17C	59	1	0.01694915254237288
ABHD18	59	6	0.1016949152542373
ABHD2	59	20	0.3389830508474576
ABHD3	59	33	0.559322033898305
ABHD4	59	1	0.01694915254237288
ABHD5	59	29	0.4915254237288136
ABHD6	59	1	0.01694915254237288
ABHD8	59	0	0.0
ABI1	59	51	0.864406779661017
ABI2	59	10	0.1694915254237288
ABI3	59	44	0.7457627118644068
ABI3BP	59	0	0.0
ABL1	59	1	0.01694915254237288
ABL2	59	12	0.2033898305084746
ABLIM1	59	17	0.288135593220339
ABLIM2	59	1	0.01694915254237288
ABLIM3	59	0	0.0
ABO	59	0	0.0
ABR	59	13	0.22033898305084745
ABRA	59	0	0.0
ABRACL	59	59	1.0
ABT1	59	49	0.8305084745762712
ABTB1	59	28	0.4745762711864407
ABTB2	59	0	0.0
AC000067.1	19	0	0.0
AC000124.1	19	0	0.0
AC000403.4	10	0	0.0
AC001226.7	10	0	0.0
AC002115.9	10	0	0.0
AC002331.1	10	1	0.1
AC002429.5	10	0	0.0
AC002480.2	19	0	0.0
AC002511.2	19	0	0.0
AC002511.3	10	0	0.0
AC003002.6	10	0	0.0
AC003005.2	19	0	0.0
AC003088.1	10	0	0.0
AC003090.1	10	0	0.0
AC003092.1	19	0	0.0
AC003092.2	19	0	0.0
AC004009.3	10	0	0.0
AC004012.1	19	0	0.0
AC004069.2	10	0	0.0
AC004076.7	10	0	0.0
AC004076.9	10	0	0.0
AC004156.3	10	0	0.0
AC004158.1	19	0	0.0
AC004158.3	10	0	0.0
AC004221.2	10	0	0.0
AC004257.1	19	0	0.0
AC004381.6	10	0	0.0
AC004448.2	19	0	0.0
AC004449.6	10	0	0.0
AC004471.10	10	0	0.0
AC004510.3	10	0	0.0
AC004540.5	10	0	0.0
AC004702.2	10	0	0.0
AC004754.3	10	0	0.0
AC004775.5	10	0	0.0
AC004791.2	10	0	0.0
AC004824.1	19	0	0.0
AC004895.4	10	0	0.0
AC004901.1	10	0	0.0
AC004947.2	10	0	0.0
AC004951.6	10	1	0.1
AC005013.5	10	0	0.0
AC005019.3	10	0	0.0
AC005082.12	10	0	0.0
AC005152.3	10	0	0.0
AC005224.2	19	0	0.0
AC005256.1	19	0	0.0
AC005276.1	10	0	0.0
AC005281.1	19	0	0.0
AC005301.8	10	0	0.0
AC005301.9	10	0	0.0
AC005304.1	19	0	0.0
AC005307.1	19	0	0.0
AC005355.1	19	0	0.0
AC005355.2	10	0	0.0
AC005363.11	10	0	0.0
AC005477.1	10	0	0.0
AC005480.1	19	0	0.0
AC005487.2	10	0	0.0
AC005498.3	19	0	0.0
AC005522.7	10	0	0.0
AC005523.3	10	0	0.0
AC005537.2	10	0	0.0
AC005546.2	10	0	0.0
AC005592.1	19	0	0.0
AC005592.3	10	0	0.0
AC005606.14	10	0	0.0
AC005606.15	10	0	0.0
AC005616.2	10	0	0.0
AC005618.6	10	0	0.0
AC005624.2	10	0	0.0
AC005703.2	19	0	0.0
AC005753.1	19	0	0.0
AC005754.8	10	0	0.0
AC005779.2	19	0	0.0
AC005786.5	10	0	0.0
AC005863.2	10	0	0.0
AC006000.5	10	0	0.0
AC006116.20	10	0	0.0
AC006116.21	10	0	0.0
AC006129.1	10	0	0.0
AC006129.2	10	0	0.0
AC006196.1	10	0	0.0
AC006262.4	10	0	0.0
AC006262.5	10	0	0.0
AC006273.4	10	0	0.0
AC006273.5	10	0	0.0
AC006328.1	10	0	0.0
AC006369.3	10	0	0.0
AC006372.4	10	0	0.0
AC006386.1	10	0	0.0
AC006449.2	19	0	0.0
AC006482.1	19	0	0.0
AC006552.1	10	0	0.0
AC006946.15	10	0	0.0
AC006946.16	10	0	0.0
AC006946.17	10	0	0.0
AC007036.6	10	0	0.0
AC007040.11	10	0	0.0
AC007064.24	10	0	0.0
AC007131.1	10	0	0.0
AC007161.5	10	0	0.0
AC007163.3	10	0	0.0
AC007204.2	10	0	0.0
AC007228.5	10	0	0.0
AC007228.9	10	0	0.0
AC007249.3	10	0	0.0
AC007250.4	10	0	0.0
AC007326.10	10	0	0.0
AC007349.5	10	0	0.0
AC007359.6	10	0	0.0
AC007365.1	19	0	0.0
AC007365.3	10	0	0.0
AC007381.3	10	0	0.0
AC007383.3	19	0	0.0
AC007386.2	10	0	0.0
AC007389.3	19	0	0.0
AC007391.2	10	0	0.0
AC007392.3	10	0	0.0
AC007403.2	10	0	0.0
AC007405.4	10	0	0.0
AC007405.6	10	0	0.0
AC007422.1	19	0	0.0
AC007491.1	19	0	0.0
AC007879.2	19	0	0.0
AC007879.3	19	0	0.0
AC007879.4	19	0	0.0
AC007879.6	10	0	0.0
AC007879.7	10	0	0.0
AC007880.1	10	0	0.0
AC007906.1	10	0	0.0
AC007950.1	19	0	0.0
AC007950.2	19	0	0.0
AC007952.4	19	4	0.21052631578947367
AC008060.7	10	0	0.0
AC008063.3	10	0	0.0
AC008074.1	19	0	0.0
AC008074.4	10	0	0.0
AC008088.4	10	0	0.0
AC008268.1	19	0	0.0
AC008269.2	19	0	0.0
AC008271.1	10	0	0.0
AC008522.1	19	0	0.0
AC008592.4	19	0	0.0
AC008592.8	10	0	0.0
AC008686.1	19	0	0.0
AC008746.12	10	0	0.0
AC008759.1	10	0	0.0
AC008914.1	19	0	0.0
AC009014.3	10	0	0.0
AC009022.1	10	0	0.0
AC009060.2	10	0	0.0
AC009065.1	19	0	0.0
AC009120.10	10	0	0.0
AC009120.11	10	0	0.0
AC009120.4	19	0	0.0
AC009120.5	19	0	0.0
AC009229.6	10	0	0.0
AC009236.2	10	0	0.0
AC009262.2	10	0	0.0
AC009276.4	10	0	0.0
AC009299.3	19	0	0.0
AC009404.2	10	0	0.0
AC009410.1	10	0	0.0
AC009478.1	19	0	0.0
AC009495.2	19	0	0.0
AC009495.3	19	0	0.0
AC009495.4	10	0	0.0
AC009502.4	10	0	0.0
AC009505.4	10	0	0.0
AC009508.1	10	0	0.0
AC009784.3	10	0	0.0
AC009961.3	10	0	0.0
AC010084.1	10	0	0.0
AC010096.1	19	0	0.0
AC010184.1	10	0	0.0
AC010287.1	10	0	0.0
AC010547.9	10	0	0.0
AC010642.1	10	0	0.0
AC010745.1	19	0	0.0
AC010894.3	19	0	0.0
AC010967.2	19	0	0.0
AC010987.5	10	0	0.0
AC010987.6	10	0	0.0
AC011286.1	10	0	0.0
AC011288.2	10	0	0.0
AC011294.3	10	0	0.0
AC011298.2	10	0	0.0
AC011380.1	10	0	0.0
AC011516.2	10	0	0.0
AC011718.2	10	0	0.0
AC011747.3	10	0	0.0
AC011747.4	10	0	0.0
AC011752.1	19	0	0.0
AC012005.1	10	0	0.0
AC012005.2	10	0	0.0
AC012065.4	19	0	0.0
AC012074.2	10	0	0.0
AC012307.2	10	0	0.0
AC012314.20	10	0	0.0
AC012360.4	10	0	0.0
AC012368.1	19	0	0.0
AC012442.6	10	0	0.0
AC012485.2	19	0	0.0
AC012506.4	19	0	0.0
AC012593.1	19	0	0.0
AC012668.1	19	0	0.0
AC012668.2	19	0	0.0
AC013271.5	10	0	0.0
AC013401.2	10	0	0.0
AC013448.1	19	0	0.0
AC013461.1	10	0	0.0
AC015849.16	10	0	0.0
AC015922.6	10	0	0.0
AC016549.1	10	0	0.0
AC016577.1	10	0	0.0
AC016700.2	10	0	0.0
AC016700.5	10	0	0.0
AC016710.1	19	0	0.0
AC016722.3	19	0	0.0
AC016735.1	19	0	0.0
AC016735.2	10	0	0.0
AC016735.3	10	0	0.0
AC016768.1	10	0	0.0
AC016831.7	19	16	0.8421052631578947
AC016912.3	10	0	0.0
AC016995.3	10	0	0.0
AC017002.1	19	1	0.05263157894736842
AC017002.2	19	0	0.0
AC017060.1	10	0	0.0
AC017074.2	19	0	0.0
AC017104.2	10	0	0.0
AC018359.1	19	0	0.0
AC018512.1	19	0	0.0
