ligand	family	split	n_patients	n_nonzero	mean_delta	median_delta	p_wilcoxon	meta_mu	meta_p	meta_I2	meta_k	cohorts_pos	cohorts_neg	mean_GSE123902	mean_GSE131907	mean_GSE205335	mean_GSE189357	n_GSE123902	n_GSE131907	n_GSE205335	n_GSE189357
A2M	other	delta_q4q1	59	52	-0.05000819871508157	-0.0016993472703712	0.0009167011499621356	-0.015647060332875194	0.18874536498080707	0.8736966477138174	4	1	3	-0.09734703206682326	0.007124131899092184	-0.005993813850559741	-0.2207224243047307	10	19	21	9
AANAT	other	delta_q4q1	59	17	-7.588267093678816e-05	0.0	0.677703857421875	-0.00020652519022565697	0.23344608134785827	0.0	4	1	3	-0.0004228342270181901	-7.549937382142078e-06	-0.000222107222666719	0.0005065516856859111	10	19	21	9
ABCA1	other	delta_q4q1	59	58	0.06813232445570765	0.0557165599849837	3.868769162988199e-06	0.0661845951361103	7.678553281603251e-05	0.3858871324097723	4	4	0	0.03407394007281811	0.06946066794324958	0.10022124733950204	0.028296539678587345	10	19	21	9
ACE	other	delta_q4q1	59	53	-0.002189858153075389	0.0023966600458213	0.13578021187422395	0.008743009121783147	0.09568726174579922	0.43175309334813894	4	3	1	0.006111724667259941	0.008055567742281304	0.01588031990615915	-0.0752068203151927	10	19	21	9
ACE2	other	delta_q4q1	59	43	0.0064343509318537575	0.0008676278482143	0.0028951968317869614	0.0040688336520160765	0.00047081592082132704	0.0	4	4	0	0.0030427433005484695	0.004228833140591338	0.009183596456734796	0.008443990745691209	10	19	21	9
ACP4	other	delta_q4q1	40	5	-5.9209803818600015e-06	0.0	1.0				1	0	1	0.0		-1.1278057870209526e-05	0.0	10	0	21	9
ADAM10	other	delta_q4q1	59	59	0.09704825680217688	0.0747723592256676	8.022986950499421e-08	0.08299042292551698	1.980264618510812e-05	0.5130425552688831	4	4	0	0.05784564463285634	0.11881700482664093	0.11684114875759948	0.048467054376011724	10	19	21	9
ADAM11	other	delta_q4q1	59	20	1.6688225699025462e-05	0.0	0.14290618896484375	0.0005631199711261778	0.025488006083408312	0.0	3	2	1	0.0	0.0005396318740739684	-0.0007174725491119286	0.0006442803600208444	10	19	21	9
ADAM12	other	delta_q4q1	59	50	0.0007858552205881048	0.0017762447110121	0.031261656763490464	0.003025278337262518	0.5406122219779677	0.6308986702266399	4	2	2	-0.0069888334179953005	0.010464522024214763	0.007147415740238696	-0.0258519840900491	10	19	21	9
ADAM15	other	delta_q4q1	59	59	0.1779032903495858	0.1552376745060002	4.888683195295786e-11	0.18715855665405282	7.11179542227813e-25	0.0	4	4	0	0.20836480625050266	0.14968809047364998	0.20449152536989898	0.1415833684837008	10	19	21	9
ADAM17	other	delta_q4q1	59	59	0.08532570487601103	0.0707958613107614	5.493714018733944e-08	0.08267961162720085	3.989206791076741e-09	0.1915979628134736	4	4	0	0.08244856864468302	0.09943363651878376	0.0960915769818761	0.033618743417947794	10	19	21	9
ADAM2	other	delta_q4q1	59	4	0.0002021902213019814	0.0		4.786363608202701e-05	0.2983607271870997	0.0	2	2	0	0.0	0.0005768997700367002	4.610130600569524e-05	0.0	10	19	21	9
ADAM20	other	delta_q4q1	59	22	0.0002201777300497015	0.0	0.5028400421142578	0.00012513042115727037	0.588291257497212	0.0	4	2	2	-2.46680876138999e-05	0.00039407499745778955	0.0002759670013050328	-5.0627811147000015e-06	10	19	21	9
