accession,fileName,category,size_bytes,is_raw,protein_table_candidate,download_http,tier,keep_for_download
PXD009041,F004913.dat,SEARCH,40135478,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004913.dat,core_lung_io,True
PXD009041,pY-D1_run2.raw,RAW,763613799,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D1_run2.raw,core_lung_io,True
PXD009041,pY-D1_run1.rawF004911.mzid.gz,RESULT,11531989,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D1_run1.rawF004911.mzid.gz,core_lung_io,True
PXD009041,pY-D3_run2.raw_F004926.dta,PEAK,5912556,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D3_run2.raw_F004926.dta,core_lung_io,True
PXD009041,pY-M3_run2.rawF004940.mzid.gz,RESULT,14176284,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M3_run2.rawF004940.mzid.gz,core_lung_io,True
PXD009041,pY-M1_run2.rawF004931.mzid.gz,RESULT,11954786,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M1_run2.rawF004931.mzid.gz,core_lung_io,True
PXD009041,F004940.dat,SEARCH,41016001,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004940.dat,core_lung_io,True
PXD009041,pY-D1_run1.raw,RAW,712958538,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D1_run1.raw,core_lung_io,True
PXD009041,pY-M2_run2.raw_F004937.dta,PEAK,5962329,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M2_run2.raw_F004937.dta,core_lung_io,True
PXD009041,pY-D2_run1.rawF004917.mzid_pY-D2_run1.raw_F004917.MGF,PEAK,9233738,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D2_run1.rawF004917.mzid_pY-D2_run1.raw_F004917.MGF,core_lung_io,True
PXD009041,pY-M1_run2.raw,RAW,833654919,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M1_run2.raw,core_lung_io,True
PXD009041,pY-M3_run1.rawF004939.mzid.gz,RESULT,15349850,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M3_run1.rawF004939.mzid.gz,core_lung_io,True
PXD009041,F004923.dat,SEARCH,44678115,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004923.dat,core_lung_io,True
PXD009041,F004917.dat,SEARCH,47766624,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004917.dat,core_lung_io,True
PXD009041,pY-D2_run1.raw_F004917.dta,PEAK,8495887,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D2_run1.raw_F004917.dta,core_lung_io,True
PXD009041,pY-M2_run2.rawF004937.mzid_pY-M2_run2.raw_F004937.MGF,PEAK,6776461,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M2_run2.rawF004937.mzid_pY-M2_run2.raw_F004937.MGF,core_lung_io,True
PXD009041,pY-D3_run1.raw,RAW,784603886,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D3_run1.raw,core_lung_io,True
PXD009041,pY-M1_run2.rawF004931.mzid_pY-M1_run2.raw_F004931.MGF,PEAK,6042925,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M1_run2.rawF004931.mzid_pY-M1_run2.raw_F004931.MGF,core_lung_io,True
PXD009041,pY-M1_run1.rawF004928.mzid.gz,RESULT,14965608,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M1_run1.rawF004928.mzid.gz,core_lung_io,True
PXD009041,pY-M2_run1.rawF004934.mzid_pY-M2_run1.raw_F004934.MGF,PEAK,7801140,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M2_run1.rawF004934.mzid_pY-M2_run1.raw_F004934.MGF,core_lung_io,True
PXD009041,pY-D2_run2.raw,RAW,795218997,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D2_run2.raw,core_lung_io,True
PXD009041,F004937.dat,SEARCH,40456636,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004937.dat,core_lung_io,True
PXD009041,F004939.dat,SEARCH,45876566,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004939.dat,core_lung_io,True
PXD009041,pY-D2_run1.raw,RAW,779953437,True,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D2_run1.raw,core_lung_io,True
PXD009041,F004934.dat,SEARCH,44249765,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/F004934.dat,core_lung_io,True
PXD009041,pY-M3_run1.raw_F004939.dta,PEAK,7582218,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-M3_run1.raw_F004939.dta,core_lung_io,True
PXD009041,RixCCMitopY.sf3,OTHER,77326336,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/RixCCMitopY.sf3,core_lung_io,True
PXD009041,pY-D2_run2.rawF004919.mzid.gz,RESULT,12834114,,False,https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009041/pY-D2_run2.rawF004919.mzid.gz,core_lung_io,True
