accession,confidence,why,host,title,description,excluded_known,px_url
PXD078247,A,Serum proteome of NSCLC patients treated with ICB monotherapy,PRIDE/iProX?,Serum proteome profiling of patients with non-small cell lung cancer treated with immune checkpoint blockade monotherapy,"80 V), using data-dependent acquisition with Orbitrap MS1 and ion-trap-detected HCD MS2. Raw files were searched in Proteome Discoverer 2.4 (SEQUEST HT with Percolator validation) against UniProt Swiss-Prot human (release 2017-10-25), and label-free protein abundances (Minora Feature Detector) were normalized to internal standard peptides. See the associated publication for full experimental details and clinical information.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD078247
PXD062630,A,Urine EV proteome predicts anti-PD1 PFS in advanced NSCLC (n=33),PRIDE,Host and Bacterial Urine Proteomics Might Predict Treatment Outcomes for Immunotherapy in Advanced NSCLC,Urine extracellular vesicles from NSCLC patients were analyzed via LC-MS/MS to identify host and microbial proteins associated with progression-free survival. The study included 33 baseline urine samples and follow-up data. Samples were processed using EVtrap and analyzed on a Q-Exactive HF-X using a 60-minute gradient.,False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD062630
PXD031474,A,"DIA plasma biomarkers, first-line anti-PD-1 NSCLC (iProX)",iProX,Discovery of efficacy biomarkers for NSCLC with first-line anti-PD-1 immunotherapy by DIA,"To discover potential plasma biomarkers, we are aiming to explore circulating and tumor-derived proteins related to the efficacy of anti-PD-1 treatment to select the optimal NSCLC patients for immunotherapy via DIA.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD031474
PXD039141,A,Serum glycoproteins before/during anti-PD-1/PD-L1 in metastatic LUAD/LUSC (iProX),iProX,Glycosylation changes associated with anti-PD-1/PD-L1 Treatment,"To systematically characterize anti-PD-1/PD-L1 immunotherapy-related changes in serum glycoproteins and discover novel biomarkers related to treatment response, we analyzed a series of sera samples from patients with metastatic lung�squamous�cell�carcinoma�(SCC) and�lung�adenocarcinoma�(ADC), collected before and during ICIs treatment, with mass-spectrometry-based label-free quantification methodology.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD039141
PXD058967,A,Plasma multi-omics (metabolome+proteome) unresectable NSCLC immunotherapy (iProX),iProX,Multi-omics analysis reveals the sensitivity of immunotherapy for unresectable non-small cell lung cancer,"Peripheral blood plasma was collected from unresectable stage III and IV non-small cell lung cancer patients who were negative for driver mutations before receiving immunotherapy. Then we classified samples according to the follow-up results after two courses of immunotherapy and non-targeted metabolomics and proteomics analyses were performed to select different metabolites and proteins. Finally, potential biomarkers were picked out by applying machine learning methods including random forest and stepwise regression and prediction models were constructed by logistic regression.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD058967
PXD066804,A,"LDN myeloid proteome, first-line anti-PD1/PD-L1 resistance in NSCLC (jPOST)",jPOST,CIRCULATING IMMUNOSUPPRESIVE MYELOID CELLS AS A MAJOR MECHANISM OF RESISTANCE TO FIRST LINE ANTI-PD1/PD-L1 IMMUNOTHERAPY IN NSCLC,LDNs are an immunosuppressive myeloid subpopulation with a specific proteomic profile. High baseline LDN levels are associated with resistance to ICI monotherapy in patients diagnosed with advanced NSCLC. The combination with chemotherapy might be useful to overcome resistance to ICI monotherapy in some patients. Additional therapeutic strategies targeting LDNs should be explored to improve ICI efficacy in this population.,False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD066804
PXD040761,B,Durvalumab + chemo proteome in LUAD cell lines,PRIDE,Exploring the molecular mechanisms behind the potentiation of chemotherapy effects by durvalumab in lung adenocarcinoma cell lines,"Immune checkpoint inhibitors are increasingly used in combination with chemotherapy for treatment of non-small cell lung cancer, yet the success of combination therapies is relatively limited. Thus, more detailed insight regarding the tumour molecular markers that may affect the responsiveness of patients to therapy is required. Here, we set out to explore the proteome of two lung adenocarcinoma cell lines (HCC-44 and A549) treated with cisplatin, pemetrexed, durvalumab, and the corresponding mixtures to establish the differences in post-treatment protein expression that can serve as markers of chemosensitivity or resistance.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD040761
PXD019573,B,PSME4/PA200 NSCLC proteome; ratio associated with durvalumab response,PRIDE,NSCLC Lung Adenocarcinoma Proteomics,"Alterations in cellular antigen processing and presenting machinery has gained increased interest as a hallmark of cancer-related inflammation. Growing evidence suggest that proteasome composition and immunoproteasome expression can influence the efficacy of cancer therapies. By applying proteasome foot-printing to clinical samples of Non Small Cell lung Cancer (NSCLC), we found tumor specific alterations in degradation products and increased expression of the proteasome regulator, PA200. We show that increased levels of PA200 alter the cleavage specificities of proteasomal-cleaved peptides and reduce antigenicity. We found that smoking-induced expression of PA200 abrogated immunoproteasome activity and is associated with poor survival. As immunotherapy is becoming a common treatment of NSCLC, we hypothesized that PA200 expression may contribute to resistance mechanism to immunotherapy. Consistent with this possibility, we found that the ratio between PA200 and the immunoproteasome subunit PSMB10, and not their absolute levels, were significantly associated with poor response to Durvalamab. Induced reduction in PA200 in vivo was associated with increased immune infiltration and attenuated tumor growth.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019573
PXD028364,C,A549 immunopeptidome companion of PSME4/PA200 series,PRIDE,Lung Adenocarcinoma (A549) Immunopeptidomics,Alterations in cellular antigen processing and presenting machinery has gained increased interest as a hallmark of cancer-related inflammation. Growing evidence suggest that proteasome composition and immunoproteasome expression can influence antigen processing. By performing immunopeptidomics on A549 lung adenocarcinoma cell line following depletion of proteasome regulator PSME4 we identified alterations in the antigenic landscape resulting from changes in proteasome processing.,False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD028364
PXD037365,C,A549 immunopeptidome companion of PSME4/PA200 series,PRIDE,Lung Adenocarcinoma (A549) Immunopeptidomics,Alterations in cellular antigen processing and presenting machinery has gained increased interest as a hallmark of cancer-related inflammation. Growing evidence suggest that proteasome composition and immunoproteasome expression can influence antigen processing. By performing immunopeptidomics on A549 lung adenocarcinoma cell line following depletion of proteasome regulator PSME4 we identified alterations in the antigenic landscape resulting from changes in proteasome processing.,False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD037365
PXD065735,A,SCLC ERBB2 immune evasion / ICI resistance (PRIDE); MassIVE MSV000098579,PRIDE,ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lungcancer,"Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune checkpoint blockade. To elaborate molecular mechanisms that mediate SCLC immune evasion, we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho-tyrosine kinase analysis, we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING-dependent manner. Finally, we demonstrate that the ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment eff",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD065735
