Sample,TACSTD2,CD226,CD44,CD47,CD96,HAVCR2,JUNB,LAG3,LGALS1,LGALS3,LGALS3BP,LGALS8,LGALS9,LTBP1,NECTIN1,NECTIN3,NECTIN4,PVR,SERPINE1,SIRPA,SKIL,SMAD7,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,THBS1,TIGIT,n_cells,Sample_Origin,slice
LUNG_T06,2.5113075,0.0,0.9717379,1.3798252,0.01698312,0.01862742,2.6355646,0.014018527,1.5056229,2.462568,2.1224341,0.3518321,0.4370445,0.12412798,0.080306076,0.08158613,0.4363403,0.12659185,0.06967973,0.051995162,0.6794007,0.18296902,0.2877102,0.2051104,0.006633018,0.101193994,0.48164925,0.014381425,0.579755,0.058434874,100,tLung,primary_tLung_tS
LUNG_T08,2.5613644,0.053725787,1.4839329,1.250017,0.15211937,0.02184183,3.4687014,0.109177545,0.73067033,1.8523855,1.7189261,0.40584314,0.32115513,0.017874451,0.10768182,0.08264035,0.24077724,0.049819045,0.0,0.02184183,0.3001756,0.079651155,0.28055605,0.026802914,0.0,0.06838189,0.29496884,0.09237696,0.24164955,0.011915247,42,tLung,primary_tLung_tS
LUNG_T18,2.4336376,0.0012585631,0.42189932,1.6521015,0.007414217,0.012455458,1.368629,0.010468844,2.0540104,3.0450995,1.9798074,0.34716117,0.6506291,0.46601585,0.15897757,0.09612898,0.45803696,0.11180886,0.15438022,0.015471657,0.42198294,0.056638733,0.11384214,0.16796127,0.017458646,0.093594134,0.21608475,0.009571407,0.07222801,0.01750377,1002,tLung,primary_tLung_tS
LUNG_T19,1.5696722,0.0075652325,1.8285432,0.64308345,0.015234693,0.0064951153,2.114607,0.028677622,0.62713325,1.8167149,1.5344968,0.42934036,0.3894717,0.033664078,0.06820528,0.099477366,0.80597454,0.046690896,0.0,0.044877395,0.28230584,0.11599495,0.19230075,0.17783663,0.022963399,0.14738244,0.28211313,0.025642088,0.052844804,0.031150203,222,tLung,primary_tLung_tS
LUNG_T20,3.022529,0.011817396,1.3841136,2.1705127,0.018468237,0.022872228,2.140611,0.01376623,1.7000734,3.0422196,1.6246582,0.26774624,0.29621568,0.04466221,0.20273736,0.13049443,0.42424566,0.44443154,0.032076564,0.019953422,0.46980134,0.116973534,0.5741512,0.112240024,0.010170759,0.039897073,0.24414364,0.0061920616,0.051667016,0.010885679,434,tLung,primary_tLung_tS
LUNG_T25,2.296697,0.013416176,1.6155698,1.0173845,0.030097757,0.0035735068,2.3879228,0.01124716,0.8696469,1.6854898,1.4279861,0.37406218,0.1016877,0.04677159,0.115147546,0.11630781,0.60433924,0.081423745,0.0,0.01810775,0.26788056,0.18753731,0.15357184,0.08136245,0.0026057996,0.15151085,0.42700475,0.041885182,0.05531479,0.025147414,223,tLung,primary_tLung_tS
LUNG_T28,2.7089825,0.00020786216,0.5536182,2.3268054,0.014307326,0.00898921,1.5708313,0.009513684,0.703381,2.8757133,1.7333316,0.29841173,0.63951755,0.07159775,0.32419708,0.14587261,1.0490689,0.06691093,0.022807254,0.012726454,0.47078606,0.14656843,0.46583304,0.11199318,0.0078042597,0.052618098,0.2826605,0.0024467895,0.1198891,0.011816149,984,tLung,primary_tLung_tS
LUNG_T30,2.1317608,0.0020450263,1.4598048,1.3330424,0.019608364,0.015940873,3.4196115,0.018160569,0.5047653,2.1029992,1.2740666,0.30218694,0.12920037,0.002130499,0.022813393,0.2210725,0.21640968,0.047621284,0.0,0.016923262,0.40745807,0.09776198,0.358571,0.18411708,0.0016565021,0.078576796,0.42390895,0.03051582,0.29179415,0.020677194,784,tLung,primary_tLung_tS
LUNG_T31,1.9569732,0.007113793,0.4038996,2.0550425,0.026705898,0.007842912,1.8241498,0.016185053,1.4641489,3.55177,1.6301553,0.2692893,0.19115962,0.2403472,0.08788106,0.09271532,0.45798102,0.19726808,0.058477517,0.0015703659,0.6356779,0.12455786,0.3607821,0.22807886,0.0074547944,0.08744472,0.62080044,0.038708832,0.18880339,0.011427621,182,tLung,primary_tLung_tS
LUNG_T34,2.3688056,0.00045799557,1.2159528,1.5027117,0.16430527,0.0035673291,2.6679692,0.061404772,0.15232697,3.1203547,2.1045938,0.27404422,0.6506343,0.0028379073,0.2967785,0.08300155,0.35082635,0.06619888,0.0053403256,0.0051025013,0.3935826,0.060396165,0.25719655,0.017012117,0.009251323,0.050162718,0.30381352,0.005698567,0.12742339,0.0012373241,2374,tLung,primary_tLung_tS
