cohort,stratum,feature,purity_range,rho,lo,hi,p,n,q
LUAD,low_purity,module_CD47,0.09-0.35,0.25516304540083906,0.10971778069137288,0.38991023335291397,0.0007298168638860465,172,0.000912271079857558
LUAD,low_purity,module_Galectin,0.09-0.35,0.2934604962466658,0.15043180793423733,0.4244562793322659,9.344545853786185e-05,172,0.00015574243089643643
LUAD,low_purity,module_Nectin,0.09-0.35,0.38922416944363863,0.2544067384412581,0.5092019857988055,1.3131937268867134e-07,172,5.698371448217611e-07
LUAD,low_purity,module_TGFB,0.09-0.35,0.2523896109409159,0.10678817315093325,0.3873936537093898,0.0008372869686781586,172,0.0009661003484747985
LUAD,low_purity,module_TGFB_activity_FTBRS,0.09-0.35,0.2740676802909276,0.12975448801351866,0.40701061064209065,0.00027469398897258433,172,0.0004120409834588765
LUAD,mid_purity,module_CD47,0.36-0.53,0.3430155749363488,0.20210214515593555,0.4700147197189017,5.322410641275438e-06,168,1.5967231923826316e-05
LUAD,mid_purity,module_Galectin,0.36-0.53,0.5103689493371668,0.38902067596671397,0.614308164608703,1.5823689683351215e-12,168,2.3735534525026822e-11
LUAD,mid_purity,module_Nectin,0.36-0.53,0.33297816876812736,0.19120836964689134,0.46113909854259466,1.0328400521663158e-05,168,2.223771507361134e-05
LUAD,mid_purity,module_TGFB,0.36-0.53,0.39168155658252396,0.2554192582666231,0.5126867546816191,1.5195657195246962e-07,168,5.698371448217611e-07
LUAD,mid_purity,module_TGFB_activity_FTBRS,0.36-0.53,0.2712352134277515,0.12495712098193347,0.40597265365118534,0.00037616500790469933,168,0.0005129522835064082
LUAD,high_purity,module_CD47,0.54-1.00,0.32646215853112404,0.18718406088510534,0.4528733447669286,1.0377600367685292e-05,175,2.223771507361134e-05
LUAD,high_purity,module_Galectin,0.54-1.00,0.4449619346171071,0.3175814200135577,0.5565676730846382,6.853793748622301e-10,175,5.140345311466726e-09
LUAD,high_purity,module_Nectin,0.54-1.00,0.2934393193013883,0.15169963435857353,0.42335397091197874,8.109712450119714e-05,175,0.00015205710843974464
LUAD,high_purity,module_TGFB,0.54-1.00,0.24646215853112408,0.10184249316452415,0.380879944866087,0.0010094087741253626,175,0.0010815094008486028
LUAD,high_purity,module_TGFB_activity_FTBRS,0.54-1.00,0.1551321092700403,0.006948897342501718,0.29664852679770765,0.04037175909944234,175,0.04037175909944234
LUSC,low_purity,module_CD47,0.12-0.41,0.1410213665036242,-0.009698748579451041,0.285476179583913,0.06660864365054749,170,0.1665216091263687
LUSC,low_purity,module_Galectin,0.12-0.41,0.05831547193776297,-0.09301520341221396,0.20701270939487895,0.450024536611194,170,0.6136698226516283
LUSC,low_purity,module_Nectin,0.12-0.41,0.3777199699562167,0.24090150789881984,0.4998184255841032,3.815958975370981e-07,170,2.8619692315282358e-06
LUSC,low_purity,module_TGFB,0.12-0.41,0.05210642338529931,-0.09918571844292672,0.2010439362830198,0.4997832618130438,170,0.6247290772663047
LUSC,low_purity,module_TGFB_activity_FTBRS,0.12-0.41,0.024532092500656445,-0.12644906386795174,0.17440237612047307,0.750828391846024,170,0.8663404521300276
LUSC,mid_purity,module_CD47,0.42-0.58,0.0902685228849295,-0.069937233915104,0.24593493999237395,0.2687361804834902,152,0.44789363413915034
LUSC,mid_purity,module_Galectin,0.42-0.58,0.01790608191690758,-0.1416985545445771,0.1766033476200605,0.826684180443343,152,0.8857330504750104
LUSC,mid_purity,module_Nectin,0.42-0.58,0.411163280230182,0.26961061017012167,0.5353230808067017,1.4256028298918672e-07,152,2.1384042448378006e-06
LUSC,mid_purity,module_TGFB,0.42-0.58,-0.006021090904120449,-0.16506356920104254,0.15332658406254956,0.9413120659719835,152,0.9413120659719835
LUSC,mid_purity,module_TGFB_activity_FTBRS,0.42-0.58,-0.11356009814173142,-0.2679171665341393,0.04648092535706131,0.16361496496929936,152,0.3506034963627843
LUSC,high_purity,module_CD47,0.59-0.99,-0.17915856673146616,-0.3206107837599161,-0.029889805619864217,0.019046404684006733,171,0.057139214052020194
LUSC,high_purity,module_Galectin,0.59-0.99,0.07242182062543501,-0.07850380025398299,0.22010203901133749,0.3465363975731169,171,0.5198045963596754
LUSC,high_purity,module_Nectin,0.59-0.99,0.2694482444140447,0.12440643465732971,0.40321590665024915,0.0003655348536446319,171,0.0018276742682231594
LUSC,high_purity,module_TGFB,0.59-0.99,-0.09971440228478173,-0.2461040094552172,0.05112302307785013,0.19442221164785362,171,0.3645416468397255
LUSC,high_purity,module_TGFB_activity_FTBRS,0.59-0.99,-0.20003119975040198,-0.33990008492238155,-0.05150493369027257,0.008712672734019093,171,0.0326725227525716
