cohort,gene,n_tumor,n_with_purity,rho_naive,p_naive,rho_adj_purity,p_adj_purity,rho_adj_housekeeping,p_adj_housekeeping,rho_adj_purity_and_HK,p_adj_both,lo_adj_both,hi_adj_both
LUAD,CD47,528,515,0.3034137336533824,1.0482953312647346e-12,0.3040396187927277,1.8720043512051284e-12,0.2835359138222346,3.355244641522452e-11,0.28811848806342505,2.9035596802916298e-11,0.20670282720145292,0.3655715150940032
LUAD,SIRPA,528,515,0.10875752825674452,0.012399850284977542,0.1659557174875934,0.0001571082396772163,0.023466269424128113,0.590923789150016,0.08031539747484415,0.06912475283541814,-0.006299818517848426,0.16573445615123694
LUAD,THBS1,528,515,0.07144894057385136,0.10100992689112935,0.08494189602247859,0.05428482487267947,0.032079080964767755,0.46242275222451057,0.04974271696396374,0.26076036292525273,-0.036987977508456005,0.13572963803384175
LUAD,NECTIN4,528,515,0.4928038686329186,1.174986502693655e-33,0.4873603274250742,5.093816905157973e-32,0.4989745185004072,1.5860458589786004e-34,0.4924552963881039,1.0789935534979245e-32,0.42395830728735256,0.5553506929119013
LUAD,LGALS3,528,515,0.4331862220632341,1.457103063630628e-25,0.4437191281592874,3.307304857566441e-26,0.35919811397640894,1.7086046597825605e-17,0.37146911434753993,3.132858367557651e-18,0.2943640382915809,0.443769518403595
LUAD,TGFB1,528,515,0.2828965539505638,3.573054071692687e-11,0.3202378236937664,1.0112599472649315e-13,0.21868366874015294,3.9828246293470967e-07,0.2586977802222814,2.737560962191794e-09,0.176069592058778,0.3377059867740117
LUAD,TACSTD2_vs_purity,515,515,0.04193647362180809,0.3422162227475301,,,,,,,-0.04462824146970838,0.12787612991500472
LUAD,TACSTD2_vs_housekeeping_score,528,515,0.3212793723890168,3.835511207172314e-14,,,,,,,0.24259847873303078,0.39576125456577826
LUSC,CD47,501,493,0.007275329818450748,0.8709599202937112,0.005595910090913112,0.901466872674061,0.006350263477713939,0.8873626031666064,0.0036396138674777484,0.9358847977107837,-0.08487904945651223,0.0921012763844938
LUSC,SIRPA,501,493,-0.06082739844997017,0.17403268463274157,-0.06905117148646178,0.12612585095833578,-0.060838475057764164,0.17438653997273448,-0.07054929268084031,0.11846967687131778,-0.15805388815232096,0.01805474909315934
LUSC,THBS1,501,493,-0.0889785051411122,0.046526702957907465,-0.09329240151934202,0.03858596964768251,-0.08864907028564788,0.04756950805741545,-0.0937923976088599,0.03774758067996894,-0.18078325624180872,-0.005345437779007323
LUSC,NECTIN4,501,493,0.5233355440513395,1.4230006878837595e-36,0.5313962570591793,3.3331417116514247e-37,0.523981265667843,1.3238559193252702e-36,0.5313623847147317,3.987489655503132e-37,0.4647227704750987,0.5920165241986478
LUSC,LGALS3,501,493,0.2717945463654365,6.202339920523978e-10,0.27978299956156477,2.6723271979646103e-10,0.2719768126120044,6.277481695344306e-10,0.28032804749917467,2.564674744584803e-10,0.19671659145326362,0.3598916841870397
LUSC,TGFB1,501,493,0.1670283655795978,0.00017287322708940754,0.16798189324063562,0.00018171148106269083,0.1668889385785501,0.00017773088293971903,0.16785927296068012,0.0001865416108118851,0.08056466170021644,0.2525984784854734
LUSC,TACSTD2_vs_purity,493,493,0.005533614511546653,0.9024593092422653,,,,,,,-0.0828183464232164,0.0937992656447292
LUSC,TACSTD2_vs_housekeeping_score,501,493,0.007811723167211395,0.861538591567812,,,,,,,-0.07984586999167603,0.09534942492791515
