cell_type,rho,lo,hi,p,n,q
B lymphocytes,0.0303030303030303,-0.6109805248572749,0.647573889709366,0.9337729580941466,10,0.9337729580941466
Endothelial cells,-0.7939393939393938,-0.9491164837737645,-0.32855070148676263,0.006099923313696911,10,0.048799386509575285
Epithelial cells,0.04242424242424241,-0.6033175250476404,0.6545661521863676,0.9073638178128159,10,0.9337729580941466
Fibroblasts,-0.22424242424242422,-0.7482273125035894,0.4720291684010727,0.5334005612725947,10,0.9337729580941466
MAST cells,-0.38181818181818183,-0.8154161755273215,0.32623620589287905,0.2762553333854362,10,0.7366808890278298
Myeloid cells,-0.1515151515151515,-0.7131120431890168,0.5285320050850784,0.6760651759978539,10,0.9337729580941466
NK cells,-0.5636363636363636,-0.880714468316879,0.10229099272980098,0.0897240283170912,10,0.3588961132683648
T lymphocytes,0.10303030303030303,-0.563126334062507,0.688024076647253,0.7769984634438898,10,0.9337729580941466
