cell_type,gene,n_cells,n_samples,mean_log2tpm,pct_expr,median
B lymphocytes,TACSTD2,15128,27,0.0357544980943203,2.3334214701216287,0.0
B lymphocytes,CD226,15128,27,0.011308462359011173,0.8527234267583289,0.0
B lymphocytes,CD44,15128,27,1.018148422241211,45.91485986250661,0.0
B lymphocytes,CD47,15128,27,0.652918815612793,32.654680063458486,0.0
B lymphocytes,CD96,15128,27,0.05968714505434036,3.3447911158117396,0.0
B lymphocytes,HAVCR2,15128,27,0.013797814026474953,0.8659439450026442,0.0
B lymphocytes,JUNB,15128,27,2.7465856075286865,78.66869381279746,2.9583585262298584
B lymphocytes,LAG3,15128,27,0.017631886526942253,1.4939185616076152,0.0
B lymphocytes,LGALS1,15128,27,0.8543700575828552,36.38947646747753,0.0
B lymphocytes,LGALS3,15128,27,0.19271057844161987,12.301692226335273,0.0
B lymphocytes,LGALS3BP,15128,27,0.06530985981225967,4.151242728714966,0.0
B lymphocytes,LGALS8,15128,27,0.08604833483695984,4.884981491274458,0.0
B lymphocytes,LGALS9,15128,27,0.36438456177711487,17.62295081967213,0.0
B lymphocytes,LTBP1,15128,27,0.004434632137417793,0.3635642517186674,0.0
B lymphocytes,NECTIN1,15128,27,0.004641649778932333,0.3040719196192491,0.0
B lymphocytes,NECTIN3,15128,27,0.0022259207908064127,0.13881544156530937,0.0
B lymphocytes,NECTIN4,15128,27,0.002549209864810109,0.19830777366472768,0.0
B lymphocytes,PVR,15128,27,0.0018640183843672276,0.14542570068746694,0.0
B lymphocytes,SERPINE1,15128,27,0.0019540665671229362,0.1255949233209942,0.0
B lymphocytes,SIRPA,15128,27,0.021586155518889427,1.2823902696985723,0.0
B lymphocytes,SKIL,15128,27,0.4726831316947937,22.494711792702272,0.0
B lymphocytes,SMAD7,15128,27,0.05602055788040161,2.928344791115812,0.0
B lymphocytes,TGFB1,15128,27,0.30763164162635803,16.73056583818086,0.0
B lymphocytes,TGFB2,15128,27,0.003945401404052973,0.1850872554204125,0.0
B lymphocytes,TGFB3,15128,27,0.004049220588058233,0.22474881015335804,0.0
B lymphocytes,TGFBR1,15128,27,0.033158354461193085,1.963246959280804,0.0
B lymphocytes,TGFBR2,15128,27,0.1720188707113266,8.738762559492331,0.0
B lymphocytes,TGFBR3,15128,27,0.002362733706831932,0.1850872554204125,0.0
B lymphocytes,THBS1,15128,27,0.005644494201987982,0.4032258064516129,0.0
B lymphocytes,TIGIT,15128,27,0.033957358449697495,2.121893178212586,0.0
Endothelial cells,TACSTD2,655,11,0.2636483609676361,16.48854961832061,0.0
Endothelial cells,CD226,655,11,0.0019608468282967806,0.3053435114503817,0.0
Endothelial cells,CD44,655,11,0.15563690662384033,10.076335877862595,0.0
Endothelial cells,CD47,655,11,0.5065317153930664,30.68702290076336,0.0
