gse,n_samples,char_keys,source_names,titles
GSE117570,8,diagnosis;tnm status;Sex;race;smoking status;tissue,Adjacent normal;Tumor;tumor,P1_Tumor;P1_Normal;P2_Tumor;P2_Normal;P3_Tumor
GSE118933,18,cell type,Lung,IPF_invasive_1;IPF_invasive_3;IPF_invasive_4;IPF_invasive_5;IPF_invasive_6
GSE120028,19,cell type;age;Sex;cancer type;dose level;organ;agent,biopsy of bronchus metastasis of colorectal cancer;biopsy of esophagus with no cancer;biopsy of gastric cancer;biopsy of gastro-esophageal cancer;biopsy of liver metastasis of pancreatic cancer;biopsy of skin metastasis of colorectal cancer;biopsy of stomach with no cancer,post1_Bulk_0002 [3'SAGE-seq];pre_Bulk_0002 [3'SAGE-seq];post1_Bulk_0003 [3'SAGE-seq];pre_Bulk_0003 [3'SAGE-seq];post1_Bulk_0004 [3'SAGE-seq]
GSE124885,4,patient origin;cell type,BALF,T5_Expression;T5_TCR;B5_BCR;B5_Expression
GSE128822,10,cell type;tissue;marker,FACS sorted Tumor Infiltrating Regulatory T cells ICOS negative CCR8 negative;FACS sorted Tumor Infiltrating Regulatory T cells ICOS positive CCR8 positive,T111_CCR8minus_ICOSminus;T111_CCR8plus_ICOSplus;T124_CCR8minus_ICOSminus;T124_CCR8plus_ICOSplus;T140_CCR8minus_ICOSminus
GSE129968,12,cell line,human lung cancer H358 cells,H358_PD-L1_High_LibraryA_Replicate1;H358_PD-L1_High_LibraryA_Replicate2;H358_PD-L1_High_LibraryB_Replicate1;H358_PD-L1_High_LibraryB_Replicate2;H358_PD-L1_Low_LibraryA_Replicate1
GSE131933,8,tissue;sample type;treatment,NSCLC tumor,T1_D0;T1_D7_IsoCtrl;T1_D7_Durva;T1_D7_DT;T3_D0
GSE139327,28,tissue;cell type;disease state,Bronchoalveolar lavage cells;Peripheral blood mononuclear cells,HIV_Pos_1_106_BAL;HIV_Pos_2_1040_BAL;HIV_Pos_3_1009_BAL;HIV_Neg_1_1027_BAL;HIV_Neg_2_1043_BAL
GSE141479,74,diagnosis;tissue;cell type;treatment;individual,"Peripheral blood, CD8+ sorted",L10_1;L10_2;L11_1;L12_1;L12_2
GSE144945,10,diagnosis;egfr status,lung cancer,patient1;patient2;patient3;patient4;patient5
GSE145896,8,tissue;histology,Lung tumor,PD1_plus_CD28_minus_1;PD1_plus_CD28_plus_1;PD1_plus_CD28_minus_2;PD1_plus_CD28_plus_2;PD1_plus_CD28_minus_3
GSE146100,3,tissue;age;tumor stage;genotype,Lung cancer,Non-responded W1;Responded W2;Non-responded W3
GSE152590,8,tissue;cell type;disease,CD8+ T cell from PBMC of Patient 1;CD8+ T cell from PBMC of Patient 2;CD8+ T cell from PBMC of Patient 3;CD8+ T cell from PBMC of Patient 4;CD8+ T cell from PBMC of Patient 5;CD8+ T cell from PBMC of Patient 6;CD8+ T cell from PBMC of Patient 7;CD8+ T cell from PBMC of Patient 8,T_cell_Pt_1;T_cell_Pt_2;T_cell_Pt_3;T_cell_Pt_4;T_cell_Pt_5
GSE154286,133,patient id;treatment cohort;timepoint,NSCLC biopsy,NSCLC biopsy_Patient 1_Diagnosis;NSCLC biopsy_Patient 1_Progression;NSCLC biopsy_Patient 2_Diagnosis;NSCLC biopsy_Patient 3_Diagnosis;NSCLC biopsy_Patient 3_Progression
GSE159785,363,case number;patient id;roi;segment;covid-19 ish status;tissue structure;patient viral load;roi x coordinate;roi y coordinate;segment type;surface area;nuclei count;qc flag - low signal;negative normalization factor;hyb-code;assayed molecule;assayed molecule,FFPE Rapid Autopsy Tissue,A20-102 A40_ROI001-Seg1;A20-102 A40_ROI002-Seg1;A20-102 A40_ROI003-Seg1;A20-102 A40_ROI004-Seg1;A20-102 A40_ROI005-Seg1
GSE159787,363,case number;patient id;roi number;segment type;tissue substructure;sars-cov-2 rna ish;patient viral load;roi x coordinate;roi y coordinate;rawreads;trimmedreads;stitchedreads;alignedreads;deduplicatedreads;sequencingsaturation;note,FFPE Rapid Autopsy Tissue,A20-102 A40A20-102 A40_ROI001geometric;A20-102 A40A20-102 A40_ROI002geometric;A20-102 A40A20-102 A40_ROI003geometric;A20-102 A40A20-102 A40_ROI004geometric;A20-102 A40A20-102 A40_ROI005geometric
GSE162154,6,sample type,Primary Human small airway epithelial cells,HSAEC-COPD1;HSAEC-COPD2;HSAEC-COPD3;HSAEC-Never1;HSAEC-Never2
GSE168707,6,tissue;individual;Sex,cisplatin-resistant lung cancer samples;cisplatin-sensitive lung cancer samples,"sensitive, patient 1, miRNA;sensitive, patient 2, miRNA;sensitive, patient 3, miRNA;resistant, patient 1, miRNA;resistant, patient 2, miRNA"
GSE171650,30,cell line;drug resistance;treatment,PC9 erlotinib resistant cells,"siRNA control 1, PC9 erlotinib resistant cells;siRNA control 2, PC9 erlotinib resistant cells;siRNA control 3, PC9 erlotinib resistant cells;siRNA PDL1 1, PC9 erlotinib resistant cells;siRNA PDL1 2, PC9 erlotinib resistant cells"
GSE173351,212,patientid;cell type;type of antigen tested;gene epitope derived from;epitope tested;cells sequenced;culture condition,LN;adjacent normal lung;blood;brain metastases;peripheral blood;tumor,MD01-004_HIV;MD01-004_MP1_H1N1_1;MD01-004_MP1_H1N1_2;MD01-004_MP1_H1N1_3;MD01-004_MP1_H3N2_1
GSE173896,16,tissue;disease,Human Lung;Human lung from COPD patients;Human lung from Never smokers;Human lung from Non-COPD smokers,JK05;JK07;JK08;JK09;JK10
