accession,category,n_samples,n_suppl,n_processed_candidates,processed_names,processed_sizes,title
GSE120028,LUNG_ICI_other,19,2,0,,,"Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody  [3'SAGE-seq]"
GSE120101,LUNG_ICI_other,105,2,0,,,"T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]"
GSE124885,LUNG_ICI_other,4,6,4,GSE124885_B_5prime_raw_gene_expression.csv.gz;GSE124885_B_5rime_normalized_gene_expression.csv.gz;GSE124885_T_5prime_normalized_gene_expression.csv.gz;GSE124885_T_5prime_raw_gene_expression.csv.gz,14M;108M;114M;15M,"A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children"
GSE127825,LUNG_ICI_other,6,2,0,,,Noncoding regions are the main source of targetable tumor-specific antigens
GSE139327,LUNG_ICI_other,28,5,5,GSE139327_bal_pos_vs_neg_cd8_gene_exp.diff.gz;GSE139327_bulk_cells_gene_exp.diff.gz;GSE139327_hiv_neg_bal_vs_pbmcs_cd8_gene_exp.diff.gz;GSE139327_hiv_pos_bal_vs_pbmcs_cd8_gene_exp.diff.gz;GSE139327_pbmcs_pos_vs_neg_cd8_gene_exp.diff.gz,722K;5.7M;722K;736K;722K,Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection
GSE141479,LUNG_ICI_other,74,2,0,,,Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy
GSE148944,LUNG_ICI_other,67,1,0,,,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease
GSE150972,LUNG_ICI_other,1,2,0,,,Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1
GSE154286,LUNG_ICI_other,133,2,0,,,Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study
GSE159785,LUNG_ICI_other,363,4,2,GSE159785_analyzed_count_matrix.txt.gz;GSE159785_raw_calibrated_count_matrix.txt.gz,158K;79K,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [GeoMx human protein]
GSE159787,LUNG_ICI_other,363,7,3,GSE159787_analyzed_counts.txt.gz;GSE159787_collapsed_target_counts.txt.gz;GSE159787_raw_counts.txt.gz,3.6M;3.6M;4.1M,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [gene expression]
GSE168707,LUNG_ICI_other,6,2,1,GSE168707_non-normalized_data.txt.gz,1.4K,RT-PCR profiling analysis of microRNA expression in cisplatin-resistant cancer
GSE171650,LUNG_ICI_other,30,2,1,GSE171650_PC9ER_cells-_PD-L1_expression_in_wt_vs_ox_lung_cancer_cells_DEoutput_All.xlsx,2.7M,PD-L1 alteration in lung cancer affects tumorigenicity lung tumors
GSE173351,LUNG_ICI_other,212,2,0,,,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade
GSE180347,LUNG_ICI_other,144,2,0,,,Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape
GSE181820,LUNG_ICI_other,22,1,0,,,Highly Immunogenic Cancer Cells Require Activation of the WNT Pathway for Immunological Escape
GSE184053,LUNG_ICI_other,9,6,3,GSE184053_raw_gene_counts_1.txt.gz;GSE184053_raw_gene_counts_2.txt.gz;GSE184053_raw_gene_counts_3.txt.gz,418K;387K;376K,"CD8+ TILs in NSCLC differentiate into TEMRA via a bifurcated trajectory, deciphering immunogenicity of tumor-antigens"
GSE190265,LUNG_ICI_other,34,2,1,GSE190265_TPM_France3.csv.gz,3.9M,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]
