profile	panel	gene	entrez	n	rho_vs_CLDN4	p	q_bh	status
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFNB1	3456	300	0.0590583	0.307947	0.550571	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFNA1	3439	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	ISG15	9636	300	0.0645656	0.264934	0.509007	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	MX1	4599	300	0.0331768	0.567052	0.758848	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	MX2	4600	300	-0.0518064	0.371233	0.591965	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	OAS1	4938	300	0.0682643	0.238473	0.505914	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	OAS2	4939	300	-0.0250225	0.665988	0.798225	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	OAS3	4940	300	-0.0452521	0.434851	0.623979	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFIT1	3434	300	0.00530984	0.927027	0.928367	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFIT2	3433	300	0.0443387	0.444189	0.623979	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFIT3	3437	300	0.0106197	0.85466	0.900446	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	EIF2AK2	5610	300	-0.0762595	0.187752	0.481625	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IRF7	3665	300	0.0810156	0.161611	0.433411	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IRF9	10379	300	0.0743528	0.199061	0.489359	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	STAT1	6772	300	-0.0725137	0.210431	0.496618	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	STAT2	6773	300	-0.0310946	0.591644	0.758848	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	RSAD2	91543	300	0.0177264	0.759778	0.862055	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	BST2	684	300	0.189417	0.000977251	0.0115316	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFI44	10561	300	-0.0161984	0.779929	0.868223	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFI44L	10964	300	0.00521206	0.928367	0.928367	ok
ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	IFN_ISG	IFI6	2537	300	0.0578264	0.318164	0.552109	ok
