panel	gene	present_in_enriched_BioID_list
IFN_ISG	IFNB1	no
IFN_ISG	IFNA1	no
IFN_ISG	ISG15	no
IFN_ISG	MX1	no
IFN_ISG	OAS1	no
IFN_ISG	IFIT1	no
IFN_ISG	EIF2AK2	no
IFN_ISG	IRF7	no
IFN_ISG	STAT1	no
IFN_ISG	RSAD2	no
IFN_ISG	BST2	no
IFN_ISG	IFI44	no
IFN_ISG	RIGI	no
IFN_ISG	DDX58	no
IFN_ISG	IFIH1	no
STING	CGAS	no
STING	MB21D1	no
STING	STING1	no
STING	TMEM173	no
STING	TBK1	no
STING	IKBKE	no
STING	IRF3	no
STING	TREX1	no
STING	ENPP1	no
STING	RAB7A	yes
STING	RAB7	no
STING	BECN1	no
STING	MAP1LC3B	no
STING	ATG5	no
NHEJ	XRCC4	no
NHEJ	XRCC5	no
NHEJ	XRCC6	no
NHEJ	LIG4	no
NHEJ	PRKDC	no
NHEJ	NHEJ1	no
NHEJ	DCLRE1C	no
NHEJ	PAXX	no
NHEJ	TP53BP1	no
NHEJ	RIF1	no
NHEJ	SHLD2	no
NHEJ	FAM35A	no
