dataset	panel	gene	n_probes	rep1	rep2	rep3	mean_log_ratio_kd_over_oe	sd	t_p_n3	q_bh	status
GSE22493	anchor	CLDN4	1		-1.737	-0.7131	-1.22505	0.724007			ok
GSE22493	IFN_ISG	IFNB1	1		4.4919	-3.0589	0.7165	5.33922			ok
GSE22493	IFN_ISG	IFNA1	1	-0.9714	0.7991	0.4647	0.0974667	0.940645	0.874105	1	ok
GSE22493	IFN_ISG	ISG15	0								not_on_array
GSE22493	IFN_ISG	MX1	1	-0.074		0.7908	0.3584	0.611506			ok
GSE22493	IFN_ISG	MX2	0								not_on_array
GSE22493	IFN_ISG	OAS1	1	0.7398	-0.6897	0.6323	0.227467	0.796106	0.669701	1	ok
GSE22493	IFN_ISG	OAS2	1	-0.2863	2.8115	0.111	0.878733	1.68557	0.461848	1	ok
GSE22493	IFN_ISG	OAS3	1	1.2265	-0.3585	0.5753	0.4811	0.796688	0.405368	1	ok
GSE22493	IFN_ISG	IFIT1	1	-2.8365	-1.1203	-2.1203	-2.0257	0.862002	0.0553919	1	ok
GSE22493	IFN_ISG	IFIT2	1	-1.5146	1.6736	-1.3219	-0.387633	1.78768	0.743328	1	ok
GSE22493	IFN_ISG	IFIT3	1	-0.5995	-0.7859	1.3448	-0.0135333	1.18004	0.985955	1	ok
GSE22493	IFN_ISG	EIF2AK2	0								not_on_array
GSE22493	IFN_ISG	IRF7	2	-0.1419	0.5423	0.4182	0.272867	0.364519	0.32422	1	ok
GSE22493	IFN_ISG	IRF9	0								not_on_array
GSE22493	IFN_ISG	STAT1	3	0.111	0.8237	0.48235	0.47235	0.356455	0.148638	1	ok
GSE22493	IFN_ISG	STAT2	2	-0.70405	-0.0491	-0.6695	-0.474217	0.368567	0.155661	1	ok
GSE22493	IFN_ISG	RSAD2	0								not_on_array
GSE22493	IFN_ISG	BST2	1	-0.8625	0.9782	-0.811	-0.231767	1.04818	0.738607	1	ok
GSE22493	IFN_ISG	IFI44	1	-1.3585		-2	-1.67925	0.453609			ok
GSE22493	IFN_ISG	IFI44L	0								not_on_array
GSE22493	IFN_ISG	IFI6	0								not_on_array
GSE22493	IFN_ISG	IFITM1	0								not_on_array
GSE22493	IFN_ISG	CXCL10	1		6.5048	-0.454	3.0254	4.92061			ok
GSE22493	IFN_ISG	CCL5	1			-0.8625	-0.8625				ok
GSE22493	IFN_ISG	ISG20	1	-1.3959	3.3896	-3.6439	-0.550067	3.59223	0.815672	1	ok
GSE22493	IFN_ISG	USP18	1	2.3306	-3.6439	3.2095	0.632067	3.72908	0.796743	1	ok
GSE22493	IFN_ISG	OASL	1	-2.2515	0.84		-0.70575	2.18602			ok
GSE22493	IFN_ISG	RIGI	0								not_on_array
GSE22493	IFN_ISG	DDX58	1		-0.6439	-2.2515	-1.4477	1.13674			ok
GSE22493	IFN_ISG	IFIH1	1	-0.4941	-0.9714	-1.3219	-0.929133	0.415515	0.0606621	1	ok
GSE22493	IFN_ISG	MAVS	0								not_on_array
GSE22493	IFN_ISG	SOCS1	1	-0.4344		-1.5564	-0.9954	0.793374			ok
GSE22493	STING	CGAS	0								not_on_array
GSE22493	STING	MB21D1	0								not_on_array
GSE22493	STING	STING1	0								not_on_array
GSE22493	STING	TMEM173	0								not_on_array
GSE22493	STING	TBK1	0								not_on_array
GSE22493	STING	IKBKE	2	-0.1361	1.08735	0.77445	0.575233	0.635589	0.257506	1	ok
GSE22493	STING	IRF3	2	1.88065	-1.1844	2.4974	1.06455	1.97191	0.448468	1	ok
GSE22493	STING	TREX1	1	-0.5146		1.7093	0.59735	1.57253			ok
GSE22493	STING	ENPP1	1	-3.1844	0.7398	-1.7859	-1.41017	1.9889	0.344337	1	ok
GSE22493	STING	RAB7A	0								not_on_array
GSE22493	STING	BECN1	1	0.251	0.4751	-0.2515	0.1582	0.372083	0.538138	1	ok
GSE22493	STING	MAP1LC3B	1	-0.5778	1.0772	-2.2515	-0.584033	1.66436	0.60515	1	ok
GSE22493	STING	ATG5	0								not_on_array
GSE22493	STING	ULK1	1	0.189	-3.3219	-0.7131	-1.282	1.82328	0.347458	1	ok
GSE22493	NHEJ	XRCC4	1	-2.9434	0.263	2.4931	-0.0624333	2.73282	0.972031	1	ok
GSE22493	NHEJ	XRCC5	1	-1.1844	0.4222	-0.8365	-0.5329	0.845234	0.388827	1	ok
GSE22493	NHEJ	XRCC6	0								not_on_array
GSE22493	NHEJ	LIG4	1	-0.6439	2.4568	0	0.6043	1.6363	0.587886	1	ok
GSE22493	NHEJ	PRKDC	2	0.4343	-0.12885	0.7728	0.359417	0.455465	0.305051	1	ok
GSE22493	NHEJ	NHEJ1	0								not_on_array
GSE22493	NHEJ	DCLRE1C	2	-0.77145	-1.9784	-4.1904	-2.31342	1.73392	0.147044	1	ok
GSE22493	NHEJ	PAXX	0								not_on_array
GSE22493	NHEJ	C9orf142	0								not_on_array
GSE22493	NHEJ	TP53BP1	1	0.4436	-0.415	-1.0291	-0.3335	0.739725	0.516625	1	ok
GSE22493	NHEJ	POLL	1	1.6554	-0.0145	0.1506	0.597167	0.920167	0.377776	1	ok
GSE22493	NHEJ	POLM	2	-0.99	1.10205	-1.56395	-0.483967	1.40319	0.610873	1	ok
GSE22493	NHEJ	PNKP	1	-0.6215	0.1375	2.2357	0.5839	1.47998	0.564929	1	ok
GSE22493	NHEJ	APTX	3	1.4436	0.7312	-0.5995	0.5251	1.03703	0.472967	1	ok
GSE22493	NHEJ	RIF1	7	-0.38895	-0.0589	0.0795	-0.122783	0.24067	0.470104	1	ok
GSE22493	NHEJ	MAD2L2	1	-0.5353	3.211	0.0286	0.901433	2.01992	0.520394	1	ok
GSE22493	NHEJ	SHLD1	0								not_on_array
GSE22493	NHEJ	SHLD2	0								not_on_array
GSE22493	NHEJ	FAM35A	2	-2	0.4751		-0.76245	1.75016			ok
GSE22493	NHEJ	SHLD3	0								not_on_array
