profile	panel	gene	entrez	n	rho_vs_CLDN4	p	q_bh	status
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFNB1	3456	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFNA1	3439	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	ISG15	9636	104	0.159415	0.106001	0.358774	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	MX1	4599	104	0.162285	0.0997804	0.358774	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	MX2	4600	104	0.15103	0.125922	0.395755	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	OAS1	4938	104	0.101259	0.306405	0.539274	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	OAS2	4939	104	0.1949	0.0474083	0.33947	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	OAS3	4940	104	0.141844	0.150912	0.39617	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFIT1	3434	104	0.141107	0.153066	0.39617	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFIT2	3433	104	0.0743945	0.452924	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFIT3	3437	104	0.0764323	0.440607	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	EIF2AK2	5610	104	0.0756535	0.445292	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IRF7	3665	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IRF9	10379	104	-0.000816176	0.993439	0.993439	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	STAT1	6772	104	0.226779	0.0206131	0.226744	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	STAT2	6773	104	-0.07831	0.429428	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	RSAD2	91543	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	BST2	684	104	0.147466	0.13521	0.39617	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFI44	10561	101	0.170723	0.0878321	0.351328	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFI44L	10964	95	0.0322091	0.756668	0.88171	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFI6	2537	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFITM1	8519	104	0.176646	0.0728449	0.351328	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	CXCL10	3627	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	CCL5	6352	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	ISG20	3669	84	0.0336134	0.761477	0.88171	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	USP18	11274	99	0.0709462	0.485289	0.647053	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	OASL	8638	98	0.04665	0.648293	0.801788	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	RIGI	23586	104	0.214328	0.0289059	0.254372	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	DDX58		0				symbol_not_in_cbioportal
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	IFIH1	64135	104	0.168815	0.0866961	0.351328	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	MAVS	57506	104	0.13028	0.187449	0.414755	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	IFN_ISG	SOCS1	8651	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	CGAS	115004	86	-0.0881834	0.419443	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	MB21D1		0				symbol_not_in_cbioportal
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	STING1	340061	99	-0.118231	0.243801	0.466401	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	TMEM173		0				symbol_not_in_cbioportal
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	TBK1	29110	104	-0.267641	0.00601938	0.148564	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	IKBKE	9641	97	-0.264662	0.00880033	0.148564	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	IRF3	3661	101	0.0484451	0.630453	0.801788	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	TREX1	11277	95	-0.0244681	0.813927	0.895319	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	ENPP1	5167	101	0.0183227	0.855689	0.918301	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	RAB7A	7879	104	-0.00983677	0.921054	0.942474	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	BECN1	8678	104	-0.0980534	0.322049	0.545006	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	MAP1LC3B	81631	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	ATG5	9474	104	-0.0441909	0.656008	0.801788	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	STING	ULK1	8408	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	XRCC4	7518	104	-0.0121199	0.902812	0.942474	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	XRCC5	7520	104	0.128795	0.192568	0.414755	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	XRCC6	2547	104	0.123109	0.213118	0.426236	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	LIG4	3981	90	-0.0780096	0.46488	0.639211	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	PRKDC	5591	104	0.127265	0.197951	0.414755	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	NHEJ1	79840	104	0.106519	0.28183	0.516688	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	DCLRE1C	64421	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	PAXX	286257	104	0.0237865	0.81058	0.895319	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	C9orf142		0				symbol_not_in_cbioportal
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	TP53BP1	7158	104	-0.251126	0.0101294	0.148564	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	POLL	27343	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	POLM	27434	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	PNKP	11284	104	-0.183858	0.0617219	0.33947	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	APTX	54840	82	0.212994	0.0547013	0.33947	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	RIF1	55183	104	0.127323	0.197745	0.414755	ok
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	MAD2L2	10459	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	SHLD1	149840	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	SHLD2	54537	0				too_few_paired_samples
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	FAM35A		0				symbol_not_in_cbioportal
ov_tcga_pan_can_atlas_2018_protein_quantification	NHEJ	SHLD3	112441434	0				too_few_paired_samples
