gene	cytoband	mean_CLDN4_EXP_gt1	mean_CLDN4_EXP_lt1	value_CLDN4_EXP_gt1_second	value_CLDN4_EXP_lt1_second	log2_ratio	p_value	q_value	higher_expression_in
RPS6KA1	1p36.11	0.21	-0.09	0.39	0.29	0.3	4.73E-06	1.02E-03	CLDN4: EXP>1
ANXA1	9q21.13	0.35	-0.29	0.73	0.84	0.64	3.62E-05	3.91E-03	CLDN4: EXP>1
RAB25	1q22	0.39	-0.03	0.63	0.56	0.42	2.20E-04	0.0111	CLDN4: EXP>1
PRKCB_PS660		0.1	-0.31	0.58	0.59	0.41	2.58E-04	0.0111	CLDN4: EXP>1
STAT3_PY705		0.08	-0.13	0.35	0.28	0.22	3.84E-04	0.0138	CLDN4: EXP>1
RPS6_PS240_S244		0.1	-0.23	0.56	0.46	0.33	6.29E-04	0.0194	CLDN4: EXP>1
BRAF	7q34	0.1	-0.22	0.47	0.5	0.32	8.36E-04	0.0226	CLDN4: EXP>1
MTOR	1p36.22	0.13	-0.18	0.41	0.6	0.31	2.19E-03	0.0389	CLDN4: EXP>1
RPS6_PS235_S236		0.23	-0.22	0.82	0.73	0.45	2.31E-03	0.0389	CLDN4: EXP>1
MTOR_PS2448		0.17	-0.04	0.38	0.32	0.2	2.47E-03	0.0389	CLDN4: EXP>1
CDH1	16q22.1	0.09	-0.49	0.68	1.21	0.58	2.77E-03	0.0389	CLDN4: EXP>1
COL6A1	21q22.3	-0.12	0.31	0.56	0.58	-0.42	1.22E-04	8.77E-03	CLDN4: EXP<-1
YWHAE	17p13.3	-0.01	0.1	0.17	0.17	-0.11	1.01E-03	0.0241	CLDN4: EXP<-1
YAP1	11q22.1	-0.06	0.18	0.3	0.45	-0.24	1.46E-03	0.0314	CLDN4: EXP<-1
CDH2	18q12.1	-0.02	0.18	0.35	0.33	-0.2	2.54E-03	0.0389	CLDN4: EXP<-1
MS4A1	11q12.2	-0.01	0.09	0.15	0.19	-0.1	3.14E-03	0.0389	CLDN4: EXP<-1
CHEK1	11q24.2	-0.03	0.14	0.25	0.32	-0.16	3.22E-03	0.0389	CLDN4: EXP<-1
YAP1_PS127		-0.28	0.19	0.68	0.91	-0.46	3.24E-03	0.0389	CLDN4: EXP<-1
