symbol	intensity_control	intensity_CLDN4	average_ratio	log2_ratio	average_difference	n_experiments	source
ADD3	2.00	14.00	8.60	4.94	12	3	Heliyon 2022 PMC9552118 supplementary table 1
AHNAK	1688.00	3529.50	2.04	1.15	1842	4	Heliyon 2022 PMC9552118 supplementary table 1
AKAP12	58.75	224.50	3.39	2.09	166	4	Heliyon 2022 PMC9552118 supplementary table 1
AP1B1	1.00	30.25	30.25	8.08	29	4	Heliyon 2022 PMC9552118 supplementary table 1
ATP1A1	8.75	42.25	9.20	3.16	34	4	Heliyon 2022 PMC9552118 supplementary table 1
ATP2B1	1.00	17.00	17.00	5.77	16	3	Heliyon 2022 PMC9552118 supplementary table 1
BAIAP2	2.50	36.00	28.07	7.11	34	4	Heliyon 2022 PMC9552118 supplementary table 1
CPD	1.00	21.50	21.50	6.19	21	4	Heliyon 2022 PMC9552118 supplementary table 1
CTNND1	15.50	128.50	38.90	5.50	113	4	Heliyon 2022 PMC9552118 supplementary table 1
CXADR	1.00	23.75	23.75	8.29	23	4	Heliyon 2022 PMC9552118 supplementary table 1
DCBLD2	1.00	15.00	15.00	3.89	14	3	Heliyon 2022 PMC9552118 supplementary table 1
DLG1	6.00	22.50	6.79	3.03	17	3	Heliyon 2022 PMC9552118 supplementary table 1
DSC2	1.00	47.33	47.33	5.42	46	3	Heliyon 2022 PMC9552118 supplementary table 1
DSG2	6.00	67.75	14.18	6.19	62	3	Heliyon 2022 PMC9552118 supplementary table 1
EGFR	13.75	72.50	20.29	5.43	59	4	Heliyon 2022 PMC9552118 supplementary table 1
EHD1	7.00	18.75	9.47	5.02	12	4	Heliyon 2022 PMC9552118 supplementary table 1
EPB41L2	19.75	77.00	14.93	3.16	57	4	Heliyon 2022 PMC9552118 supplementary table 1
EPHA2	5.50	94.75	46.43	19.11	89	4	Heliyon 2022 PMC9552118 supplementary table 1
EPHB2	1.00	26.75	26.75	9.49	26	4	Heliyon 2022 PMC9552118 supplementary table 1
ERBIN	36.75	69.25	8.00	2.60	33	3	Heliyon 2022 PMC9552118 supplementary table 1
FERMT2	8.00	48.75	10.59	4.56	41	4	Heliyon 2022 PMC9552118 supplementary table 1
GMAP210	8.25	48.00	9.81	3.96	40	4	Heliyon 2022 PMC9552118 supplementary table 1
GOLGB1	22.50	83.50	3.47	2.12	61	4	Heliyon 2022 PMC9552118 supplementary table 1
IGF2R	8.00	29.00	8.97	6.03	21	3	Heliyon 2022 PMC9552118 supplementary table 1
IGSF3	1.00	22.50	22.50	6.04	22	4	Heliyon 2022 PMC9552118 supplementary table 1
ITGB1	2.00	80.50	35.30	12.10	79	4	Heliyon 2022 PMC9552118 supplementary table 1
ITGB5	1.00	35.50	35.50	7.07	35	4	Heliyon 2022 PMC9552118 supplementary table 1
JUP	12.75	30.00	4.73	3.89	17	3	Heliyon 2022 PMC9552118 supplementary table 1
KIRREL1	1.00	33.75	33.75	11.63	33	4	Heliyon 2022 PMC9552118 supplementary table 1
LEMD3	2.25	26.00	12.65	8.96	24	3	Heliyon 2022 PMC9552118 supplementary table 1
LNPEP	1.00	28.00	28.00	6.45	27	4	Heliyon 2022 PMC9552118 supplementary table 1
LSR	1.00	15.00	15.00	4.58	14	3	Heliyon 2022 PMC9552118 supplementary table 1
MARCKS	1.25	16.00	14.25	6.75	15	4	Heliyon 2022 PMC9552118 supplementary table 1
MARK3	1.00	19.75	19.75	7.20	19	4	Heliyon 2022 PMC9552118 supplementary table 1
MCAM	1.75	72.25	31.94	13.00	71	4	Heliyon 2022 PMC9552118 supplementary table 1
NOTCH1	1.00	15.25	15.25	6.02	14	3	Heliyon 2022 PMC9552118 supplementary table 1
NOTCH2	6.00	64.75	26.18	12.66	59	4	Heliyon 2022 PMC9552118 supplementary table 1
OCLN	1.00	15.75	15.75	4.93	15	3	Heliyon 2022 PMC9552118 supplementary table 1
PGRMC2	12.25	48.75	4.03	2.63	37	3	Heliyon 2022 PMC9552118 supplementary table 1
PHACTR4	11.50	33.00	8.57	2.95	22	3	Heliyon 2022 PMC9552118 supplementary table 1
PPFIBP1	12.00	49.50	8.11	3.62	38	3	Heliyon 2022 PMC9552118 supplementary table 1
RAB7A	3.00	40.25	22.04	9.03	37	4	Heliyon 2022 PMC9552118 supplementary table 1
SLC1A5	2.25	34.50	23.67	8.53	32	4	Heliyon 2022 PMC9552118 supplementary table 1
SLC20A2	1.00	12.50	12.50	5.72	12	3	Heliyon 2022 PMC9552118 supplementary table 1
SLC7A5	1.67	12.67	9.78	3.11	11	4	Heliyon 2022 PMC9552118 supplementary table 1
SLC39A10	1.00	23.75	11.08	7.14	12	3	Heliyon 2022 PMC9552118 supplementary table 1
SLC3A2	5.25	99.25	35.75	19.34	35	4	Heliyon 2022 PMC9552118 supplementary table 1
SLC4A7	4.00	58.00	28.26	6.44	81	3	Heliyon 2022 PMC9552118 supplementary table 1
SNAP23	4.00	33.75	33.45	4.12	30	4	Heliyon 2022 PMC9552118 supplementary table 1
SPTBN2	1.00	75.25	75.25	9.14	74	4	Heliyon 2022 PMC9552118 supplementary table 1
TMEM2	1.00	27.75	27.75	6.28	27	4	Heliyon 2022 PMC9552118 supplementary table 1
TRIP11	8.25	48.00	9.81	3.96	40	4	Heliyon 2022 PMC9552118 supplementary table 1
YES1	3.00	21.00	9.60	4.53	18	3	Heliyon 2022 PMC9552118 supplementary table 1
YKT6	3.25	60.50	19.65	7.72	57	4	Heliyon 2022 PMC9552118 supplementary table 1
