	probe_id
AMOT	209521_s_at
AMOTL1	225450_at
AMOTL2	203002_at
ANK3	206385_s_at
AOC1	203559_s_at
APC	203525_s_at
BVES	228783_at
CDH5	204677_at
CGN	223232_s_at
CLDN1	222549_at
CLDN10	205328_at
CLDN11	228335_at
CLDN12	223249_at
CLDN14	210689_at
CLDN15	219640_at
CLDN16	220332_at
CLDN17	221328_at
CLDN18	214135_at
CLDN19	1554804_a_at
CLDN2	223509_at
CLDN20	1554812_at
CLDN23	228707_at
CLDN3	203954_x_at
CLDN4	201428_at
CLDN5	204482_at
CLDN6	208474_at
CLDN7	202790_at
CLDN8	214598_at
CLDN9	214635_at
CLMP	226834_at
CRB3	232609_at
CXADR	203917_at
CYTH1	202880_s_at
CYTH3	225147_at
DDX58	222793_at
DLG1	202515_at
ECT2	219787_s_at
EPCAM	201839_s_at
EPPK1	232164_s_at
F11R	223000_s_at
FRMD4A	225163_at
FRMD4B	213056_at
IGSF5	243027_at
JAM2	219213_at
JAM3	212813_at
JAML	228094_at
MAGI2	209737_at
MARVELD2	235141_at
MARVELD3	239148_at
MICALL2	219332_at
MPP7	238778_at
MTDH	212251_at
OCLN	227492_at
PARD3	221526_x_at
PARD6A	205245_at
PARD6B	235165_at
PARD6G	227204_at
PATJ	223681_s_at
POF1B	219756_s_at
PRKCI	209678_s_at
RAB13	202252_at
RAP2B	213923_at
RAP2C	218669_at
RAPGEF2	203097_s_at
SH3BP1	213633_at
SHROOM2	204967_at
STRN	230734_x_at
TACSTD2	202286_s_at
TBCD	211052_s_at
TGFBR1	224793_s_at
TJP1	202011_at
TJP2	202085_at
TJP3	35148_at
UBN1	209088_s_at
VAPA	208780_x_at
WNK3	1555248_a_at
WNK4	229158_at
YBX3	201160_s_at
