gene	A006	A015	A021	A027	A028	A033	A037	A062	A063	A066	A068	A072	A074	A100	A101	A102	A103	A104	A110	A111	A112	A117	A120	A124	A126	A131	A134	A138	A143	A144	A148	A150	A153	A156	A157	A158	A159	A162	A163	A165	A168	A169	A177	A182	A183	A185	A186	A187	A188	A190	A191	A192	A193	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A204	A205	A206	A207	A208	A209	A210	A211	A212	A213	A214	A215	A216	A217	A218	A219	A220	A221	A222	A232	A233	A234	A239	A240	A241	A243	A247	A249	A250	A252	A255	A258	A259	A260	A261	A262	A263	A264	A265	A266	A267	A268	A269	A270	A271	A272	A273	A274	A275	A276	A277	A278	A279	A280	A281	A282	A283	A284	A285	A306	A307	A310	A315	A316	A320	A322	A323	A375	A377	A379	A380	A381	A425	A426	A428	A430	A432	A433	A434	A483	A486	A488	A490	A492	A493	A496	A499	A500	A503	A504	A508	A509	A510	A511	A512	A514	A517	A519	A521	A522	A524	A530	A532	A534	A537	A538
AMOT	-0.0956	-0.5872	0.0385	-0.0403	-0.0508	-0.747	-0.1964	-0.5687	0.3393	-1.0207	-1.1876	0.3915	0.6539	-0.8504	0.1592	1.1471	1.4971	0.529	-2.7477	0.4303	-0.0492	-1.8298	0.2908	0.2506	0.5126	-3.1499	1.2427	0.1633	-0.551	-0.9417	0.8722	-0.0048	-0.4729	-1.1492	0.8166	-2.5136	-0.7104	1.1755	-1.0858	-0.2454	0.1903	-1.04	-1.7762	0.2913	1.5092	0.027	0.6664	1.0852	-1.1268	-0.1839	-0.6077	-0.9453	-0.2664	-0.0877	-0.4853	-0.1599	-0.0404	-1.6224	0.3938	1.3177	-0.6292	2.2271	1.4853	-0.5141	-0.5628	0.0799	1.7997	-0.2948	-1.1708	0.1121	-0.0347	-0.8399	0.5001	-1.364	0.0865	-0.758	1.3865	-1.1407	1.394	2.8798	-0.3648	-0.1098	0.3233	-0.9111	-0.1201	0.6418	-1.9731	-1.2193	-0.2146	-2.0609	0.6314	1.0617	-0.0387	0.0254	0.4605	0.8639	0.7198	1.3386	1.9082	-0.2064	-1.093	0.5431	-1.5273	-0.5613	-0.3614	0.7103	0.4063	1.6726	0.7798	1.6206	0.8104	1.5839	1.2443	1.0525	-0.4776	1.4446	0.7354	-0.0447	1.1482	-0.706	1.0545	1.14	-0.5861	-0.5407	-0.457	0.5046	-0.1971	-1.0462	-0.235	-0.6639	0.6942	-0.8837	-1.1167	-0.1194	0.0673	1.2507	-0.3062	0.0658	0.8183	0.3998	1.4483	0.1754	-0.338	1.5129	1.1563	-0.2281	0.9923	-0.9041	-0.3074	-0.6887	-1.7188	-1.8999	-0.2924	-1.7978	0.7082	0.8249	1.237	-0.0939	0.0816	0.2973	0.5224	1.0477	-0.3205	0.2988	-0.2961	-1.4348	-0.2221	-1.3131	0.4783
AMOTL1	1.8513	-0.2258	-1.1827	-0.061	-0.8754	-0.8959	-0.8846	-1.6854	-2.0525	-0.7495	-2.1637	-0.5098	-1.3062	-0.2474	-0.5674	-1.5622	-1.0001	0.454	-0.6828	0.1351	-0.159	-0.419	-0.4905	-0.395	-0.5232	-0.4193	-1.1817	2.4861	-0.9687	-1.7454	-0.8884	-1.5683	-0.0175	-1.3575	-0.9211	-1.0537	0.1934	-0.5296	-1.193	-0.3568	-0.1282	-0.3761	-1.3642	0.279	-0.3484	-0.4181	-0.8096	-0.1246	-1.3283	0.0768	-0.8303	-0.6924	0.3269	1.5936	1.4555	0.4079	-0.0251	-0.5314	0.6619	-1.9448	-0.1842	0.1485	0.4741	-1.3939	0.9174	-0.7747	-0.8893	0.7023	0.5471	0.8657	2.2421	2.1422	0.8957	1.7105	2.3466	-0.853	1.2349	1.1489	0.2617	1.0698	2.427	0.919	-0.4316	0.5829	1.3661	0.6916	0.1423	0.3493	-0.6528	-0.8835	0.2905	0.1297	2.2737	0.661	1.384	-0.052	-1.5695	-0.2747	-2.422	0.0813	1.4663	0.7192	-0.3816	-0.0939	1.8696	-0.1864	1.6033	1.1271	-0.8245	0.1509	1.1272	0.2012	1.0263	0.3705	0.7621	1.1358	0.7801	0.9973	0.6808	1.8275	1.0461	-0.1086	-0.1951	-1.658	-0.6525	1.1428	-0.2073	0.1464	-0.5219	-0.4559	-0.2264	0.0951	-1.9189	0.9299	0.1974	0.6431	-0.0137	0.0264	0.2625	-0.6719	-1.8698	-0.7716	0.9793	-0.161	-1.1324	-0.9901	-0.1151	-0.4408	0.5354	-0.2243	-0.8596	-0.3425	-0.2128	0.3984	-1.0099	-0.2044	0.3701	1.3118	0.8346	0.1485	-0.3773	0.3265	1.2258	0.6519	0.8082	0.6968	0.6665	-0.6716	0.4263
AMOTL2	2.0339	-1.5255	-1.0234	-0.4241	-1.0474	-0.0703	-2.9629	-0.802	-1.5223	-0.0247	-0.7528	-0.2984	0.1265	-1.2599	-1.0109	-0.0651	-0.2847	0.3196	-1.3654	-0.9007	0.6144	-0.7368	-1.2804	0.1068	-0.1162	-0.6477	0.6299	2.2947	2.0539	-2.2279	-1.7428	-0.9007	-0.3141	0.497	-0.2021	-1.2559	-0.0892	0.3987	-1.1326	0.8194	-1.2154	-0.7043	-0.9315	0.0298	0.3951	-1.2743	0.1295	0.8983	-0.3805	-0.1141	-2.3167	0.685	-1.1254	0.5956	0.9536	-0.1103	-0.4111	-1.8102	0.7064	-1.2894	0.0598	0.964	-0.0607	-2.3406	-0.0108	-0.3779	-0.7435	1.1087	1.1921	0.5519	1.4311	2.2324	0.377	1.4524	1.8895	1.3123	0.921	0.5622	0.0964	2.3372	1.6975	0.4401	1.5359	-1.3532	1.1285	1.114	-1.1054	0.6576	-0.7849	-1.1379	0.8968	0.716	1.8289	0.1375	1.0545	0.1357	0.5224	-0.1379	-0.3587	-1.1199	-0.0121	0.1388	0.1788	0.228	1.8007	0.55	0.8132	1.408	1.0807	-0.2478	0.0907	0.804	-1.0315	1.9917	-0.1099	-0.0912	0.2195	0.3299	0.2243	0.7975	0.0428	0.1964	1.1482	0.3322	0.8784	0.3161	-0.4909	-0.5342	-1.3448	0.7301	1.3365	0.2147	-1.8096	1.3558	0.6634	0.5628	-0.046	0.2495	-0.9396	0.1542	-1.2689	0.3021	-0.0259	-0.5035	-1.7688	-1.9375	0.1267	-0.4992	-0.6319	-1.1678	-0.9286	-0.3658	0.4362	-0.3516	-0.5443	0.6061	0.3029	0.2833	0.927	0.1007	-0.4363	-1.0313	0.6461	-0.0347	0.797	-0.3492	0.473	-0.553	-0.2223
ANK3	0.6653	-0.2573	-0.0166	-0.4915	0.4279	-2.0388	0.0244	0.485	1.0768	0.1935	-1.2449	0.4255	-0.4834	1.5664	-0.0008	0.7276	-0.4895	0.7845	-1.9482	0.8222	1.8777	0.9587	0.0541	0.7118	0.8687	-0.6501	-0.8427	1.4864	-1.9377	1.2398	-0.3957	1.4172	0.2142	1.0278	0.2742	-0.9719	-0.8176	-0.7468	-1.0721	-0.8879	-1.7665	1.0855	-1.5448	-0.0516	-0.7084	1.2994	0.6816	-0.6987	0.5238	-1.9889	1.0961	-0.1089	-0.7082	0.0762	-0.9804	1.1381	0.6739	0.1857	-0.3278	-0.7481	-0.9508	0.9274	0.2439	2.2095	0.2661	-0.2213	-0.0161	1.1257	-1.2492	0.2754	0.6656	0.9452	1.393	-1.4403	0.1002	-1.2472	0.0425	-0.5828	-1.0042	0.8013	0.6063	0.0844	-0.6861	-0.6441	0.4647	0.1479	0.0494	-0.7306	-0.1173	-1.7238	-0.6469	-0.4196	-0.0285	0.349	0.1644	1.8338	0.7909	-0.2089	2.2378	1.0625	-0.0077	-0.5398	0.3744	1.56	0.2981	2.402	-0.1459	1.326	0.0069	0.5742	-0.3203	-0.6464	0.2558	1.0082	-0.2283	0.1382	1.8376	-0.351	0.5377	0.2624	0.9265	1.0507	0.6989	0.1213	0.5153	0.3969	0.6119	0.3697	-0.0358	-0.7785	0.4473	1.2098	0.3092	0.1972	1.9047	-0.5458	1.0637	0.1851	1.6205	-1.0155	-0.63	-1.3202	-1.286	-1.7013	-2.1218	-0.9893	-0.5963	-1.466	-1.6495	-1.845	-1.776	-0.1776	0.1992	-1.8018	0.4816	-0.4781	-2.0034	2.2968	-0.5928	-0.5963	-0.6697	-0.6926	-0.159	-1.3744	-0.5196	-1.1543	0.5417	1.4834	-1.0303
AOC1	-0.9977	0.0439	0.1878	0.5349	-0.41	1.2132	-0.9991	1.1298	-1.8987	-0.1251	-1.7318	-0.2387	-0.0266	-0.4299	-0.9186	0.443	0.9531	0.4301	1.6557	0.1469	-1.685	-0.7568	0.8993	0.8003	1.3783	-0.9958	-1.2312	-1.7738	-0.7324	2.127	0.7545	0.8163	-1.2778	0.517	-1.3516	1.5816	1.4505	0.1907	0.789	0.6006	0.3872	-0.2215	-0.1512	0.0242	-0.145	-1.4012	0.2976	-0.325	-0.387	1.9025	0.3898	-0.8165	-0.9854	-1.8342	-0.9479	0.8759	-1.7367	2.3557	-1.4486	-2.1845	1.6677	1.0561	1.2065	0.5831	0.8117	-0.7397	1.6764	-0.7509	-0.7516	0.8452	0.3748	-0.8045	-1.5997	-1.0716	-0.0485	-0.0734	-0.767	0.1133	1.5822	-0.3809	-0.9515	-0.5764	1.2792	0.2208	1.0424	-0.0683	-0.4467	1.2717	0.8466	-0.106	-0.699	-0.916	-0.6448	-0.0057	-0.5903	1.3831	2.472	-0.8675	1.3867	-0.4868	-0.1251	1.0717	-0.7235	-0.4875	-1.0541	-0.2513	0.2588	-0.903	-1.6512	-0.4576	0.4597	-0.2799	-0.3267	-0.1761	0.3233	-1.4852	-0.1819	-0.583	0.4053	-0.2068	0.4492	1.7808	-0.6543	0.1425	-1.0472	-0.9153	0.993	-0.3699	0.013	-0.6842	1.3729	-0.7142	-0.1356	-0.679	-0.9643	-0.0587	-0.5065	-2.1845	0.3458	0.0284	-0.6685	0.9675	0.1522	0.4159	1.5639	3.2462	1.4811	-0.6652	0.7982	-0.0885	1.0375	0.6597	1.9494	0.6249	-0.6213	0.3793	-0.6346	-1.4064	-0.5448	0.3385	-0.4804	0.1179	0.3871	0.6358	1.164	-0.4388	-0.7095	-0.0786	-0.6044
APC	1.1994	-0.6654	-0.6677	-0.9745	-0.8269	-1.2627	-0.8969	-0.77	-2.4604	-0.5094	-1.024	-1.6505	-0.8022	-0.0176	-1.0064	0.2122	-1.1302	0.6287	-1.2555	0.5551	0.8618	-0.4244	-0.0581	-0.3848	-0.202	-1.2427	-1.0831	1.9051	-0.4563	-0.3437	-1.8225	-1.0603	-0.3083	0.1679	-0.3935	-1.5198	-0.3738	-0.4505	-0.6646	-0.2967	0.827	-1.1009	-0.1192	-0.282	-0.1839	0.3326	0.2923	0.6542	-0.2725	-1.0331	0.2532	-0.3133	0.1509	0.9639	1.2776	0.636	-0.4874	0.54	0.2875	-0.9964	0.2398	-0.4111	1.4746	1.5449	0.6933	0.6027	-0.007	0.7401	0.7616	-0.3025	1.6866	1.2619	1.0481	-1.1341	1.4146	-1.2352	0.4661	0.6411	0.8809	0.344	2.1144	0.1214	0.5838	0.2031	1.1217	0.7447	-0.2665	-0.065	-0.9941	-1.3553	0.4448	-0.0397	1.6105	0.5833	0.6478	0.9808	0.2085	-0.4943	2.365	1.2446	0.7116	0.4151	0.344	0.2904	1.2831	1.3241	1.168	0.6286	-0.9345	1.9132	0.6652	0.0122	0.7301	1.6607	0.7159	0.3324	1.3077	0.8051	1.0463	1.045	1.469	0.9601	-0.5786	-0.2164	0.38	-0.0608	-0.0877	0.2001	-0.6505	-2.1512	0.8774	0.3741	0.4048	0.0577	-0.1539	0.2775	0.7035	0.0084	0.0336	-0.7185	-0.7258	-0.3333	-1.4619	-2.1607	-3.205	-3.0541	0.9223	-2.1719	-0.8872	-2.1079	-0.874	-0.8597	-0.168	-2.8727	-0.4944	0.4115	-0.02	0.4199	0.1751	0.0504	-0.0849	0.6199	0.6794	0.9034	0.9067	0.034	-0.9955	0.0069	0.334
BVES	1.7524	-1.2671	-0.5845	-0.6966	-1.0814	-1.2234	-1.1713	-1.1003	-3.062	-0.9099	-1.1282	-0.1317	-1.0675	0.2577	-0.1923	-1.2899	-0.519	0.1996	0.6218	-0.4664	-1.0366	-0.8025	-1.3003	0.1352	-0.6577	2.9029	-1.0382	1.8642	-1.6949	-3.4077	-0.1659	-0.8882	-0.0756	-0.5788	0.3653	-2.2196	0.5754	0.2381	0.1877	0.2273	0.0397	-0.2708	-1.0805	0.0145	1.9209	0.0489	-0.6057	0.1197	-0.0982	-0.0149	-0.9632	0.9443	0.6118	1.3649	1.5852	0.022	-0.7326	-0.2961	0.0334	-1.0298	0.485	-0.3092	0.2417	-2.1196	0.7036	-0.4946	-0.1268	0.9418	0.1863	0.8766	1.5205	1.2128	-0.572	0.7761	1.8532	0.2001	-0.3812	1.1062	0.8267	0.7255	2.2514	0.7844	-0.2936	1.5898	1.1375	0.2693	0.4358	0.0525	-0.1692	-0.2358	0.356	0.97	1.3239	0.5176	1.2409	-1.1668	-0.9904	-0.1128	0.0316	-0.7457	0.523	0.1543	-0.195	-0.6296	2.5512	-0.4856	1.4559	0.3944	-2.1441	-0.3459	0.1669	0.0063	0.8366	-0.331	1.0036	1.2638	-0.0629	0.8803	0.4109	1.2969	-0.0244	1.11	0.77	-0.6624	-0.677	1.052	0.0791	0.6983	-0.8765	-0.3839	-0.4926	0.1485	-1.4481	0.9543	0.2632	0.9834	-0.157	-1.0313	-0.2302	-0.3172	-0.3193	-0.207	-0.5884	-1.6379	-1.4429	-1.2309	0.7724	-1.5465	0.0136	-1.4053	-0.4712	-1.0136	0.6044	-0.4731	-1.0219	0.1527	0.5481	-1.1483	1.2655	0.9591	0.5724	0.5922	1.3846	0.92	0.4951	0.9982	0.1447	-0.3959	0.8886
CDH5	1.9292	-0.5745	-1.1437	0.0998	-1.5896	-0.6207	-0.9142	-1.1438	-2.3491	-0.7277	-0.6192	-0.5732	-1.1335	-1.1852	0.3442	-0.9503	-1.103	0.2228	-0.5946	-0.3343	-1.1287	-0.2946	-2.7322	-0.1444	-0.775	-2.9612	-0.4596	1.7086	-0.6655	-1.7463	-1.0135	-0.7766	-1.4583	-0.1006	-0.1305	-0.7613	1.3069	0.2805	-0.0177	0.3421	-0.5002	0.028	-0.9232	-0.5921	-1.4159	-0.6318	-1.1574	0.1476	0.028	-0.3729	-0.9243	-0.4554	-0.3882	1.2435	0.6004	0.037	-0.913	0.6636	1.3333	-0.7703	0.7589	-0.7528	-0.3018	-1.0335	1.0355	-0.3424	-0.7418	0.9906	0.3865	-0.4115	1.9397	1.8099	-0.8695	2.7184	2.4346	-0.4955	0.3523	1.3542	-0.5992	0.1254	2.3555	0.2957	-1.9045	-0.538	0.7043	0.8993	0.6982	0.66	-0.3067	0.7477	-0.1702	0.4681	2.3939	1.1951	1.3637	-0.3965	-0.8379	-0.2792	-1.3141	-0.41	1.7883	0.4302	0.2406	-0.6571	2.8394	-0.2015	1.7774	0.4402	-2.3723	-0.3485	0.7261	0.2178	0.0692	-0.5299	-0.003	0.5521	-0.0071	0.7405	-0.2739	1.6937	0.503	-0.0963	0.7244	0.3504	-0.2243	0.8317	0.1883	0.8466	-0.7704	0.51	0.2177	0.4731	-1.2824	1.2195	-0.7646	0.9911	0.0147	-0.2524	-0.9399	0.7873	-0.5733	0.2372	1.0213	-0.4721	-0.781	-0.7224	-0.1194	0.5575	1.0246	-0.6104	-0.3407	-0.4131	-0.3275	0.6749	-0.1836	0.2669	0.5968	-0.7899	0.7645	0.2557	0.3084	0.0864	1.6204	0.8683	1.018	1.286	-0.5684	-0.2696	0.6044
CGN	0.4828	0.016	1.7651	0.2521	0.3194	-1.7226	0.578	0.1367	0.4043	0.1056	-0.8589	0.9891	1.5943	-0.1802	-0.41	0.9978	0.1074	-0.0331	-0.0011	-2.9786	0.6046	0.2089	1.0267	0.7234	0.4691	-4.2123	0.5718	0.699	1.0654	0.3583	0.8371	1.0641	1.3157	-1.1164	0.0106	0.1609	0.0205	0.9381	0.4747	-0.2304	-0.4357	0.6516	-0.4291	-0.7254	-1.7734	0.062	-1.7224	-0.1064	-0.1554	0.326	0.4392	0.3467	-0.4717	-0.6662	-1.8376	-0.2904	-1.1384	1.5354	0.9903	0.4794	0.4275	-0.2195	-1.1926	-2.5856	0.0422	0.8663	0.0447	1.2037	-3.3659	0.5609	0.3904	0.5894	0.3719	0.0423	0.2785	1.9107	0.4293	-1.5083	0.5694	1.834	0.6813	1.548	-0.8772	-0.6251	-0.1249	1.0853	-0.3085	-0.1074	0.4807	-0.8946	0.6014	0.2795	1.0319	1.3143	0.2191	0.4638	1.3732	0.4717	-1.8953	-1.3406	-1.3263	0.5	-0.4662	-1.0708	-0.1024	1.5754	-0.3204	0.8115	-0.6253	1.2167	-0.0625	1.0274	0.1271	1.7745	-0.9924	0.0893	0.5822	-0.5897	-0.3683	0.2253	-0.9111	0.1916	-0.206	0.9255	-0.343	0.2173	-0.3946	0.6427	-0.7689	0.6255	0.0174	-0.2019	0.7469	1.0698	0.3289	0.6194	0.9942	0.1703	0.3278	-0.2756	0.7119	-0.868	1.5006	-1.0785	-1.5773	0.6584	-0.2747	-0.3855	-2.198	-1.7941	-2.9036	-0.732	0.3474	-1.2969	-0.2177	-0.0514	0.0817	0.519	-0.3358	-0.8985	0.0975	0.2144	0.0575	-0.2446	0.086	-1.2083	0.0518	1.0461	-0.787
CLDN1	-0.9539	1.4895	0.4104	-0.2486	0.4704	0.5703	0.0497	1.3685	0.7381	0.3574	0.3853	0.834	1.5097	-0.126	-0.9141	0.0687	-0.2329	0.3642	-1.1537	-1.1615	0.6901	-0.2847	-0.0928	0.9207	1.4689	4.0131	1.5669	-2.5323	-0.9513	0.5563	-0.2251	-0.0631	0.1768	0.3625	0.9545	0.0157	0.4644	1.3097	1.3177	0.3708	1.257	0.7766	1.2375	0.9088	-0.1288	0.8786	0.6265	-0.4045	-0.2879	0.8668	0.064	0.8405	0.6166	1.2325	-1.1125	-0.3728	-1.0114	-0.4169	-0.0119	-2.4832	-1.5038	1.3928	1.4469	-0.8874	1.3015	0.0357	-0.0175	0.0796	-2.8455	-0.2262	-0.6302	-0.844	-0.4974	-1.5471	-1.4056	-0.5931	0.8632	-0.5029	0.6172	-0.6942	-0.5208	0.1957	-1.4573	0.6824	0.2912	0.6951	-0.8075	1.0299	-0.3456	-0.7254	0.9221	0.7058	-1.4585	-0.0894	-0.891	0.3193	0.8712	-0.2642	-0.7826	-0.4544	-1.4279	0.9032	-0.5816	0.1901	-1.6258	-2.9583	-0.6355	-1.0646	0.9736	0.7941	0.4354	1.5563	0.6386	-1.2964	0.4249	0.4958	0.5988	-1.3554	-0.5287	0.6837	-1.0387	-0.7043	-0.1662	0.5724	-0.1883	0.6869	0.8205	-2.0715	0.0204	0.5463	0.0075	-0.6562	0.2707	-0.1232	0.4372	-0.0711	0.3346	-0.4337	1.7996	-2.2	-0.4322	0.2903	-0.3394	-0.6892	0.2237	-1.3082	1.0563	-1.0751	-0.052	0.1515	-1.9397	2.0027	0.6923	-1.1335	-0.0805	1.122	0.6952	0.1857	0.5241	-0.7151	-0.3096	0.5299	-0.4927	0.4098	-0.3469	-2.1922	-0.4185	0.6117	0.5689
