	11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
IGSF5	2.17	0.9448	2.0106	1.9021	2.0601	3.3815	5.3286	0.0	1.9731	5.3966	0.0	0.0	1.5811	3.3725	2.1133	2.0181	0.0	1.4336	0.9517	2.0408	3.0565	2.1558	1.3946	1.0059	2.2027	2.0449	0.0	0.854	1.861	2.0527	1.8178	1.4349	2.984	2.2801	1.4084	0.8188	3.9558	3.6115	0.7275	1.5037	3.0373	3.7004	2.5747	0.8231	1.8322	1.483	1.6397	3.0103	2.7594	2.3119	2.9237	0.0	1.376	3.7782	2.1095	0.0	3.8667	4.6483	1.9213	0.0	1.3154	2.6264	1.9956	0.0	4.3656	3.5266	5.537	1.2207	2.5823	2.7594	1.4447	1.034	1.1434	1.5151	3.3804	2.5581	2.344	1.5945	1.9639	2.6493	1.8773	2.5664	2.7176	1.5023	1.3516	4.9117	1.8756	0.0	2.433	2.3055	2.3119	4.5657	2.7361	2.1869	4.6686	0.0	2.0016	1.4701	2.4903	1.6349	0.8811	1.5878	1.7189	0.0	1.4447	1.3455	3.0038	1.6982	4.266	3.4152
JAM2	8.3627	7.5733	8.0228	7.6425	8.8013	8.3225	7.321	8.7706	7.8706	7.7625	8.872	7.6432	8.4618	8.5823	8.5572	8.3725	9.6619	7.4652	7.4322	7.4233	8.1721	8.0123	7.513	8.3717	7.8638	9.0118	8.9519	7.7928	8.872	8.8404	8.4222	7.8327	7.1318	7.9628	8.5624	7.7031	9.682	8.2826	7.7337	7.9835	7.6505	7.3123	8.1424	6.5052	7.6126	7.8422	8.5276	7.2816	8.2524	7.2435	8.1513	7.2232	7.4432	7.923	7.3231	8.6524	8.2923	7.2143	7.8533	8.1128	8.0728	8.0333	6.8845	7.7725	7.6512	9.7417	8.7921	8.3606	8.9723	7.8826	7.113	7.9726	6.9758	8.3624	7.5735	7.1934	7.483	8.1016	8.4118	7.6632	8.4627	8.0225	8.162	7.8521	8.0427	8.0417	7.9922	7.8128	7.4925	7.4742	7.7329	6.3574	8.3128	7.4025	6.8352	7.7132	6.5272	8.502	8.4319	7.6113	7.9825	7.5417	8.2126	7.7031	8.2922	7.3036	8.1122	7.6226	7.1248	8.4025
JAM3	9.4121	8.3126	9.0122	9.2019	9.8116	10.0818	8.2214	10.7218	9.8894	10.9317	10.0418	7.9229	9.0417	9.8518	9.8368	9.492	10.2717	6.8359	6.6126	8.8922	8.9519	9.4719	9.8118	9.2117	10.2618	9.9317	10.2217	9.5319	9.1319	10.0715	9.2219	9.3619	10.2117	9.1021	9.9018	8.6024	11.0916	9.542	9.3122	8.7926	9.6115	11.0617	9.242	8.1527	9.4619	9.9918	8.7374	7.9017	9.232	8.1026	8.8915	8.5322	8.2325	9.0621	8.6022	9.7019	9.142	8.053	8.7524	9.7519	9.1521	8.6526	8.0229	9.0819	10.9017	11.0917	9.5019	9.0311	10.2718	8.5522	8.872	9.4019	8.7327	9.342	8.7824	8.2824	8.8921	9.3417	9.5017	8.8522	9.3521	9.242	9.0818	9.0518	9.1421	9.1517	9.3918	8.8022	8.1722	9.0223	8.9321	7.3957	9.9219	9.0219	7.5737	8.3826	8.383	9.0719	9.7818	8.7816	8.952	8.1617	9.5819	8.7623	9.2719	8.4524	8.902	7.7625	8.6725	9.522
JAML	8.1629	9.1321	8.4225	10.2417	8.9514	10.3417	8.9515	11.0218	10.2993	9.1219	10.1018	9.232	9.4717	10.7017	9.6468	10.1818	10.7517	9.0944	8.152	9.0521	10.1417	9.8218	10.1618	10.2317	9.1224	10.3117	11.3117	8.9421	8.4221	8.9205	9.7618	9.7618	9.0717	9.8019	9.8119	8.6523	10.4517	9.7319	9.4921	8.8226	8.8113	6.5828	8.3523	9.5819	8.4022	10.2317	9.2571	8.2217	10.3717	9.0221	8.1613	6.8137	9.102	8.7123	9.8218	8.5525	9.142	8.103	9.612	8.7623	8.9722	9.552	7.7931	9.5119	9.4016	10.3117	9.172	8.5007	9.462	8.8421	8.862	9.4919	9.4222	9.072	8.5525	9.222	8.4523	9.8717	8.8318	8.7723	9.8819	10.1318	9.9817	9.9018	9.252	8.1617	9.3718	9.7918	10.0418	10.1018	10.3517	8.3049	9.8019	7.7923	6.576	9.362	9.2722	9.9917	9.5418	9.0816	9.8518	10.0717	9.9018	9.332	9.1419	8.9921	8.9919	10.0418	8.5626	9.2521
MAGI2	9.2821	9.1221	8.6623	8.6321	10.3017	9.382	9.6316	11.2719	8.8098	8.922	9.1919	8.3625	9.1917	9.452	9.6268	8.9922	9.7419	8.6246	9.6218	9.302	9.9717	8.4022	9.032	9.1517	9.0025	8.9218	9.9418	9.082	9.3419	9.8614	8.3922	8.3324	9.0717	8.5823	8.9122	9.432	10.1718	8.3226	8.8724	9.3422	9.0614	10.2817	8.8921	8.4325	8.892	9.1419	9.9069	8.1617	9.3319	9.8718	9.6316	8.5122	8.4224	8.7223	9.202	9.522	9.2319	8.3927	8.4926	9.2921	8.9822	10.0019	7.853	8.6721	9.0516	9.1218	9.2919	8.7009	9.592	9.152	8.3122	8.8321	7.9936	9.4619	8.4726	8.8721	8.8121	9.0617	8.6518	8.0228	8.8924	8.8221	9.1418	9.3618	8.2326	9.2517	8.8419	8.6622	7.6224	8.6726	8.3224	8.9846	9.2921	8.482	8.7324	8.3026	8.8825	10.0917	9.5718	9.0016	8.922	8.3317	9.5719	8.4824	9.6518	8.7123	10.4217	10.5717	8.9823	9.1921
MARVELD2	10.2518	9.2221	10.1118	10.0218	11.5518	9.9218	9.8117	10.2816	10.3792	10.6717	9.3419	10.3217	10.3917	9.7519	9.7968	10.8717	9.9418	10.7942	11.1717	11.0316	10.9617	9.3619	9.9518	11.1817	10.5717	9.8917	8.652	9.7918	10.8217	10.0915	10.8717	10.8717	9.9317	10.7017	10.2318	10.3517	9.622	10.6017	10.7017	10.4017	10.8717	10.6917	10.7017	9.272	10.9217	10.3517	10.8466	10.1317	9.102	10.4217	10.8617	10.3617	10.8117	10.2218	10.8917	9.422	11.0117	9.592	10.8517	10.0718	10.3118	11.4615	9.9418	10.4417	9.6516	9.0818	10.6917	10.5717	9.6519	10.2817	10.7917	9.7918	9.732	10.2618	10.1818	10.2917	10.3917	10.6617	10.2417	10.3217	10.2518	10.4517	10.0717	10.7217	10.0418	10.1417	11.5717	11.3416	9.6118	11.2916	10.4117	9.8243	10.1918	10.0218	10.8117	11.1116	9.8519	10.6617	10.5717	10.5617	9.4119	9.1517	10.5317	10.2418	11.0717	10.8617	10.2917	10.5417	9.9419	10.9616
MARVELD3	8.1729	9.2421	8.5924	8.5821	8.281	8.2625	7.9413	8.8206	8.53	9.1919	7.8424	8.4425	8.2118	8.0627	8.6671	8.7023	8.5823	9.1744	8.9718	9.392	8.9719	8.4621	8.9621	8.4017	8.8426	7.8021	7.0028	9.132	8.4921	8.9706	7.9025	9.7918	9.5017	8.9422	8.3026	8.7023	8.2631	9.462	9.0623	8.373	7.1999	9.3818	7.6828	9.6719	9.5019	7.6423	8.5975	9.3617	7.2332	8.8122	9.2416	9.002	9.332	9.9118	10.3717	8.2128	8.6721	8.9523	8.8424	9.362	9.342	9.2422	9.382	7.4727	9.4716	8.3818	9.112	9.1112	7.4238	9.142	8.0623	8.3524	8.8426	8.4024	9.0922	7.8627	9.102	8.1116	8.4418	8.3326	8.8724	8.8021	8.6019	8.9119	8.2625	9.3517	8.3121	7.9327	8.2921	8.4628	8.6622	9.7943	8.3927	8.752	8.8424	9.472	8.4329	8.6619	7.2823	9.5917	8.1024	7.8817	8.8022	8.1926	8.3222	9.0921	8.2022	9.1819	9.3321	8.6923
MICALL2	10.1618	10.0918	9.5219	9.8618	10.0716	9.4519	8.9315	10.5517	9.8094	8.7721	10.5217	9.482	9.7817	10.2318	9.8068	9.6719	9.142	9.8143	9.9317	9.7019	9.3918	9.5718	10.4917	10.0617	8.8326	9.4118	9.6318	8.8221	8.5421	9.0707	9.5619	10.2018	9.8617	9.8019	9.562	10.2218	9.5321	10.7117	11.3016	10.1518	10.0716	8.8519	10.9117	9.0721	8.3322	9.4118	10.1168	9.6517	9.3319	9.8918	10.3317	8.5022	10.6817	9.8219	10.1718	9.7619	10.6417	9.0922	9.2421	9.1521	10.8417	10.0219	9.9418	8.922	8.9515	8.8618	10.6817	9.4213	9.7219	9.4019	9.5018	9.0221	9.5321	10.2118	9.9618	9.5519	9.112	9.5617	8.0719	10.0718	10.2218	10.6017	9.6718	9.6318	9.212	8.7317	10.0318	10.0218	9.7318	9.7719	10.9217	8.8946	10.2418	9.7218	9.7519	9.1721	10.1818	10.1817	10.4517	10.7517	9.6118	9.8517	10.4317	10.7017	10.3217	10.5917	10.8217	9.3419	10.3218	9.1321
MPP7	8.133	8.9722	8.7123	8.782	8.8113	8.2925	8.2714	9.0709	8.3102	7.9624	7.4127	7.1239	8.9717	7.9728	8.1074	8.0228	7.613	7.1156	9.0718	8.1226	7.8522	8.2622	8.3423	7.7617	8.1134	6.8625	7.9322	8.9721	7.2527	7.6381	8.2323	7.7028	7.6118	7.4134	7.4037	8.6124	6.8061	7.184	7.8236	9.8619	8.4611	8.6119	8.5222	8.9222	7.4728	8.1021	7.4988	8.4017	8.2024	8.6822	7.8712	8.8621	7.603	8.3726	8.0824	8.2028	8.8021	9.6619	7.9332	8.2527	8.0528	9.8219	8.0129	7.8225	9.5416	6.9121	7.3131	8.4206	7.8432	8.1624	8.4321	8.4623	9.1323	7.6429	8.3427	9.192	7.7727	8.7717	7.5819	8.7023	9.2722	8.3923	8.132	8.462	8.2825	8.4517	7.9922	7.1536	8.9519	7.9434	8.4923	9.3344	7.8932	7.1527	10.3118	9.2321	9.1223	7.4724	7.6921	8.5315	8.4222	8.9117	7.6532	10.0618	9.6418	8.5923	7.1928	6.7735	9.602	8.4125
MTDH	13.8315	12.2115	12.7315	12.3616	12.9919	12.8915	13.0318	12.322	12.409	12.4616	12.4416	12.2216	12.1617	12.4416	12.3966	12.1816	12.5316	12.7441	11.8217	13.4615	12.8116	12.7716	12.6416	13.7917	13.2314	12.3017	12.6116	12.8016	12.6216	11.9721	12.7716	12.0616	12.9217	12.7415	12.5915	12.5215	12.5714	12.3915	11.8515	12.1415	12.8019	11.8017	11.8816	12.8415	13.1316	12.6216	12.5565	12.0717	12.6816	13.0715	12.9318	13.0316	12.4016	12.5015	12.4516	12.8015	12.3016	12.6415	12.8715	12.6715	12.9015	12.4515	13.0815	12.9916	12.8318	12.6517	12.4916	13.312	12.5615	12.5916	13.3316	12.7416	12.0515	12.7516	13.0915	13.1716	12.7616	12.3517	13.6417	12.5515	12.4715	12.5316	12.7117	12.1017	12.3316	12.1017	12.4616	12.6316	12.9416	12.6915	12.3516	13.214	12.3515	12.4916	12.5415	12.2615	12.8914	11.9717	12.6917	12.1117	12.8316	13.6117	12.2915	13.4515	12.0316	13.1315	12.9616	12.5816	12.4315	12.4315
OCLN	11.8615	11.0616	12.1416	12.5616	13.2319	11.5916	11.0817	10.7218	12.669	12.4416	11.3917	11.9916	12.1317	11.5616	11.5966	13.1615	11.5416	12.6241	13.4817	12.9715	13.4116	10.0418	11.4516	13.6517	12.0015	12.3017	10.2117	11.7116	12.1916	11.0619	13.3116	12.8516	11.3517	12.8915	12.2015	12.0416	11.4915	12.5015	12.4615	11.3216	13.0919	10.5617	12.6616	10.0018	12.1716	13.2616	12.6665	12.2217	10.5517	11.6816	11.9618	10.8617	12.3016	10.8217	12.4816	10.7317	12.6216	10.5217	13.2115	11.4716	11.7216	13.0514	11.6316	12.9116	10.9617	10.9817	12.9816	12.2919	11.5916	11.1017	13.5116	11.7316	12.0415	11.8616	11.2316	11.4616	11.8016	12.5717	12.0217	12.3815	12.2315	11.7816	11.7817	13.1016	11.9616	11.0817	13.5516	14.1315	12.0416	13.0514	12.0616	10.6342	11.8615	11.5817	11.6516	12.7415	10.6717	12.7716	12.5017	12.4117	10.7617	10.4917	12.8315	11.3716	13.0116	12.2516	11.9216	12.4016	10.7717	12.8615
PALS1	11.8615	10.8717	10.8417	10.6617	11.0518	10.9217	11.4617	9.4812	10.6392	10.6317	10.4917	11.1816	10.6317	10.6717	10.7867	11.2616	11.1116	11.0542	11.1817	10.6917	11.0617	10.4417	10.1518	11.2317	11.1016	10.9317	10.4217	11.0617	11.2217	11.1719	11.2317	10.7217	10.6317	10.8517	10.6617	10.9916	10.7717	10.4917	10.7717	10.6817	11.2218	10.6317	11.6116	11.4816	11.0017	11.0317	11.2166	11.6717	10.5417	10.7817	10.5817	10.7017	11.0717	10.8917	10.6317	10.5217	10.8217	10.1618	10.7317	10.7617	11.7716	11.0816	10.8117	11.6216	10.6717	10.7217	10.6117	10.8718	11.2916	10.3817	10.7117	10.3817	10.2718	10.9717	10.3018	11.0517	11.2216	11.3917	10.8117	10.4417	10.9216	10.7317	10.6817	10.8817	10.7317	11.3717	11.3617	10.9817	10.8117	10.9816	10.7817	10.2942	10.8916	10.2817	11.4516	10.8217	11.0116	10.9817	11.0917	11.0117	10.8217	10.2317	10.9117	10.8717	11.0017	10.9017	10.7417	11.3816	10.0918	11.3616
PARD3	11.6916	10.3417	11.5416	11.3517	11.2418	11.0516	11.5818	10.5317	11.5391	11.1117	11.9616	10.9317	11.2617	11.0117	11.0667	11.6016	11.3316	10.8142	11.6917	11.4416	11.0417	10.8617	11.0017	11.4417	12.1914	10.9917	10.3917	11.4116	12.0716	12.0721	11.8116	11.4716	11.7817	11.1616	11.2716	12.0416	10.9616	11.4116	11.1016	11.5215	12.7219	10.9917	11.1916	12.2416	11.5316	11.3417	11.0266	11.4817	10.8617	12.2416	11.4017	10.8917	12.0316	12.8415	11.2116	11.7916	10.5517	11.4516	10.8517	11.5416	11.0716	11.4216	11.6916	12.3016	10.9617	10.7617	11.3916	11.1518	10.9716	11.3516	11.0017	11.8816	12.1515	10.8717	11.7916	13.1016	11.3816	11.9217	11.4017	11.4516	10.6217	11.8316	12.0617	11.2317	11.6516	11.3417	10.9517	11.2616	11.2217	11.7615	11.0117	12.3241	10.7817	11.5817	11.2116	10.3018	11.5815	11.3417	11.7417	11.6717	11.2217	10.9717	11.1116	11.7616	11.4216	11.5316	11.7916	11.3516	10.5417	10.5417
PARD6A	5.9583	6.4754	6.2361	7.2128	7.09	5.0509	5.9297	5.7595	6.1744	7.203	6.5536	4.9426	6.0821	5.8769	6.2198	6.7147	6.2353	7.0756	6.4128	6.4252	6.0834	6.0645	6.4246	5.3714	6.1793	5.7834	6.0339	6.3549	6.194	5.8982	6.0051	7.2233	6.4719	6.1561	6.4956	6.7147	6.2583	6.2861	6.9055	6.6768	5.5458	9.2718	5.3976	5.4093	7.7925	6.3733	5.6151	5.6515	5.9556	4.8517	7.8912	7.2232	7.6529	7.4935	4.9893	5.0538	6.4541	7.2342	7.0547	6.9545	6.7947	6.6863	7.4935	4.8287	7.401	7.462	6.5043	7.5996	6.0278	7.3331	6.9531	4.6129	7.2052	6.5146	7.3838	5.0994	7.3431	6.2314	7.202	5.3005	7.1847	5.7564	4.9351	5.7637	5.399	6.2117	5.7446	6.4848	5.5552	6.6862	6.385	6.4272	6.257	5.5051	6.9948	7.0442	6.1887	6.5031	7.2323	8.2515	5.2775	6.5916	6.8844	4.7542	6.4638	6.1561	6.943	7.5227	6.9652	6.5353
PARD6B	10.1618	9.442	10.9517	10.3817	10.9718	10.1818	10.1217	9.1209	9.6394	9.5119	10.0718	9.8119	9.5117	10.4417	10.2067	11.1116	9.8718	9.3744	10.1717	10.3017	11.1517	10.2117	9.7418	10.9417	9.4122	11.4517	9.1719	9.4219	10.0818	9.4611	10.2018	10.8317	9.6617	9.6019	9.402	10.9517	10.8017	11.4716	10.4617	9.1623	10.0316	9.2218	10.8117	10.0618	9.2119	10.5417	10.0668	10.8417	9.102	10.2518	9.5816	9.8118	9.122	11.0416	9.172	10.1818	10.5417	8.8324	9.452	10.6917	9.302	10.1818	10.4617	10.5017	9.2616	10.0917	10.9917	9.6814	10.6817	9.032	10.7317	11.2416	11.1316	10.2817	9.6619	11.7316	9.7818	10.0517	10.0917	9.6319	9.9719	9.7018	10.6017	9.7618	9.8918	10.4617	11.1517	10.5317	10.3217	10.8816	9.4719	9.8143	10.1418	9.8818	10.0218	10.3617	9.3422	10.0817	10.4617	9.8217	9.8418	8.8917	10.3917	10.0918	9.8218	10.7017	9.8818	10.4217	9.3121	11.9616
PARD6G	8.4926	8.3925	8.3825	7.9723	8.4111	7.8229	8.2514	9.9915	7.9805	7.8325	7.9423	8.0727	8.8218	8.0827	7.4979	7.3336	7.3433	6.9757	7.8621	7.5532	8.0521	7.5226	7.6928	7.5217	7.6841	7.7821	9.0119	7.593	8.3321	8.8504	7.7226	7.1634	8.0718	7.6731	8.0329	7.4235	8.373	7.164	7.6139	8.8825	8.1509	8.5519	8.0525	8.6523	7.8425	8.0022	8.048	8.5117	8.3223	7.7529	8.0713	8.7621	6.9838	7.3537	7.7927	8.043	7.6227	8.6125	6.8253	7.913	7.3237	8.1532	7.4036	7.7225	7.9213	8.5618	7.7827	8.0202	8.3727	8.3223	7.8824	8.4923	8.6427	8.3224	8.7324	8.2824	8.3124	8.2517	8.0519	6.9044	8.213	8.1125	7.9821	8.092	7.9728	8.7017	7.9522	7.8728	7.6125	7.0252	7.4732	8.9146	7.9631	7.8223	8.6925	7.6233	8.6027	8.1821	8.082	8.3315	8.5921	7.6517	7.7631	8.0328	8.2122	7.6731	8.3821	7.6826	8.4627	7.6632
PATJ	12.3315	12.3215	12.6415	12.3816	11.8318	13.0615	12.6918	11.6319	12.659	12.5016	12.5316	12.7715	12.3517	12.5116	12.0466	13.1615	12.5716	12.2041	14.1517	12.4116	13.3716	12.5316	12.3216	13.4917	12.1015	13.0617	11.0517	13.0316	13.3816	13.3922	12.9516	12.8216	12.1617	13.3615	12.8915	13.5815	12.3615	13.0415	13.2014	12.6714	11.6518	13.0716	13.0916	12.1616	13.3716	12.7916	13.1665	12.4317	11.3816	12.8316	12.6218	13.2816	12.7216	12.1415	13.1116	11.5716	13.2216	13.8915	12.0515	12.9015	12.2215	12.5915	12.8715	13.1616	12.5318	11.8217	13.1516	13.102	13.3215	12.2916	13.0016	12.4516	11.8615	12.7416	12.9115	12.8516	12.9216	12.5417	12.8317	12.7515	12.9315	11.8916	12.6917	13.0716	12.4716	13.0717	13.3416	13.9015	12.2016	13.1914	12.0716	12.9841	13.8015	12.2616	12.6915	13.2515	12.1815	12.8816	12.9517	13.0118	11.8916	11.7017	13.2415	12.6115	12.8916	13.0215	12.7516	12.6716	12.3215	12.8015
POF1B	7.9232	5.9073	6.7647	9.3219	10.7017	10.4417	8.9415	6.5046	9.7694	7.1531	10.1917	10.1818	9.0317	10.1218	9.177	8.5824	9.6719	4.732	7.0923	7.7829	4.1287	9.7118	10.8817	10.6317	11.4515	10.1417	6.2735	10.8917	6.0642	9.5011	8.6321	10.6817	10.2117	6.0165	7.9729	6.0765	10.7117	12.0516	10.6417	7.5344	7.6805	8.352	5.8958	8.1527	7.9224	10.0817	5.4561	10.6617	5.2781	8.7122	5.5188	9.3319	9.9718	3.9944	10.4217	7.9731	6.3942	5.0046	10.7317	7.4237	6.4656	9.0823	8.8223	6.2642	10.2417	7.462	12.2216	9.4013	6.3964	9.092	10.0018	9.222	8.8825	3.8712	8.1129	9.112	6.1053	8.3017	3.7652	9.8918	7.2146	4.3643	7.9021	6.7727	9.6019	9.4417	9.9818	9.3919	7.8423	11.0316	9.0921	9.6744	11.0416	8.572	8.5226	6.2263	6.3678	9.1019	8.322	8.8616	9.2919	4.1811	5.957	10.3317	7.9923	4.7734	9.6318	3.4905	4.158	7.3936
PRKCI	10.6817	11.1416	11.2616	11.1517	12.8118	11.2216	11.8918	11.0118	11.3291	10.8017	11.3917	11.9016	11.7517	11.1616	11.5966	11.1016	10.9817	11.4641	11.3017	11.8316	11.6917	11.5716	11.0517	11.3817	11.2716	11.4817	10.7117	10.4217	11.6416	11.542	11.6016	12.3116	11.2917	12.0316	11.5516	11.0416	11.8115	12.0816	10.5417	11.5415	11.0618	10.1117	10.7117	11.2816	11.1917	11.2817	11.3266	11.4017	11.1117	11.0417	11.4718	10.9817	11.4716	11.2616	11.1117	11.3116	11.8316	11.1416	11.6116	11.0116	11.5516	11.5715	11.5716	11.4316	11.1717	10.9617	11.8616	10.7517	11.6616	10.8217	11.4216	11.1516	12.1215	11.4816	11.1416	11.4916	11.3916	10.8517	10.8717	12.0016	11.3916	10.7617	11.7817	11.1317	12.9315	12.1817	11.1117	10.8717	10.9817	10.6617	10.5217	11.7541	10.9816	12.6116	11.1016	10.7317	11.1316	11.1717	11.2317	11.1217	10.9217	11.1217	11.6016	11.2216	11.0117	11.1416	11.1317	10.7317	12.2815	11.8316
RAB13	9.8519	9.9518	10.3317	9.7518	10.0316	10.3517	10.7017	11.662	9.7594	10.0718	10.5017	10.4317	9.9717	10.1518	10.4667	10.8517	10.8417	9.9243	10.3117	10.5817	10.9417	10.6717	10.2917	10.1817	10.4617	10.0817	10.1717	10.4117	9.9218	10.5017	10.3917	10.1418	10.5117	10.1718	9.8519	10.2418	10.6117	10.5317	10.3018	10.4517	10.7317	10.3417	10.3617	9.5819	10.7017	9.9418	10.1768	10.2117	9.5619	10.6717	10.0417	10.0118	9.4719	10.1818	10.5417	10.1318	9.7318	10.1118	10.2418	10.2818	10.8417	9.9119	9.9118	9.5518	10.6317	10.1617	10.4217	10.5217	10.4617	10.5117	10.6217	10.5717	10.7817	10.0018	9.7919	10.4117	10.6117	10.5117	10.2817	10.1718	10.4617	10.3317	10.7217	9.9817	10.2618	10.5017	10.0618	10.2718	9.8318	10.4517	10.3517	10.6942	10.2718	10.3717	10.4817	9.8619	10.0119	10.3217	10.0017	10.0317	10.3817	9.9317	10.1518	9.9818	10.2517	10.2018	10.0418	10.0618	10.2718	9.7619
RAP2B	11.0416	11.5816	11.3416	12.2816	11.3518	11.8516	11.0417	11.3619	11.7891	10.3217	10.8417	10.8617	11.3217	12.0316	11.6566	11.2116	10.8617	10.6642	10.6517	11.3816	11.1517	11.0617	11.1616	10.7717	10.8916	11.3117	11.5617	10.7917	10.6117	10.3216	11.6016	11.5116	11.1117	11.3416	11.1516	11.5616	11.7015	11.5616	11.2716	11.4115	12.2318	9.2318	10.5417	12.3416	10.2717	11.7617	11.0566	12.1217	12.2516	11.2116	9.9617	9.6019	10.7417	11.9916	11.7716	12.0815	10.9717	10.6517	11.2116	10.7717	11.4916	11.1416	10.9916	11.2917	10.9017	10.6117	12.1816	10.3317	11.2116	10.7717	11.5816	12.0916	12.8714	12.0916	10.1518	11.5016	10.9117	11.1217	10.1917	12.5215	11.5815	11.6216	11.9717	11.2017	11.3816	11.2317	11.0317	10.6817	11.7416	11.0716	11.6216	11.0541	11.1716	10.9317	10.3917	10.5817	11.5215	10.5817	11.2717	10.7917	11.5816	11.6817	11.2016	11.8916	10.7417	11.2116	11.3017	11.3916	11.4616	10.4917
RAP2C	10.0418	10.4617	10.6317	9.6518	10.6817	10.1518	9.2916	9.5913	10.2993	9.8518	9.8218	9.412	9.5517	9.5919	10.6767	9.6919	10.0618	9.6543	9.7618	9.6619	10.2917	10.5917	10.6717	9.6317	9.9919	10.2817	10.3417	10.1118	9.7918	9.7013	10.0818	9.9718	10.0617	9.8618	9.7619	9.9318	9.8419	10.0918	10.1818	10.0419	10.1917	8.8719	10.7917	11.2516	9.7218	9.5618	9.577	11.0717	10.7217	10.7417	8.8815	9.212	10.0118	9.392	9.6918	10.8217	10.0518	9.652	9.542	10.6617	10.1518	10.2218	9.352	9.8018	10.2417	9.7617	9.3419	10.3117	9.7719	10.3217	10.4717	10.1518	10.1318	9.7618	10.1318	9.7318	9.9318	10.7517	9.9417	10.3517	10.1518	10.0118	10.0317	9.8618	9.7719	9.5917	10.7117	10.1718	10.4017	10.6717	10.6717	9.2245	10.3118	9.9718	10.4817	10.0818	10.6317	9.5118	9.9217	10.3217	10.3017	10.2517	9.6019	10.6517	10.7817	10.6717	10.6817	10.4317	10.0119	9.9418
RAPGEF2	11.8215	11.5816	11.5116	11.5916	11.8318	11.5916	10.5817	11.5519	11.6591	11.3816	11.6316	11.8016	11.4617	12.1216	11.7966	11.8116	12.0516	11.9341	12.1617	11.5516	12.3417	11.2117	11.8416	12.2317	11.3215	12.3917	11.6917	11.6816	12.1016	11.872	11.7616	11.5316	11.7117	11.8416	11.7016	12.0916	11.7915	11.9916	11.8915	11.8515	11.8718	12.0117	11.6816	11.7116	11.5916	12.1116	12.0365	11.3017	11.8516	11.5516	11.4618	11.2116	11.5816	11.5716	11.0417	11.5016	11.7816	11.2116	11.2716	11.5716	11.9616	11.5015	11.5616	12.2116	11.5918	11.8817	11.7616	11.4419	11.8615	11.3816	11.1717	11.7016	11.4015	11.3416	11.5916	11.5516	11.2216	11.6417	11.9417	11.2016	11.4016	11.8016	11.8617	11.9317	12.1516	11.7117	11.9616	12.4716	11.2517	11.7915	11.4516	11.3641	11.9315	10.9417	11.1116	11.7616	11.3516	12.1017	11.8517	11.7817	11.6616	11.3617	11.9816	11.6616	11.8616	11.8416	11.6116	12.0216	11.8115	11.6316
SH3BP1	7.0347	8.4924	7.3336	8.0923	6.8095	7.4832	7.1309	8.7105	7.2715	7.3229	8.1223	6.615	7.6418	8.4924	7.7976	7.2937	7.8328	6.5962	6.5227	7.3634	7.3924	6.8333	7.453	6.5516	5.7422	7.6121	9.0019	6.7142	5.6351	5.3823	7.273	7.4631	7.4418	8.7123	7.1541	7.2737	7.2349	7.0143	6.4172	7.704	7.5003	7.0925	6.1451	7.6531	6.8734	7.0827	7.7684	7.4216	9.032	8.3524	6.7906	7.1832	7.2734	7.893	8.5022	8.1728	7.8825	7.7634	7.0846	6.7749	6.9843	7.8835	7.2039	6.5238	7.301	7.572	6.9436	7.2088	7.1943	7.2033	6.7833	7.9227	8.4629	6.7442	6.5956	7.6329	7.0435	7.5316	6.7821	7.4735	8.7725	8.3224	8.5619	8.162	7.1837	6.2917	6.9229	6.874	8.1422	6.8357	8.6223	7.5155	7.3041	7.6824	6.935	7.184	8.1532	7.1525	7.6722	7.2712	8.1624	8.9217	7.9129	8.7523	7.6126	7.5233	7.9423	7.4228	7.8035	7.164
