	11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
CYTH3	11.5416	11.1016	10.0718	11.9716	12.0518	10.5617	10.2517	10.2916	11.1091	10.3017	12.1016	9.8319	11.2217	10.1218	11.9066	10.6417	10.2618	10.0543	9.2218	11.3116	11.3817	9.5018	10.3817	10.8717	10.4817	10.3817	10.7517	9.9218	10.1717	10.4217	12.1016	11.0917	10.3617	11.6316	10.3218	12.1716	11.3116	9.9618	12.0115	9.9719	10.7317	9.7418	12.3216	10.6317	9.7218	10.9817	11.2866	10.5317	10.2417	12.3116	10.2017	9.8418	11.1316	10.5817	10.4417	10.9916	11.3216	10.5617	10.1318	10.3817	11.2916	11.0516	11.2816	11.8916	10.2917	10.3217	9.8718	9.7715	11.2216	9.5119	9.9618	11.1016	10.4217	10.5217	9.9319	10.5717	9.4819	11.7117	9.3817	11.2616	10.9816	12.2816	10.9217	10.4017	10.7117	10.7217	11.0617	10.7917	9.7018	10.9516	11.3616	9.5244	11.3816	10.5217	10.4017	10.3118	10.2318	10.9017	12.9017	10.6717	11.1317	9.7117	11.3116	10.6317	11.7216	11.9916	13.5416	11.4216	11.6015	10.9916
DDX58	11.0516	11.8216	12.4315	10.6817	11.5118	10.9617	9.8717	9.7414	11.4991	10.5317	10.7417	10.6117	10.8017	10.9117	11.2366	10.6317	10.8717	10.5342	9.8417	10.3417	9.7718	10.6917	11.4316	10.6717	11.0316	10.5017	10.9517	11.3716	10.3017	10.1615	11.0817	11.1716	10.5417	10.2618	10.3417	10.1318	10.5117	11.8316	10.5817	11.2716	10.0316	9.9118	11.4316	10.3417	10.3517	10.3717	11.4866	11.3717	11.5516	11.8016	11.5618	8.5922	10.7017	10.6417	10.9617	12.0015	10.4317	10.9916	10.6517	11.1216	10.8617	11.0016	11.4216	11.6916	10.5517	10.1017	10.6517	10.9818	10.7717	10.5317	10.2017	10.6917	10.1618	10.7717	10.2518	9.7218	10.0218	11.2217	10.4017	11.0816	11.1316	11.8816	10.6817	10.2817	9.9818	10.6317	10.9817	10.6817	10.8817	10.3917	11.6916	10.0743	10.9116	11.4417	10.5817	11.2316	11.1816	9.9118	11.3517	10.6617	12.0516	10.9117	10.0618	10.9717	10.3317	10.4817	10.3917	10.3017	10.9116	10.2418
DLG1	11.2816	11.4516	11.9416	11.2917	11.9318	11.8116	12.2618	10.5217	11.3691	11.6416	11.4017	11.7416	12.0017	11.7916	11.8966	11.5416	11.5616	12.0341	11.8617	12.0116	11.8017	11.5016	11.6216	11.4917	11.3615	11.4917	11.1717	11.1116	11.6216	11.3519	11.3316	11.4916	11.0117	11.6516	11.5816	11.4516	11.5115	11.8816	11.1616	11.7915	11.1918	11.0217	11.6916	10.7217	11.5316	11.3617	11.2366	11.2117	11.7816	11.6116	11.2717	11.2916	11.6616	11.1616	11.0817	11.7416	12.1616	11.5216	12.3315	11.5616	12.0716	12.2515	11.0416	11.6216	12.0918	11.5517	12.0616	10.9518	11.5616	11.0017	11.5916	11.7416	11.6415	11.9716	11.3416	11.8616	11.4616	11.4317	11.2417	11.6316	11.8415	11.7816	12.2217	11.7317	11.7716	11.7217	11.4117	11.3116	11.3317	11.3916	11.4016	11.5441	11.4416	11.3417	12.4715	11.2416	11.4815	11.2817	11.5617	11.4617	11.1417	11.1617	11.4916	11.5716	11.0617	11.7216	11.4117	11.5116	12.3515	11.5116
ECT2	10.8916	11.0916	11.6316	11.7016	10.2317	11.3416	11.9618	10.9518	11.1491	11.6216	10.0418	11.0316	11.3317	10.8317	10.8367	10.1718	10.8617	10.3042	10.7717	10.8017	9.6818	12.6216	10.4717	9.8617	11.7915	10.0417	10.7617	12.2216	10.2217	10.1715	10.8417	10.4617	11.1617	9.9618	9.9618	10.7217	10.2118	11.5816	9.682	11.5615	10.2017	10.6617	11.0317	12.1616	10.9817	9.8918	10.4567	11.7317	11.3816	10.7317	11.8418	11.9516	10.6417	11.2516	10.8117	11.5616	10.7817	12.0515	10.9016	11.3916	10.6717	11.1816	11.3016	10.6817	11.5418	9.6917	10.4217	11.2618	10.1118	11.0517	11.4916	11.2916	11.9015	11.0617	11.1516	11.4116	11.6816	10.2217	10.6417	11.1416	10.9116	11.2216	11.4517	10.0617	11.5216	11.7817	10.0118	9.6119	11.8816	10.1818	10.9717	12.1041	10.1318	11.6317	12.1415	9.9818	11.4015	9.8718	10.4617	10.5617	10.7617	11.3517	9.6819	11.0816	10.4317	10.4317	10.0918	10.5817	11.6815	9.9018
EPCAM	13.0215	12.8015	13.5415	13.0716	12.2918	13.8115	14.2518	11.0318	13.409	13.7516	12.8116	12.7715	12.7517	12.2716	13.2566	12.7815	12.8016	13.5341	13.5717	12.5016	13.2716	12.7416	12.8416	13.4917	13.6514	13.1317	11.6417	13.1016	13.3316	11.732	12.7916	12.9116	13.1817	12.9615	13.2215	13.8715	12.2315	13.2815	13.5714	12.6814	13.0519	13.8216	12.5716	14.2515	13.7016	12.7216	12.6365	13.7317	11.0017	12.6416	12.4818	13.9516	12.9816	12.5915	12.9016	13.4215	12.4816	13.0315	12.4215	12.8215	12.9215	12.6214	12.7415	13.0516	12.7018	13.2317	13.7216	13.322	12.1515	13.2416	12.8116	13.1816	12.7214	11.9116	13.2915	13.6715	13.6416	12.2317	13.5417	13.5315	11.7415	12.6916	13.1717	12.2417	13.0515	13.4217	13.1216	12.9615	12.0116	13.3814	12.9915	13.654	13.5615	13.4816	13.5615	13.6015	13.0614	12.9216	12.7617	12.2717	12.9816	12.9517	11.9216	12.9415	12.7316	13.4615	12.3116	13.1216	13.3614	12.8415
EPPK1	10.4517	11.1816	11.7316	10.4817	8.8613	11.6016	11.2717	12.122	10.1193	11.1417	13.3716	13.3615	10.0617	11.8216	10.3767	10.9217	10.6017	11.1042	10.7217	13.2915	10.1117	12.2716	11.6516	10.6717	11.5915	11.6217	10.1317	11.9716	10.3317	12.9422	10.5417	11.1516	12.1117	12.0916	10.4617	14.1715	10.7317	11.0016	10.1118	11.8215	12.9719	12.1917	10.7717	9.262	11.7216	13.6516	13.2765	9.1617	9.172	10.6717	13.4818	10.0918	10.1018	11.0416	9.4419	10.2018	11.1517	11.4016	9.632	12.2715	10.6517	10.1018	13.1515	11.7716	9.9917	10.9317	11.2316	12.0219	10.9316	12.9916	13.6616	12.2816	11.6415	12.6016	11.7316	13.8515	12.1516	9.7417	11.8617	9.5919	10.9916	12.7116	14.4316	12.2617	10.3817	11.5617	10.7117	10.1118	11.1617	10.6017	11.5216	12.8341	12.9515	12.1716	10.1618	11.1116	9.5321	11.4517	12.3917	11.7617	11.6616	10.4717	11.8616	13.5515	10.7017	11.6316	12.2816	9.9618	9.8419	9.5419
F11R	12.3515	12.8215	13.1015	12.4616	12.6818	13.0015	14.5718	12.8221	12.829	12.8716	11.9816	13.1315	13.0017	12.6315	13.1966	14.0315	12.6416	12.1341	13.2717	13.7215	13.8016	13.0316	13.1816	13.1717	13.5914	13.2017	11.5817	13.4215	13.5516	13.2122	13.0616	13.5516	12.9217	13.2615	13.0715	13.2715	12.8714	13.9315	12.9814	12.8814	13.5419	12.7816	13.2516	12.7715	12.9316	12.9416	13.5065	12.5317	11.8316	12.8216	13.1918	12.3116	12.6216	12.5415	12.6816	12.8815	13.0316	12.1415	12.8915	12.6215	12.6615	13.0914	13.1415	13.5016	12.8718	12.7917	13.6216	13.082	13.5315	12.7416	13.2616	13.2216	13.4814	12.2016	12.8715	13.6315	13.1016	12.7217	12.9617	12.8015	13.2614	12.8916	12.8117	12.8816	12.5715	13.5817	12.9516	13.4115	12.4716	13.1714	12.5516	13.184	12.8815	12.7416	13.1715	13.1615	12.4214	13.0016	13.4216	12.8518	13.0916	11.6417	12.7715	12.7115	12.9416	12.8915	12.4016	12.8016	13.3014	13.6715
FRMD4A	9.6919	9.9518	10.0018	9.9818	9.5615	9.7419	9.9717	10.1015	9.2896	9.5319	9.4918	9.302	10.1217	10.0818	9.9568	9.6519	10.6417	9.7643	9.2318	9.6419	9.8318	8.952	10.0118	10.1917	9.2723	9.6818	10.5517	9.102	9.5218	9.8113	9.082	9.7818	9.6417	9.322	9.542	9.392	10.1218	8.9122	9.7719	10.0719	10.2817	9.6518	9.4319	9.9518	9.5019	9.9718	10.0368	9.5717	10.5417	10.1118	9.4016	8.8221	9.222	9.7319	10.4117	10.0018	9.6618	9.6919	9.532	9.7819	9.362	9.722	8.8123	9.6018	9.9817	10.0317	9.3819	9.5214	10.0018	9.5419	9.4319	9.6919	10.0419	9.8718	8.9522	9.9218	9.052	9.9917	9.2218	9.332	10.1718	9.9018	9.9317	10.1917	10.1118	9.6917	9.7218	9.8818	9.6818	9.3921	9.7918	8.4748	9.612	9.5118	8.9323	9.372	9.2322	9.9818	10.0617	9.3916	9.7418	9.9717	9.9418	9.6119	9.5818	9.7519	10.3117	9.9918	9.2921	9.9118
FRMD4B	10.5317	10.3018	9.9118	10.8117	10.7517	10.9917	9.9217	10.3516	10.5792	9.9518	10.6917	10.0018	10.4517	11.5716	10.6467	10.8917	11.1616	10.6442	10.3517	10.4017	12.2417	10.7617	10.9517	11.0817	10.1118	11.2117	10.8417	10.4817	10.0518	10.3716	11.0917	10.4817	10.3417	10.4317	10.9816	10.6417	11.4215	11.1516	10.5917	10.2318	10.5017	10.2917	9.9518	10.2618	8.962	11.8617	10.8666	10.1217	11.1816	10.4017	9.9517	10.0018	10.5017	10.1118	10.2417	10.3418	10.4417	9.9119	10.0218	10.5817	10.7317	10.9916	9.7019	10.8917	10.1417	10.9017	12.0816	10.0616	10.9016	10.6717	10.3517	10.5817	10.3518	10.1818	9.7119	9.9318	10.1818	10.5717	10.0817	9.8319	10.5017	10.4017	10.4517	10.9917	10.4917	10.7517	10.9217	11.0616	10.4617	10.5517	10.5517	8.9846	10.1818	9.9818	9.4121	10.0918	10.4617	11.1217	11.1917	10.6417	10.3217	10.2017	10.8417	10.4317	10.6117	10.0518	10.4917	10.3117	9.692	10.9017
FRMPD2	3.8612	5.7778	4.9428	2.2511	4.5406	6.3752	5.5892	8.9007	3.1637	8.2822	1.8538	7.6632	4.393	7.5732	5.1732	6.4055	8.1725	6.0871	4.3663	5.9765	4.1287	3.8451	5.7663	5.7315	5.9904	5.8433	3.1783	6.4746	5.4357	6.5835	5.5564	5.169	2.3952	5.7774	8.2427	5.5189	4.9486	8.1527	6.3873	6.9459	6.5087	7.3323	7.7427	0.0	7.2829	7.2925	4.6534	3.3305	3.2681	2.3119	6.4702	6.2348	1.376	3.6997	3.1494	5.3217	4.8293	5.5803	3.9009	4.212	4.1619	6.4373	5.7582	5.4961	3.6014	6.3124	6.4944	7.7999	3.9878	4.7311	3.8055	5.7866	1.7768	3.8909	8.5025	5.7665	7.7228	5.2211	6.3523	5.2111	5.4722	1.0808	4.3169	7.1924	3.6765	8.3517	5.8544	6.5946	3.6451	6.6762	5.4483	5.1418	7.2043	7.5425	4.6884	5.261	5.3545	10.2017	5.5738	7.1512	2.3762	5.5015	5.0816	6.3058	4.2617	5.9368	4.241	6.3741	7.3144	1.8908
