cohort	contrast	verdict	n_high	n_low	underpowered
GSE207422	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	5	5	False
GSE241934	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	17	17	False
GSE241934	tacstd2_quartile	keratin_TJ_up_Hallmark_EMT_opposite	9	9	False
GSE131907	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	10	10	False
GSE131907	tacstd2_quartile	mixed	6	6	False
GSE205335	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	10	10	False
GSE205335	tacstd2_quartile	keratin_TJ_up_Hallmark_EMT_opposite	6	6	False
GSE291670	tacstd2_median	n_too_small	3	3	True
GSE253013	tacstd2_median	not_run	0	0	
