cohort	usable	reason	n	n_high	n_low	n_genes	tacstd2_median	meta_eligible
GSE207422	True	ok	10	5.0	5.0	24242.0	9.72233114913374	True
GSE241934	True	ok	35	17.0	17.0	26164.0	9.626309974947661	True
GSE131907	True	ok	21	10.0	10.0	27226.0	8.351005036126075	True
GSE205335	True	ok	21	10.0	10.0	32634.0	9.1145635965799	True
GSE291670	True	ok	6	3.0	3.0	28470.0	4.635111166031903	False
GSE253013	False	no_pseudobulk_or_no_TACSTD2	0					
