cohort	patient	TACSTD2
GSE207422	P01	10.183870116296884
GSE207422	P03	7.692482279665239
GSE207422	P04	10.361552883209523
GSE207422	P05	9.66682229370645
GSE207422	P07	10.202707501525282
GSE207422	P09	9.777840004561034
GSE207422	P10	9.851354100257014
GSE207422	P12	8.019834964614969
GSE207422	P13	7.004233128453037
GSE207422	P15	8.958741019097138
GSE241934	P343	9.90234252824261
GSE241934	P438	8.597656165745834
GSE241934	P519	9.693365887893378
GSE241934	P529	9.118186985887208
GSE241934	P531	8.442160424910277
GSE241934	P547	10.077622575228435
GSE241934	P549	9.845552917655002
GSE241934	P586	9.004660446736258
GSE241934	P589	10.323622344908554
GSE241934	P590	10.187929867079518
GSE241934	P591	9.861844339460026
GSE241934	P105	9.999866232159992
GSE241934	P130	9.671523214694977
GSE241934	P172	10.418208656539202
GSE241934	P209	9.626309974947661
GSE241934	P218	9.152785073467667
GSE241934	P223	7.606284616727702
GSE241934	P266	9.240685775578074
GSE241934	P269	9.354959456579838
GSE241934	P270	9.720110846907485
GSE241934	P293	10.044421928657037
GSE241934	P390	10.002017556034478
GSE241934	P399	8.998727964116329
GSE241934	P509	8.85735518107493
GSE241934	P52	7.286907976905124
GSE241934	P523	8.746670003306694
GSE241934	P528	8.992083638281875
GSE241934	P533	9.324590480744595
GSE241934	P551	8.880822397131746
GSE241934	P574	9.759649565405276
GSE241934	P592	9.903695389096914
GSE241934	P603	10.183202467515285
GSE241934	P609	10.265712664503742
GSE241934	P64	9.291541064656355
GSE241934	P70	9.437755237395136
GSE131907	BRONCHO_11	7.46667757648621
GSE131907	BRONCHO_58	8.970071970014516
GSE131907	EBUS_06	9.736870436152854
GSE131907	EBUS_10	8.351005036126075
GSE131907	EBUS_12	10.409462462867372
GSE131907	EBUS_13	0.0
GSE131907	EBUS_15	9.106873060401316
GSE131907	EBUS_19	9.232975275734445
GSE131907	EBUS_28	8.489782807223735
GSE131907	EBUS_49	9.02102512014002
GSE131907	EBUS_51	8.409211201955483
GSE131907	NS_02	1.249174314566582
GSE131907	NS_03	7.1451284658848735
GSE131907	NS_04	7.140470763585002
GSE131907	NS_06	9.227492727526549
GSE131907	NS_07	8.197400795054223
GSE131907	NS_12	7.793702413822327
GSE131907	NS_13	8.215462678485446
GSE131907	NS_16	3.8970533934396907
GSE131907	NS_17	8.12928074346957
GSE131907	NS_19	8.70169889710228
GSE205335	P0031	8.77467069683525
GSE205335	P1006	9.737610875054298
GSE205335	P1015	9.1145635965799
GSE205335	P1016	6.509984899002527
GSE205335	P1017	10.09431521181729
GSE205335	P1018	9.34883322159991
GSE205335	P1025	5.30513678588295
GSE205335	P1027	10.182299235598405
GSE205335	P1030	10.184137127800918
GSE205335	P1037	6.791714628102506
GSE205335	P1056	9.852222655480835
GSE205335	P1062	9.220091762515906
GSE205335	P1063	7.741856277308752
GSE205335	P1072	8.337684976474915
GSE205335	P1076	8.149131279394105
GSE205335	P1079	8.587530406869014
GSE205335	P1084	9.433261640857632
GSE205335	P1089	10.411512355133967
GSE205335	P1090	10.22359776848459
GSE205335	P1115	3.6846169090187386
GSE205335	P1119	7.544015696564139
GSE291670	MPR-1	6.7568887589004625
GSE291670	MPR-2	4.458800533378182
GSE291670	MPR-3	6.821882997551786
GSE291670	Non-MPR-1	3.927192719132605
GSE291670	Non-MPR-2	4.068239453476091
GSE291670	Non-MPR-3	4.811421798685624
