term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	cohort	contrast	n_high	n_low	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_APICAL_JUNCTION	0.37932163048618134	1.5331151950940933	0.000999000999000999	189	0.7152258922669071	CD86,CLDN4,ACTN4,MDK,JUP,COL16A1,VWF,PCDH1,YWHAH,AMH,LIMA1,GTF2F1,MAPK11,CTNND1,PIK3R3,ICAM5,FSCN1,NRTN,NECTIN1,NRXN2,NFASC,NLGN2,PLCG1,CERCAM,MPZL2	91	GSE207422	tacstd2_median	5	5	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.002331002331002331	0.002331002331002331
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3908791191599915	1.5875208920603383	0.000999000999000999	192	0.6619551347899727	LRP1,ECM2,SERPINH1,SPP1,CRLF1,MATN2,TPM4,CALD1,COL16A1,COL1A2,GJA1,BGN,TIMP3,ITGAV,TGFBR3,CTHRC1,GADD45A,P3H1,POSTN,GPX7,APLP1,GPC1,ECM1,FBN2,PFN2	83	GSE207422	tacstd2_median	5	5	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.002331002331002331	0.002331002331002331
KEGG_TIGHT_JUNCTION	0.350833887621868	1.390464674643583	0.012987012987012988	148	0.5936916365768201	PRKCI,CLDN4,ACTN4,CLDN1,CLDN16,SLC9A3R1,EPB41L4B,MPP4,MYH14,TUBA1C,MAGI1,PARD3,CRB3,SYMPK,AFDN,MARVELD2,ARPC5L,DLG1,JUN,CLDN11,ARPC1A,LLGL1,TJP1,SRC,CLDN7	71	GSE207422	tacstd2_median	5	5	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.021756021756021756	0.021756021756021756
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.4058580500260584	1.35386274890306	0.07492507492507493	37	0.7139800693046621	CLDN4,CLDN1,CLDN16,PARD3,MARVELD2,DLG1,CLDN11,CHAF1B,ESAM,CLDN7,RAMP2,ECT2,CLDN15,RAB13,GRHL2,OCLN,MARVELD3	17	GSE207422	tacstd2_median	5	5	TJ	UP	True	Enrichr GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	47	0.08068854222700376	0.08068854222700376
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.5046561923667519	1.6945125029444212	0.003996003996003996	44	0.958024097016692	KRT16,POU2F3,OVOL1,ANXA1,BCR,FGFR1,AKR1C3,SPINK5,HDAC1,OVOL2,CTNNB1,ERCC3,DSP,HDAC2,ST14,WNT5A,JAG1,CLIC4,IVL,CSTA,CASP3,GLI1,CERS3	23	GSE207422	tacstd2_median	5	5	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	54	0.007992007992007992	0.007992007992007992
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.4489302661015944	1.5435024242886732	0.013986013986013986	45	0.7078797647373185	SOX9,TGFBR3,EOMES,FGFR1,HMGA2,NOTCH4,SMAD4,GSK3B,CTNNB1,DLG5,OLFM1,WNT5A,SNAI2,FAM83D,HEY2,TRIM28,FOXF2,HNRNPAB,SNAI1,TBX3,BMP7,CUL7	22	GSE207422	tacstd2_median	5	5	EMT	DOWN	True	Enrichr GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	47	0.021756021756021756	0.021756021756021756
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7817043059904949	2.200861849716075	0.000999000999000999	17	1.841597622409614	ALOXE3,KRT16,CLDN4,SFN,TMEM79,CLDN1,LSR,STMN1,FGFR1,KDF1	10	GSE207422	tacstd2_median	5	5	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Establishment Of Skin Barrier (GO:0061436)	19	0.002331002331002331	0.002331002331002331
GOBP_KERATINOCYTE_DIFFERENTIATION	0.43759489709999605	1.417679339335271	0.053946053946053944	33	0.805403922777905	KRT16,POU2F3,ANXA1,BCR,FGFR1,AKR1C3,DSP,ST14,WNT5A,JAG1,CLIC4,IVL,CSTA,CASP3,CERS3	15	GSE207422	tacstd2_median	5	5	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	42	0.06293706293706293	0.06293706293706293
GOBP_KERATINIZATION	0.4656733041059316	1.4913200000166902	0.03196803196803197	29	1.075658714185972	CNFN,KRT16,SPRR2D,SFN,TMEM79,KRT80,PPL	7	GSE207422	tacstd2_median	5	5	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		83	0.044755244755244755	0.044755244755244755
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.38308239847654996	1.4049667154362304	0.04695304695304695	68	0.7393951978190824	CLDN4,CLDN1,LSR,MPP7,CLDN16,EPHB2,PARD3,AFDN,MARVELD2,DLG1,CLDN11,SVEP1,TJP1,ESAM,CLDN7,SNAI2,RAMP2,PRKACA,ECT2,CLDN15,ILDR1,RAB13,GRHL2,SNAI1,OCLN	36	GSE207422	tacstd2_median	5	5	TJ	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		82	0.05975842339478703	0.05975842339478703
KRT_EPITHELIAL	0.4477862056685671	1.1403217619518782	0.22377622377622378	12	0.8553464272612733	KRT16,KRT19,KRT17,KRT13,KRT1	5	GSE207422	tacstd2_median	5	5	KERATIN_BARRIER	UP	True	Fixed keratin cytokeratin panel (simple + squamous; not an MSigDB set)		17	0.22377622377622378	0.22377622377622378
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.38184502143655263	-2.0840209888603596	0.000999000999000999	96	-0.24529901498934695	NCOA7,RSAD2,HELZ2,IRF7,IFITM1,PSMB9,CCRL2,IFIT2,IFITM3,EPSTI1,SELL,IL4R,B2M,IRF9,BST2,IRF1,PSME1,GBP4,ELF1,SAMD9L,NMI,GBP2,CD74,IFITM2,CASP1	39	GSE207422	tacstd2_median	5	5	HALLMARK_CONTEXT	UNDIRECTED	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Interferon Alpha Response	97	0.002331002331002331	0.002331002331002331
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.30046043176517645	-2.0117077264097922	0.000999000999000999	198	-0.13477408018916065	HELZ2,SRI,IRF4,IFIT1,SERPING1,IRF7,SPPL2A,FGL2,MYD88,NFKB1,PSMB9,FPR1,IFIT2,IL6,TAPBP,IFITM3,CSF2RB,EPSTI1,SECTM1,FCGR1A,P2RY14,IL4R,DDX58,B2M,MVP	70	GSE207422	tacstd2_median	5	5	HALLMARK_CONTEXT	UNDIRECTED	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Interferon Gamma Response	200	0.002331002331002331	0.002331002331002331
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.5184191475474932	-1.9597861395542484	0.000999000999000999	21	-0.5144176703221146	HLA-A,TAP1,TAPBPL,HLA-B,HLA-E,HLA-C,PSMB9,ERAP1,TAPBP,HLA-F,B2M,CANX,IRF1,PSMB8,PSMB10,ERAP2	16	GSE207422	tacstd2_median	5	5	MHC_I	UNDIRECTED	True	Locked custom classical MHC-I / antigen-processing panel (not MSigDB; MHC-II excluded)		21	0.002331002331002331	0.002331002331002331
HALLMARK_APICAL_JUNCTION	0.38876825633381734	1.5317836852174214	0.000999000999000999	189	0.19627592211197234	PIK3R3,CLDN4,PCDH1,MDK,ACTN4,SHROOM2,PLCG1,CD86,CRB3,PKD1,TJP1,GRB7,CLDN9,MMP2,MAPK11,CLDN6,CTNND1,TNFRSF11B,LAMC2,COL16A1,CLDN7,RRAS,ITGB1,YWHAH,MPP5	85	GSE207422	tacstd2_spearman	10	10	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.002331002331002331	0.002331002331002331
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.38232881204097097	1.5137600785494507	0.001998001998001998	192	0.15852454161991414	COL1A2,BGN,TPM4,SDC4,SERPINH1,CALD1,TAGLN,GEM,MMP2,CRLF1,TNFRSF11B,LAMC2,COL16A1,SPP1,ITGB1,CD59,TGFBR3,JUN,RHOB,GPX7,LRP1,ITGAV,LUM,SERPINE1,BDNF	72	GSE207422	tacstd2_spearman	10	10	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.003996003996003996	0.003996003996003996
KEGG_TIGHT_JUNCTION	0.45751701717668847	1.7693572400255542	0.000999000999000999	148	0.2159059187968713	CLDN4,MARVELD2,EPB41L4B,ACTN4,PARD3,ARPC1A,AMOTL2,AFDN,MYH14,ACTR3C,PRKCI,CRB3,PARD6B,TJP1,CLDN9,CLDN6,ARPC5L,CLDN7,ITGB1,MARVELD3,CDC42,JUN,OCLN,CLDN3,PRKAA1	50	GSE207422	tacstd2_spearman	10	10	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.002331002331002331	0.002331002331002331
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.4672604259004615	1.5258222259978729	0.023976023976023976	37	0.20830760787063762	CLDN4,MARVELD2,PARD3,CLDN9,CLDN6,CLDN7,MARVELD3,OCLN,CLDN3,DLG1,CLDN1,POF1B,CLDN16,CLDN23,CLDN15	15	GSE207422	tacstd2_spearman	10	10	TJ	UP	True	Enrichr GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	47	0.0305149396058487	0.0305149396058487
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.5002727789139229	1.6375294463260055	0.003996003996003996	44	0.2760883426658655	BCR,OVOL2,CTNNB1,ST14,HDAC1,TGM1,KRT16,ANXA1,OVOL1,POU2F3,SPINK5,CASP3,FGFR1,SCEL,ERCC3,EPHA2,IVL,AKR1C3,CLIC4,DSP,CSTA,GATA6	22	GSE207422	tacstd2_spearman	10	10	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	54	0.005594405594405594	0.005594405594405594
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.3867843130243587	1.3024588251622964	0.1008991008991009	45	0.14392606092370513	SMAD4,CTNNB1,EOMES,TGFBR3,DLG5,GSK3B,SOX9,NOTCH4,FGFR1,ROCK2,WNT4,SLC39A10,HMGA2,BMP7,CUL7,TRIM28,BMP2,HNRNPAB	18	GSE207422	tacstd2_spearman	10	10	EMT	DOWN	True	Enrichr GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	47	0.10866057019903173	0.10866057019903173
