gene	ensembl_v73	in_fpkm	in_counts	gtf_symbol	mean_fpkm_all
CLDN4	ENSG00000189143	True	True	CLDN4	63.9774224174312
TACSTD2	ENSG00000184292	True	True	TACSTD2	99.88630275229357
CD8A	ENSG00000153563	True	True	CD8A	11.140912339449542
CD274	ENSG00000120217	True	True	CD274	13.854111559633028
EPCAM	ENSG00000119888	True	True	EPCAM	274.29841711009175
CDH1	ENSG00000039068	True	True	CDH1	84.47599151376147
KRT8	ENSG00000170421	True	True	KRT8	145.71291151376147
KRT18	ENSG00000111057	True	True	KRT18	157.31463399082566
KRT19	ENSG00000171345	True	True	KRT19	289.47707417431195
KRT7	ENSG00000135480	True	True	KRT7	130.58515672477066
IFNG	ENSG00000111537	True	True	IFNG	2.004883210091743
STAT1	ENSG00000115415	True	True	STAT1	142.9173247706422
CXCL9	ENSG00000138755	True	True	CXCL9	82.98291911926607
CXCL10	ENSG00000169245	True	True	CXCL10	70.05435142201836
IDO1	ENSG00000131203	True	True	IDO1	45.4893406880734
HLA-DRA	ENSG00000204287	True	True	HLA-DRA	1863.1871330275226
HLA-A	ENSG00000206503	True	True	HLA-A	676.7556972477064
HLA-B	ENSG00000234745	True	True	HLA-B	1353.930389908257
HLA-C	ENSG00000204525	True	True	HLA-C	661.9626596330276
B2M	ENSG00000166710	True	True	B2M	9449.70610091743
TAP1	ENSG00000168394	True	True	TAP1	74.17894587155963
TAP2	ENSG00000204267	True	True	TAP2	24.69892408256881
