subset	score	dataset	conditioner	n	rho_unadj	p_unadj	rho_partial	p_partial	attenuation	percent_attenuated
all4	pct	GSE123902	none	13	-0.32417582	0.27988187	-0.32417582	0.27988187	0	0
all4	pct	GSE131907	none	21	-0.15064935	0.51451386	-0.15064935	0.51451386	0	0
all4	pct	GSE205335	none	22	0.20835686	0.35211052	0.20835686	0.35211052	0	0
all4	pct	GSE189357	none	9	-0.48333333	0.18746986	-0.48333333	0.18746986	0	0
all4	pct	GSE123902	CLDN4	13	-0.32417582	0.27988187	-0.17430712	0.58795011	0.1498687	46.230684
all4	pct	GSE131907	CLDN4	21	-0.15064935	0.51451386	0.31625136	0.17432958	0.46690071	309.92547
all4	pct	GSE205335	CLDN4	22	0.20835686	0.35211052	0.3448121	0.12582839	0.13645524	-65.49112
all4	pct	GSE189357	CLDN4	9	-0.48333333	0.18746986	0.0632772	0.88167157	0.54661053	113.09183
all4	pct	GSE123902	CLDN3	13	-0.32417582	0.27988187	-0.0093929224	0.97688732	0.3147829	97.102522
all4	pct	GSE131907	CLDN3	21	-0.15064935	0.51451386	0.21021421	0.37369532	0.36086356	239.53874
all4	pct	GSE205335	CLDN3	22	0.20835686	0.35211052	0.20954258	0.36196632	0.0011857181	-0.56908043
all4	pct	GSE189357	CLDN3	9	-0.48333333	0.18746986	-0.46635225	0.24409814	0.016981086	3.5133282
all4	pct	GSE123902	CLDN7	13	-0.32417582	0.27988187	-0.1093555	0.73512805	0.21482032	66.266607
all4	pct	GSE131907	CLDN7	21	-0.15064935	0.51451386	0.037597657	0.87495308	0.18824701	124.95707
all4	pct	GSE205335	CLDN7	22	0.20835686	0.35211052	0.16220831	0.48237409	-0.046148555	22.148805
all4	pct	GSE189357	CLDN7	9	-0.48333333	0.18746986	-0.39595262	0.33153528	0.087380712	18.078768
all4	pct	GSE123902	EPCAM	13	-0.32417582	0.27988187	-0.07944736	0.80612112	0.24472846	75.492509
all4	pct	GSE131907	EPCAM	21	-0.15064935	0.51451386	0.072608175	0.7609701	0.22325753	148.19681
all4	pct	GSE205335	EPCAM	22	0.20835686	0.35211052	0.2622396	0.25080928	0.053882737	-25.860793
all4	pct	GSE189357	EPCAM	9	-0.48333333	0.18746986	-0.40269363	0.32260548	0.0806397	16.684076
all4	pct	GSE123902	MUC1	13	-0.32417582	0.27988187	0.03725385	0.90849004	0.36142967	111.49187
all4	pct	GSE131907	MUC1	21	-0.15064935	0.51451386	-0.059014863	0.80479709	0.091634488	60.826341
all4	pct	GSE205335	MUC1	22	0.20835686	0.35211052	0.17596262	0.44548203	-0.032394238	15.547479
all4	pct	GSE189357	MUC1	9	-0.48333333	0.18746986	-0.030824178	0.94224126	0.45250916	93.622584
all4	pct	GSE123902	KRT19	13	-0.32417582	0.27988187	-0.32293805	0.30591076	0.0012377708	0.38182083
all4	pct	GSE131907	KRT19	21	-0.15064935	0.51451386	0.035549143	0.88171912	0.18619849	123.59728
all4	pct	GSE205335	KRT19	22	0.20835686	0.35211052	0.24468542	0.2850761	0.036328563	-17.435741
all4	pct	GSE189357	KRT19	9	-0.48333333	0.18746986	-0.33903295	0.41134545	0.14430038	29.855251
author	pct	GSE131907	none	21	-0.15064935	0.51451386	-0.15064935	0.51451386	0	0
author	pct	GSE205335	none	22	0.20835686	0.35211052	0.20835686	0.35211052	0	0
author	pct	GSE131907	CLDN4	21	-0.15064935	0.51451386	0.31625136	0.17432958	0.46690071	309.92547
author	pct	GSE205335	CLDN4	22	0.20835686	0.35211052	0.3448121	0.12582839	0.13645524	-65.49112
author	pct	GSE131907	CLDN3	21	-0.15064935	0.51451386	0.21021421	0.37369532	0.36086356	239.53874
author	pct	GSE205335	CLDN3	22	0.20835686	0.35211052	0.20954258	0.36196632	0.0011857181	-0.56908043
author	pct	GSE131907	CLDN7	21	-0.15064935	0.51451386	0.037597657	0.87495308	0.18824701	124.95707
author	pct	GSE205335	CLDN7	22	0.20835686	0.35211052	0.16220831	0.48237409	-0.046148555	22.148805
author	pct	GSE131907	EPCAM	21	-0.15064935	0.51451386	0.072608175	0.7609701	0.22325753	148.19681
author	pct	GSE205335	EPCAM	22	0.20835686	0.35211052	0.2622396	0.25080928	0.053882737	-25.860793
author	pct	GSE131907	MUC1	21	-0.15064935	0.51451386	-0.059014863	0.80479709	0.091634488	60.826341
author	pct	GSE205335	MUC1	22	0.20835686	0.35211052	0.17596262	0.44548203	-0.032394238	15.547479
author	pct	GSE131907	KRT19	21	-0.15064935	0.51451386	0.035549143	0.88171912	0.18619849	123.59728
author	pct	GSE205335	KRT19	22	0.20835686	0.35211052	0.24468542	0.2850761	0.036328563	-17.435741
all4	mean	GSE123902	none	13	-0.20879121	0.49362182	-0.20879121	0.49362182	0	0
all4	mean	GSE131907	none	21	0.081818182	0.72440984	0.081818182	0.72440984	0	0
all4	mean	GSE205335	none	22	0.29192547	0.18741679	0.29192547	0.18741679	0	0
all4	mean	GSE189357	none	9	-0.4	0.2861051	-0.4	0.2861051	0	0
all4	mean	GSE123902	CLDN4	13	-0.20879121	0.49362182	-0.020473004	0.94964536	0.1883182	90.194509
all4	mean	GSE131907	CLDN4	21	0.081818182	0.72440984	0.42167787	0.064051084	0.33985968	-415.38406
all4	mean	GSE205335	CLDN4	22	0.29192547	0.18741679	0.40207497	0.070785528	0.1101495	-37.732063
all4	mean	GSE189357	CLDN4	9	-0.4	0.2861051	0.11185483	0.79201497	0.51185483	127.96371
all4	mean	GSE123902	CLDN3	13	-0.20879121	0.49362182	0.09077065	0.77905498	0.29956186	143.47436
all4	mean	GSE131907	CLDN3	21	0.081818182	0.72440984	0.40319038	0.077945696	0.3213722	-392.78824
all4	mean	GSE205335	CLDN3	22	0.29192547	0.18741679	0.316954	0.16153421	0.025028536	-8.5736048
all4	mean	GSE189357	CLDN3	9	-0.4	0.2861051	-0.41968932	0.30060434	-0.019689318	-4.9223295
all4	mean	GSE123902	CLDN7	13	-0.20879121	0.49362182	-0.022213279	0.94537046	0.18657793	89.361008
all4	mean	GSE131907	CLDN7	21	0.081818182	0.72440984	0.28864605	0.21711874	0.20682787	-252.78961
all4	mean	GSE205335	CLDN7	22	0.29192547	0.18741679	0.19723038	0.39147654	-0.09469509	32.438105
all4	mean	GSE189357	CLDN7	9	-0.4	0.2861051	-0.45074894	0.26234409	-0.050748936	-12.687234
all4	mean	GSE123902	EPCAM	13	-0.20879121	0.49362182	-0.063735684	0.84399691	0.14505553	69.473962
all4	mean	GSE131907	EPCAM	21	0.081818182	0.72440984	0.3056113	0.19007846	0.22379311	-273.52492
all4	mean	GSE205335	EPCAM	22	0.29192547	0.18741679	0.33107954	0.14264508	0.039154073	-13.412353
