symbol	ensembl
TACSTD2	ENSG00000184292.7
CLDN3	ENSG00000165215.6
CLDN4	ENSG00000189143.9
CLDN7	ENSG00000181885.18
EPCAM	ENSG00000119888.11
MUC1	ENSG00000185499.16
KRT19	ENSG00000171345.13
CD3D	ENSG00000167286.10
CD3E	ENSG00000198851.10
CD3G	ENSG00000160654.11
CD8A	ENSG00000153563.16
NKG7	ENSG00000105374.10
GNLY	ENSG00000115523.17
KLRD1	ENSG00000134539.17
