field	max_abs_diff	n_matched
frac_tnk	4.8024316e-07	65
n_malignant	0	65
n_tnk	0	65
mal_CLDN4_pct	4.9805447e-05	65
mal_CLDN7_pct	4.9659864e-05	65
mal_EPCAM_pct	4.9805447e-05	65
mal_MUC1_pct	4.8192771e-05	65
mal_KRT19_pct	5e-05	65
mal_KRT8_pct	4.9416342e-05	65
mal_KRT18_pct	4.9263502e-05	65
