subset	score	gene	rho_with_TACSTD2	p	I2	ci_lo	ci_hi	k	N
all4	pct	CLDN4	0.53450592	0.0058299095	0.56282937	0.17076661	0.77003273	4	65
all4	pct	CLDN3	0.48001986	0.024065434	0.61861438	0.068539326	0.75192654	4	65
all4	pct	CLDN7	0.5351196	0.0087312649	0.60504789	0.1497455	0.77934626	4	65
all4	pct	EPCAM	0.54529717	0.01601585	0.68197704	0.11343131	0.80385226	4	65
all4	pct	MUC1	0.46398126	0.023974499	0.58650135	0.066122847	0.73454443	4	65
all4	pct	KRT19	0.44003946	0.0078414925	0.36219448	0.12350232	0.67530027	4	65
author	pct	CLDN4	0.47356832	0.08229284	0.69174432	-0.065788727	0.79876985	2	43
author	pct	CLDN3	0.2858096	0.33128724	0.7046689	-0.29050336	0.70996345	2	43
author	pct	CLDN7	0.37441623	0.016671724	0	0.071212717	0.6142796	2	43
author	pct	EPCAM	0.45511819	0.22287099	0.83340612	-0.29001362	0.85671245	2	43
author	pct	MUC1	0.23448365	0.14612748	0	-0.083095297	0.50882637	2	43
author	pct	KRT19	0.44804801	0.049259238	0.55041162	0.0015639854	0.74558836	2	43
all4	mean	CLDN4	0.54487457	0.00048038557	0.34442036	0.26179727	0.74162819	4	65
all4	mean	CLDN3	0.49430378	0.003163245	0.40019296	0.18000033	0.71702577	4	65
all4	mean	CLDN7	0.42651684	0.0020442935	0.11385797	0.16453003	0.6322905	4	65
all4	mean	EPCAM	0.55248712	0.0062203971	0.60354502	0.17459206	0.78852088	4	65
all4	mean	MUC1	0.35677637	0.011472589	0.11253114	0.083654335	0.58004073	4	65
all4	mean	KRT19	0.54543315	0.0023867696	0.4977728	0.21368737	0.7643864	4	65
author	mean	CLDN4	0.50036649	0.00082498823	0	0.22372962	0.70239444	2	43
author	mean	CLDN3	0.34974861	0.026339779	0	0.04291483	0.59629197	2	43
author	mean	CLDN7	0.37860418	0.015369613	0	0.076065949	0.61730889	2	43
author	mean	EPCAM	0.51324279	0.046587098	0.6669969	0.0085694166	0.80953387	2	43
author	mean	MUC1	0.26150066	0.10342562	0	-0.054443663	0.5298486	2	43
author	mean	KRT19	0.56526201	9.7710869e-05	0	0.30798381	0.74550037	2	43
