dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	malig_def	n_malignant_scored	mal_TACSTD2_pct	mal_TACSTD2_mean	mal_CLDN3_pct	mal_CLDN3_mean	mal_CLDN4_pct	mal_CLDN4_mean	mal_CLDN7_pct	mal_CLDN7_mean	mal_EPCAM_pct	mal_EPCAM_mean	mal_MUC1_pct	mal_MUC1_mean	mal_KRT19_pct	mal_KRT19_mean	mal_KRT8_pct	mal_KRT8_mean	mal_KRT18_pct	mal_KRT18_mean	mal_KRT_mean
GSE123902	LX255B	donor	METASTASIS	3886	228	1583	0.40735975	marker_malig	228	26.754386	0.33988797	27.631579	0.32395741	35.087719	0.44880165	31.578947	0.39775564	46.929825	0.50493886	21.052632	0.23515013	50.877193	0.66194432	50.438596	0.59633976	67.54386	0.86273979	0.70700796
GSE123902	LX653	donor	PRIMARY	392	145	49	0.125	marker_malig	145	81.37931	1.6300224	60	0.84318752	71.724138	1.2524068	57.931034	0.73128044	73.103448	1.0718343	88.965517	2.1143213	71.724138	1.3293346	77.241379	1.2065749	76.551724	1.1312816	1.222397
GSE123902	LX661	donor	PRIMARY	4566	117	3726	0.81603154	marker_malig	117	50.42735	0.70673076	52.136752	0.69668313	58.974359	0.85760857	35.042735	0.37737764	60.683761	0.81371205	62.393162	1.0860134	62.393162	0.89603731	66.666667	0.98115549	79.487179	1.2295292	1.035574
GSE123902	LX666	donor	METASTASIS	1316	786	177	0.13449848	marker_malig	786	10.43257	0.094064336	27.099237	0.23857653	67.175573	0.99239521	44.274809	0.52035569	65.139949	1.0599364	88.295165	2.1617866	84.987277	1.9256017	94.783715	2.780382	94.529262	2.9712457	2.5590764
GSE123902	LX675	donor	PRIMARY	3435	618	1336	0.38893741	marker_malig	618	36.569579	0.64016338	23.300971	0.33508157	31.391586	0.58296059	30.582524	0.44729616	36.407767	0.68310818	37.540453	0.79468249	59.061489	1.1142332	59.546926	1.0511422	59.223301	1.1475711	1.1043155
GSE123902	LX676	donor	PRIMARY	4014	147	2606	0.6492277	marker_malig	147	41.496599	0.8733903	27.210884	0.41086231	42.176871	0.83139002	35.37415	0.49847496	39.455782	0.55389158	33.333333	0.47149542	66.666667	1.4184862	49.659864	1.0381699	72.108844	1.2138848	1.2235137
GSE123902	LX679	donor	PRIMARY	2017	497	625	0.30986614	marker_malig	497	41.448692	0.49223721	34.004024	0.46308474	43.259557	0.56437122	61.167002	0.98496352	65.995976	1.0387121	65.392354	1.1969526	71.629779	1.2578643	79.275654	1.3755131	74.849095	1.2775536	1.3036437
GSE123902	LX680	donor	PRIMARY	941	258	344	0.36556854	marker_malig	258	11.24031	0.17257334	67.829457	1.664595	73.255814	1.8590779	64.341085	1.2585397	79.457364	2.2899611	43.410853	0.54587067	72.093023	1.6215507	83.333333	2.2917876	85.271318	2.5111429	2.1414937
GSE123902	LX681	donor	METASTASIS	1630	1207	86	0.052760736	marker_malig	1207	61.888981	1.1094842	65.368683	1.2133838	63.297432	1.177535	62.386081	1.1210758	73.487987	1.6126001	64.457332	1.2171725	65.202983	1.1703975	83.512842	1.9939374	89.312345	2.4452038	1.8698462
GSE123902	LX682	donor	PRIMARY	4092	421	2558	0.62512219	marker_malig	421	23.515439	0.47806916	10.926366	0.19136487	18.764846	0.46131823	18.289786	0.36704293	22.327791	0.43571045	17.814727	0.3329292	62.707838	1.1476038	47.980998	0.8286681	47.743468	0.88875041	0.95500745
GSE123902	LX684	donor	PRIMARY	378	173	92	0.24338624	marker_malig	173	54.913295	0.6161143	58.381503	0.70135191	72.83237	0.91189729	62.427746	0.71521211	77.456647	1.0189446	89.595376	1.7915882	72.83237	0.99140373	83.236994	1.3802353	83.815029	1.3792217	1.2502869
GSE123902	LX699	donor	METASTASIS	2671	46	2263	0.84724822	marker_malig	46	15.217391	0.24163975	10.869565	0.16876133	15.217391	0.31411776	13.043478	0.22613214	15.217391	0.29147746	10.869565	0.18047865	32.608696	0.52103056	54.347826	0.76460374	69.565217	0.99190704	0.75918045
GSE123902	LX701	donor	METASTASIS	788	90	322	0.40862944	marker_malig	90	22.222222	0.24721086	15.555556	0.15856677	11.111111	0.11161097	30	0.33049466	26.666667	0.26409781	50	0.7046915	54.444444	0.75594879	42.222222	0.47180368	65.555556	0.80728968	0.67834738
GSE189357	TD1	patient	TUMOR	15216	2186	9915	0.65161672	marker_malig	2186	56.221409	0.995638	47.621226	0.79392028	56.129918	0.96749715	47.072278	0.64365	53.47667	0.7605103	54.117109	1.0777777	80.10064	1.3895424	66.651418	1.0830005	71.271729	1.174463	1.2156686
GSE189357	TD2	patient	TUMOR	18064	1207	11334	0.62743578	marker_malig	1207	35.874068	0.5370081	23.032312	0.26086068	35.625518	0.53064348	29.328915	0.33001429	42.584921	0.50610826	36.702568	0.78089331	61.143331	0.84517115	57.166529	0.83379037	66.197183	0.97640143	0.88512099
GSE189357	TD3	patient	TUMOR	12658	664	6525	0.51548428	marker_malig	664	48.042169	0.82503567	25.903614	0.28649976	48.042169	0.69812685	35.843373	0.35296241	59.337349	0.77367655	42.018072	0.79282061	66.415663	1.0221307	55.722892	0.67847933	62.349398	0.84083218	0.8471474
GSE189357	TD4	patient	TUMOR	11756	491	7096	0.60360667	marker_malig	491	41.955193	0.80775759	16.089613	0.20076476	30.346232	0.51086863	30.549898	0.37167636	42.158859	0.60728097	27.291242	0.72233122	70.468432	0.90443763	43.177189	0.61025932	56.211813	0.78794716	0.76754804
