subset	score	index	control	meta_partial_CLDN4	meta_partial_control	delta_partial_CLDN4_minus_control	perm_p_two_sided	n_perm	N	q_bh
all4	pct	CLDN4	CLDN3	0.21633807	0.098549755	0.11778832	0.28687131	10000	65	0.28687131
all4	pct	CLDN4	CLDN7	0.21633807	0.010262505	0.20607557	0.079392061	10000	65	0.1323201
all4	pct	CLDN4	EPCAM	0.21633807	0.065597376	0.1507407	0.13848615	10000	65	0.17310769
all4	pct	CLDN4	MUC1	0.21633807	0.048482133	0.16785594	0.03939606	10000	65	0.1323201
all4	pct	CLDN4	KRT19	0.21633807	0.0065471059	0.20979097	0.063093691	10000	65	0.1323201
author	pct	CLDN4	CLDN3	0.3310154	0.20986883	0.12114657	0.3169683	10000	43	0.3169683
author	pct	CLDN4	CLDN7	0.3310154	0.10207838	0.22893702	0.12858714	10000	43	0.16073393
author	pct	CLDN4	EPCAM	0.3310154	0.17170296	0.15931244	0.11928807	10000	43	0.16073393
author	pct	CLDN4	MUC1	0.3310154	0.062666866	0.26834853	0.00079992001	10000	43	0.0039996
author	pct	CLDN4	KRT19	0.3310154	0.14469515	0.18632025	0.076892311	10000	43	0.16073393
all4	mean	CLDN4	CLDN3	0.309746	0.22705677	0.082689228	0.4359564	10000	65	0.4359564
all4	mean	CLDN4	CLDN7	0.309746	0.1222355	0.1875105	0.11738826	10000	65	0.19110589
all4	mean	CLDN4	EPCAM	0.309746	0.094283436	0.21546256	0.15288471	10000	65	0.19110589
all4	mean	CLDN4	MUC1	0.309746	0.11346343	0.19628257	0.11748825	10000	65	0.19110589
all4	mean	CLDN4	KRT19	0.309746	0.1038925	0.2058535	0.1239876	10000	65	0.19110589
author	mean	CLDN4	CLDN3	0.41164399	0.35961005	0.052033938	0.52674733	10000	43	0.52674733
author	mean	CLDN4	CLDN7	0.41164399	0.24217164	0.16947234	0.13518648	10000	43	0.2253108
author	mean	CLDN4	EPCAM	0.41164399	0.31876668	0.092877313	0.25147485	10000	43	0.31434357
author	mean	CLDN4	MUC1	0.41164399	0.16734545	0.24429854	0.01289871	10000	43	0.064493551
author	mean	CLDN4	KRT19	0.41164399	0.23040399	0.18124	0.071992801	10000	43	0.179982
