analysis,n_responder,n_comparator,responder_median_log2_TPM_plus_1,comparator_median_log2_TPM_plus_1,median_difference,rank_biserial,auc_higher_CLDN4_predicts_response,mann_whitney_U,p_value_two_sided,holm_p_across_listed_sensitivities
Objective response: CR/PR vs PD/SD/MR,47,74,0.037164777285246794,0.05276167877231424,-0.015596901487067445,-0.12995974698102353,0.43502012650948824,1513.0,0.21647661036830879,0.6494298311049264
Post-ipilimumab biopsy: CR/PR vs PD,11,16,0.053701175870986884,0.04260167566987634,0.011099500201110543,-0.1875,0.40625,71.5,0.41781992209421026,0.8356398441884205
Ipilimumab-naive: CR/PR vs PD,31,33,0.034522105357928164,0.06943708881637319,-0.03491498345844502,-0.07917888563049857,0.4604105571847507,471.0,0.57800760355846,0.8356398441884205
Skin/occult primary: CR/PR vs PD,44,47,0.03584344132158748,0.05393904308605221,-0.01809560176446473,-0.18085106382978722,0.4095744680851064,847.0,0.12817726507028565,0.5127090602811426
Skin primary only: CR/PR vs PD,36,37,0.0,0.06943708881637319,-0.06943708881637319,-0.29054054054054057,0.3547297297297297,472.5,0.027284788458437938,0.13642394229218968
